State - Time (s), State - Stage, State - PX (m), State - PY (m), State - PZ (m), State - VX (m/s), State - VY (m/s), State - VZ (m/s), State - AX (m/s/s), State - AY (m/s/s), State - AZ (m/s/s), MAX-M10S - Lat, MAX-M10S - Lon, MAX-M10S - Alt (m), MAX-M10S - Disp X (m), MAX-M10S - Disp Y (m), MAX-M10S - Disp Z (m), MAX-M10S - Fix Quality, MAX-M10S - Time of Day, BMI088andLIS3MDL - AccX (m/s^2), BMI088andLIS3MDL - AccY (m/s^2), BMI088andLIS3MDL - AccZ (m/s^2), BMI088andLIS3MDL - GyroX (rad/s), BMI088andLIS3MDL - GyroY (rad/s), BMI088andLIS3MDL - GyroZ (rad/s), BMI088andLIS3MDL - MagX (uT), BMI088andLIS3MDL - MagY (uT), BMI088andLIS3MDL - MagZ (uT), BMI088andLIS3MDL - OriX, BMI088andLIS3MDL - OriY, BMI088andLIS3MDL - OriZ, BMI088andLIS3MDL - OriW, DPS310 - Pres (hPa), DPS310 - Temp (C), DPS310 - Alt ASL (m), DPS310 - Alt AGL (m), MS5611 - Pres (hPa), MS5611 - Temp (C), MS5611 - Alt ASL (m), MS5611 - Alt AGL (m)
        2353.592,             0, -0.022        , -0.088        , 0.059         , 0.041           , 0.032           , 0.173           , -0.026            , 0.065             , 0.026             ,     39.0824767, -75.8752763   ,              2.195, -0.020               , -0.070               , -0.211               ,                      9, 13:53:58              , 0.029                          , 0.237                          , 9.833                          , -0.036                          , 0.004                           , 0.185                           , 575.000                     , 1971.000                    , -14220.000                  , 0.007                  , -0.011                 , -0.549                 , 0.836                  ,            1026.043,            12.306, -105.912            , -0.030              ,            1026.090,            14.170, -106.295            , 0.222
        2353.643,             0, 0.025         , -0.071        , 0.065         , 0.086           , 0.030           , 0.189           , 0.064             , -0.000            , 0.137             ,     39.0824771, -75.8752764   ,              2.184, 0.031                , -0.074               , -0.219               ,                     10, 13:53:58              , 0.129                          , 0.330                          , 9.941                          , -0.051                          , 0.045                           , 0.006                           , 544.000                     , 1989.000                    , -14271.000                  , 0.009                  , -0.012                 , -0.549                 , 0.836                  ,            1026.043,            12.312, -105.911            , -0.026              ,            1026.080,            14.130, -106.212            , 0.313
        2353.694,             0, 0.063         , -0.053        , 0.070         , 0.107           , 0.055           , 0.201           , 0.052             , 0.045             , 0.137             ,     39.0824771, -75.8752764   ,              2.184, 0.032                , -0.066               , -0.202               ,                     10, 08:53:58              , 0.014                          , 0.352                          , 9.941                          , -0.102                          , 0.102                           , 0.096                           , 544.000                     , 1989.000                    , -14271.000                  , 0.011                  , -0.009                 , -0.547                 , 0.837                  ,            1026.045,            12.309, -105.923            , -0.035              ,            1026.150,            14.170, -106.789            , -0.256
        2353.745,             0, 0.088         , -0.052        , 0.085         , 0.072           , 0.008           , 0.163           , -0.017            , -0.047            , 0.048             ,     39.0824772, -75.8752766   ,              2.200, 0.044                , -0.074               , -0.169               ,                     10, 13:53:58              , 0.101                          , 0.251                          , 9.855                          , 0.075                           , 0.015                           , 0.156                           , 550.000                     , 1970.000                    , -14322.000                  , 0.010                  , -0.011                 , -0.543                 , 0.839                  ,            1026.042,            12.309, -105.901            , -0.011              ,            1026.130,            14.140, -106.625            , -0.066
        2353.796,             0, 0.092         , -0.060        , 0.092         , 0.052           , -0.013          , 0.173           , 0.004             , -0.023            , 0.107             ,     39.0824772, -75.8752766   ,              2.200, 0.046                , -0.066               , -0.150               ,                     10, 08:53:58              , 0.093                          , 0.294                          , 9.912                          , 0.036                           , 0.034                           , -0.017                          , 550.000                     , 1970.000                    , -14322.000                  , 0.011                  , -0.011                 , -0.544                 , 0.839                  ,            1026.042,            12.310, -105.901            , -0.005              ,            1026.140,            14.170, -106.707            , -0.247
        2353.847,             0, 0.062         , -0.056        , 0.095         , 0.024           , -0.021          , 0.149           , 0.003             , -0.020            , 0.063             ,     39.0824768, -75.8752764   ,              2.228, 0.002                , -0.038               , -0.098               ,                     10, 13:53:58              , 0.136                          , 0.251                          , 9.869                          , -0.075                          , -0.062                          , -0.170                          , 552.000                     , 2002.000                    , -14312.000                  , 0.008                  , -0.012                 , -0.547                 , 0.837                  ,            1026.043,            12.318, -105.909            , -0.004              ,            1026.120,            14.150, -106.542            , -0.074
        2353.898,             0, 0.049         , -0.050        , 0.118         , 0.051           , -0.010          , 0.182           , 0.055             , 0.002             , 0.115             ,     39.0824768, -75.8752764   ,              2.228, 0.004                , -0.031               , -0.081               ,                     10, 08:53:58              , 0.093                          , 0.316                          , 9.920                          , -0.087                          , 0.138                           , 0.158                           , 552.000                     , 2002.000                    , -14312.000                  , 0.009                  , -0.010                 , -0.544                 , 0.839                  ,            1026.040,            12.308, -105.884            , 0.027               ,            1026.210,            14.180, -107.283            , -0.807
        2353.949,             0, 0.033         , -0.037        , 0.146         , 0.050           , -0.029          , 0.140           , 0.031             , -0.036            , 0.028             ,     39.0824765, -75.8752762   ,              2.200, -0.027               , -0.007               , -0.092               ,                     10, 13:53:58              , 0.129                          , 0.294                          , 9.833                          , 0.011                           , 0.070                           , 0.034                           , 562.000                     , 2006.000                    , -14305.000                  , 0.010                  , -0.011                 , -0.543                 , 0.840                  ,            1026.037,            12.302, -105.855            , 0.058               ,            1026.130,            14.150, -106.625            , -0.074
        2354.000,             0, 0.032         , -0.029        , 0.158         , 0.062           , -0.017          , 0.165           , 0.039             , -0.002            , 0.101             ,     39.0824765, -75.8752762   ,              2.200, -0.020               , -0.002               , -0.069               ,                     10, 08:53:58              , 0.115                          , 0.323                          , 9.905                          , -0.058                          , 0.011                           , 0.070                           , 562.000                     , 2006.000                    , -14305.000                  , 0.010                  , -0.012                 , -0.542                 , 0.840                  ,            1026.037,            12.302, -105.855            , 0.062               ,            1026.080,            14.150, -106.212            , 0.280
        2354.051,             0, 0.007         , -0.011        , 0.084         , 0.050           , -0.012          , 0.130           , -0.039            , -0.034            , -0.023            ,     39.0824765, -75.8752762   ,              2.200, -0.013               , 0.003                , -0.045               ,                     10, 03:53:58              , 0.158                          , 0.251                          , 9.783                          , 0.132                           , -0.068                          , -0.141                          , 544.000                     , 2021.000                    , -14322.000                  , 0.009                  , -0.014                 , -0.545                 , 0.839                  ,            1026.040,            12.304, -105.881            , 0.041               ,            1026.200,            14.190, -107.201            , -0.741
        2354.102,             0, -0.008        , 0.004         , 0.071         , 0.039           , -0.003          , 0.133           , -0.045            , 0.036             , 0.121             ,     39.0824763, -75.8752760   ,              2.209, -0.036               , 0.025                , -0.020               ,                     10, 13:53:58              , 0.093                          , 0.280                          , 9.927                          , 0.058                           , -0.100                          , 0.098                           , 544.000                     , 2021.000                    , -14322.000                  , 0.009                  , -0.014                 , -0.543                 , 0.840                  ,            1026.040,            12.297, -105.882            , 0.040               ,            1026.160,            14.140, -106.872            , -0.494
        2354.153,             0, -0.016        , 0.013         , 0.074         , 0.028           , 0.004           , 0.143           , -0.047            , 0.025             , 0.099             ,     39.0824763, -75.8752760   ,              2.209, -0.040               , 0.030                , -0.002               ,                     10, 08:53:58              , 0.072                          , 0.266                          , 9.905                          , 0.051                           , -0.021                          , 0.132                           , 571.000                     , 1992.000                    , -14304.000                  , 0.010                  , -0.013                 , -0.540                 , 0.842                  ,            1026.039,            12.297, -105.873            , 0.048               ,            1026.080,            14.170, -106.212            , 0.181
        2354.204,             0, -0.030        , 0.015         , 0.076         , 0.005           , 0.007           , 0.146           , -0.077            , 0.013             , 0.069             ,     39.0824761, -75.8752762   ,              2.220, -0.067               , 0.016                , 0.021                ,                     10, 13:53:59              , 0.065                          , 0.208                          , 9.876                          , 0.081                           , -0.079                          , -0.083                          , 571.000                     , 1992.000                    , -14304.000                  , 0.009                  , -0.012                 , -0.542                 , 0.841                  ,            1026.041,            12.297, -105.889            , 0.034               ,            1026.160,            14.150, -106.872            , -0.420
        2354.255,             0, -0.044        , 0.018         , 0.079         , -0.006          , 0.005           , 0.144           , -0.019            , -0.008            , 0.063             ,     39.0824761, -75.8752762   ,              2.220, -0.072               , 0.022                , 0.033                ,                     10, 08:53:59              , 0.093                          , 0.266                          , 9.869                          , 0.068                           , 0.026                           , -0.040                          , 512.000                     , 1984.000                    , -14332.000                  , 0.010                  , -0.012                 , -0.542                 , 0.840                  ,            1026.041,            12.302, -105.895            , 0.027               ,            1026.140,            14.180, -106.707            , -0.330
