# Time (s),Altitude (ft),Vertical velocity (m/s),Vertical acceleration (m/s²),Position East of launch (ft),Position North of launch (ft),Latitude (° N),Longitude (° E),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Air temperature (°F),Air pressure (mbar)
0,0,0,0,0,0,28.61,-80.6,0,0,0,59,1013.25
0.011,0.003,0.237,49.576,-0,0,28.61,-80.6,0,0,0,59,1013.25
0.021,0.019,0.734,49.79,-0,0,28.61,-80.6,0,0,0,59,1013.249
0.031,0.051,1.233,50.005,-0,0,28.61,-80.6,0,0,0,59,1013.248
0.041,0.099,1.734,50.219,-0,0,28.61,-80.6,0,0,0,59,1013.246
0.051,0.165,2.237,50.432,-0,0,28.61,-80.6,0,0,0,58.999,1013.244
0.055,0.195,2.439,50.518,-0,0,28.61,-80.6,0,0,0,58.999,1013.243
0.061,0.246,2.741,50.258,-0,0,28.61,-80.6,0,0,0,58.999,1013.241
0.07,0.334,3.192,49.869,-0,0,28.61,-80.6,0,0,0,58.999,1013.238
0.08,0.447,3.688,49.435,-0,0,28.61,-80.6,0,0,0,58.998,1013.234
0.089,0.562,4.131,49.045,-0,0,28.61,-80.6,0,0,0,58.998,1013.23
0.099,0.706,4.625,49.622,-0,0,28.61,-80.6,0,0,0,58.997,1013.225
0.109,0.866,5.124,50.199,-0,0,28.61,-80.6,0,0,0,58.997,1013.219
0.119,1.042,5.629,50.776,-0,0,28.61,-80.6,0,0,0,58.996,1013.213
0.129,1.235,6.139,51.353,-0,0,28.61,-80.6,0,0,0,58.996,1013.206
0.139,1.445,6.656,51.93,-0,0,28.61,-80.6,0,0,0,58.995,1013.198
0.149,1.672,7.178,52.508,-0,0,28.61,-80.6,0,0,0,58.994,1013.19
0.155,1.816,7.494,52.855,-0,0,28.61,-80.6,0,0,0,58.994,1013.185
0.164,2.045,7.97,52.957,-0,0,28.61,-80.6,0,0,0,58.993,1013.177
0.174,2.315,8.5,53.07,-0,0,28.61,-80.6,0,0,0,58.992,1013.167
0.184,2.602,9.032,53.183,-0,0,28.61,-80.6,0,0,0,58.991,1013.157
0.194,2.907,9.564,53.296,-0,0,28.61,-80.6,0,0,0,58.99,1013.146
0.2,3.099,9.884,53.363,-0,0,28.61,-80.6,0,0,0,58.989,1013.139
0.209,3.398,10.364,53.417,-0,0,28.61,-80.6,0,0,0,58.988,1013.129
0.219,3.747,10.899,53.477,-0,0,28.61,-80.6,0,0,0,58.987,1013.116
0.229,4.113,11.434,53.536,-0,0,28.61,-80.6,0,0,0,58.985,1013.103
0.239,4.497,11.97,53.596,-0,0,28.61,-80.6,0,0,0,58.984,1013.089
0.249,4.898,12.506,53.655,-0.001,0,28.61,-80.6,0,0,0,58.983,1013.075
0.259,5.317,13.043,53.714,-0.001,0,28.61,-80.6,0,0,0,58.981,1013.06
0.269,5.754,13.58,53.773,-0.001,0,28.61,-80.6,0,0,0,58.979,1013.044
0.279,6.209,14.118,53.832,-0.001,0,28.61,-80.6,0,0,0,58.978,1013.028
0.289,6.681,14.657,53.891,-0.001,0,28.61,-80.6,0,0,0,58.976,1013.011
0.3,7.22,15.25,53.955,-0.001,0,28.61,-80.6,0,0,0,58.974,1012.992
0.31,7.729,15.79,54.036,-0.001,0,28.61,-80.6,0,0,0,58.972,1012.974
0.32,8.256,16.331,54.116,-0.001,0,28.61,-80.6,0,0,0,58.971,1012.955
0.33,8.801,16.872,54.197,-0.001,0,28.61,-80.6,0,0,0,58.969,1012.935
0.34,9.363,17.415,54.277,-0.001,0,28.61,-80.6,0,0,0,58.967,1012.915
0.35,9.944,17.958,54.357,-0.001,0,28.61,-80.6,0,0,0,58.965,1012.895
0.36,10.542,18.502,54.437,-0.001,0,28.61,-80.6,0,0,0,58.962,1012.873
0.37,11.158,19.047,54.517,-0.001,0,28.61,-80.6,0,0,0,58.96,1012.851
0.38,11.792,19.592,54.597,-0.001,0,28.61,-80.6,0,0,0,58.958,1012.828
0.39,12.443,20.139,54.677,-0.001,0,28.61,-80.6,0,0,0,58.956,1012.805
0.4,13.113,20.686,54.757,-0.001,0,28.61,-80.6,0,0,0,58.953,1012.781
0.41,13.801,21.234,54.859,-0.001,0,28.61,-80.6,0,0,0,58.951,1012.757
0.42,14.506,21.783,54.961,-0.001,0,28.61,-80.6,0,0,0,58.948,1012.731
0.43,15.23,22.333,55.063,-0.001,0,28.61,-80.6,0,0,0,58.946,1012.706
0.445,16.349,23.16,55.216,-0.001,0,28.61,-80.6,0,0,-0,58.942,1012.666
0.468,18.105,24.405,55.444,-0.002,0,28.61,-80.6,0,0.001,0,58.935,1012.603
0.5,20.803,26.212,55.774,-0.005,-0,28.61,-80.6,0,0.002,0,58.926,1012.506
0.549,25.214,28.943,56.267,-0.012,-0,28.61,-80.6,0,0.004,0,58.91,1012.349
0.6,30.324,31.84,56.784,-0.023,-0,28.61,-80.6,0,0.006,-0,58.892,1012.166
0.65,35.78,34.687,57.065,-0.037,-0,28.61,-80.6,0,0.008,-0,58.872,1011.971
0.7,41.705,37.547,57.344,-0.053,-0,28.61,-80.6,0,0.011,-0,58.851,1011.759
0.75,48.1,40.426,57.841,-0.07,-0,28.61,-80.6,0,0.013,-0,58.828,1011.531
0.8,54.969,43.331,58.333,-0.084,-0,28.61,-80.6,0,0.015,-0,58.804,1011.285
0.85,62.317,46.257,58.71,-0.093,-0,28.61,-80.6,0,0.017,-0,58.778,1011.022
0.9,70.146,49.202,59.079,-0.095,-0,28.61,-80.6,0,0.019,-0,58.75,1010.742
0.95,78.46,52.153,58.991,-0.085,0,28.61,-80.6,0,0.02,-0,58.72,1010.445
