rx_time_iso,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7
2026-03-03T14:57:08.345,440.915,994.042,25.618,161.065,33.047,80.0,0.037,22.682
2026-03-03T14:57:09.858,441.415,994.314,25.625,158.768,33.047,80.0,-0.034,22.661
2026-03-03T14:57:09.858,441.915,994.150,25.613,160.157,33.047,80.0,-0.015,22.684
2026-03-03T14:57:09.859,442.415,994.027,25.606,161.195,33.047,80.0,-0.009,22.672
2026-03-03T14:57:10.344,442.915,994.576,25.612,156.553,33.046,80.0,0.005,22.672
2026-03-03T14:57:10.844,443.415,994.310,25.612,158.803,33.046,80.0,-0.007,22.668
2026-03-03T14:57:11.344,443.915,994.153,25.618,160.128,33.046,80.0,0.016,22.682
2026-03-03T14:57:11.844,444.415,994.019,25.613,161.261,33.046,80.0,-0.035,22.675
2026-03-03T14:57:12.344,444.915,994.413,25.619,157.935,33.046,80.0,-0.003,22.675
2026-03-03T14:57:12.844,445.415,994.413,25.621,157.933,33.046,80.0,0.014,22.672
2026-03-03T14:57:13.364,445.915,994.414,25.612,157.924,33.046,80.0,-0.040,22.679
2026-03-03T14:57:13.844,446.415,994.194,25.620,159.780,33.046,80.0,0.065,22.702
2026-03-03T14:57:14.344,446.915,994.337,25.617,158.573,33.046,80.0,0.008,22.679
2026-03-03T14:57:14.844,447.415,994.332,25.628,158.620,33.046,80.0,-0.022,22.686
2026-03-03T14:57:15.345,447.915,994.190,25.622,159.818,33.046,80.0,0.011,22.670
2026-03-03T14:57:15.849,448.420,994.423,25.630,157.845,33.046,80.0,0.017,22.682
2026-03-03T14:57:16.344,448.915,994.360,25.629,158.378,33.046,80.0,-0.003,22.693
2026-03-03T14:57:16.844,449.415,994.649,25.627,155.937,33.046,80.0,-0.002,22.695
2026-03-03T14:57:17.344,449.915,994.229,25.638,159.483,33.045,80.0,0.031,22.661
2026-03-03T14:57:17.849,450.415,994.168,25.647,160.000,33.046,80.0,-0.047,22.670
2026-03-03T14:57:18.344,450.915,994.122,25.636,160.388,33.045,80.0,-0.005,22.686
2026-03-03T14:57:18.844,451.415,994.148,25.639,160.167,33.045,80.0,0.022,22.677
2026-03-03T14:57:19.344,451.915,994.631,25.654,156.092,33.046,80.0,0.002,22.684
2026-03-03T14:57:19.844,452.415,994.286,25.637,159.008,33.046,80.0,-0.029,22.682
2026-03-03T14:57:20.343,452.915,994.215,25.648,159.604,33.046,80.0,-0.024,22.679
2026-03-03T14:57:20.847,453.415,994.274,25.647,159.104,33.045,80.0,0.023,22.693
2026-03-03T14:57:21.344,453.915,994.445,25.645,157.663,32.427,79.1,39.778,22.227
2026-03-03T14:57:21.844,454.415,994.874,25.662,154.039,11.260,27.0,42.330,22.565
2026-03-03T14:57:22.360,454.915,1016.802,25.665,-29.510,0.024,0.0,0.059,22.645
2026-03-03T14:57:22.844,455.415,1016.928,25.669,-30.557,0.006,0.0,0.002,22.675
2026-03-03T14:57:23.357,455.915,1017.074,25.683,-31.768,-0.001,0.0,-0.031,22.650
2026-03-03T14:57:23.847,456.415,1017.160,25.687,-32.487,-0.001,0.0,-0.006,22.659
2026-03-03T14:57:24.344,456.915,1017.202,25.685,-32.828,-0.001,0.0,-0.031,22.650
2026-03-03T14:57:24.844,457.415,1017.018,25.674,-31.310,-0.001,0.0,0.009,22.670
2026-03-03T14:57:25.344,457.915,1017.152,25.679,-32.419,-0.001,0.0,-0.012,22.672
2026-03-03T14:57:25.844,458.415,1017.192,25.681,-32.748,-0.001,0.0,0.027,22.677
2026-03-03T14:57:26.349,458.920,1016.916,25.679,-30.457,-0.001,0.0,-0.009,22.654
2026-03-03T14:57:26.843,459.415,1017.050,25.686,-31.568,-0.001,0.0,0.029,22.670
2026-03-03T14:57:27.347,459.915,1016.781,25.682,-29.337,-0.001,0.0,-0.039,22.670
