rx_time_iso,Time - Seconds,DPS368 - Pres (hPa),DPS368 - Temp (C),DPS368 - Alt ASL (m),MotorDriver - Motor Position,MotorDriver - Motor Angle,MotorDriver - Motor Velocity,MotorDriver - Battery Voltage
2026-03-03T15:09:31.949,27.520,1025.188,25.674,-98.865,0.000,0.0,-0.016,22.656
2026-03-03T15:09:32.440,28.012,1025.210,25.671,-99.048,0.002,0.0,-0.003,22.645
2026-03-03T15:09:32.942,28.512,1025.211,25.660,-99.055,0.002,0.0,0.004,22.650
2026-03-03T15:09:33.440,29.012,1025.256,25.673,-99.426,0.002,0.0,0.010,22.668
2026-03-03T15:09:33.940,29.512,1025.230,25.690,-99.210,0.002,0.0,-0.004,22.643
2026-03-03T15:09:34.441,30.012,1025.235,25.674,-99.250,0.002,0.0,-0.011,22.659
2026-03-03T15:09:34.942,30.512,1025.211,25.682,-99.049,0.002,0.0,0.013,22.661
2026-03-03T15:09:35.440,31.012,1025.207,25.688,-99.016,0.002,0.0,-0.024,22.659
2026-03-03T15:09:35.941,31.512,1025.197,25.673,-98.934,0.002,0.0,0.014,22.661
2026-03-03T15:09:36.440,32.012,1025.207,25.689,-99.016,0.002,0.0,0.005,22.659
2026-03-03T15:09:36.940,32.512,1025.223,25.697,-99.154,0.002,0.0,0.023,22.654
2026-03-03T15:09:37.447,33.012,1025.204,25.684,-98.997,0.003,0.0,-0.036,22.654
2026-03-03T15:09:37.941,33.512,1025.210,25.684,-99.043,0.002,0.0,-0.021,22.663
2026-03-03T15:09:38.441,34.012,1025.205,25.688,-99.001,0.003,0.0,-0.031,22.663
2026-03-03T15:09:38.940,34.512,1025.243,25.694,-99.313,0.002,0.0,0.009,22.650
2026-03-03T15:09:39.440,35.012,1025.237,25.688,-99.270,0.002,0.0,0.025,22.666
2026-03-03T15:09:39.939,35.512,1025.224,25.693,-99.158,0.002,0.0,0.010,22.661
2026-03-03T15:09:40.440,36.012,1025.167,25.685,-98.690,1.961,0.1,-46.087,23.020
2026-03-03T15:09:40.940,36.512,1025.073,25.685,-97.913,4.047,5.0,-0.078,22.663
2026-03-03T15:09:41.441,37.012,1025.003,25.679,-97.339,5.336,8.2,-13.873,22.668
2026-03-03T15:09:41.946,37.512,1024.896,25.665,-96.458,5.967,10.0,-0.047,22.656
2026-03-03T15:09:42.440,38.012,1024.899,25.688,-96.477,7.209,13.6,-10.444,22.656
2026-03-03T15:09:42.966,38.512,1024.703,25.685,-94.866,7.685,15.0,-0.021,22.650
2026-03-03T15:09:43.441,39.012,1024.644,25.695,-94.382,8.863,18.7,-8.364,22.652
2026-03-03T15:09:43.941,39.512,1024.579,25.687,-93.843,9.244,20.0,-0.046,22.631
2026-03-03T15:09:44.439,40.012,1024.533,25.693,-93.464,10.390,23.9,-6.689,22.636
2026-03-03T15:09:44.941,40.512,1024.533,25.687,-93.466,10.697,25.0,-0.025,22.627
2026-03-03T15:09:45.440,41.012,1024.456,25.684,-92.826,11.826,29.0,-5.507,22.652
2026-03-03T15:09:45.940,41.512,1024.482,25.679,-93.044,12.086,30.0,-0.004,22.643
2026-03-03T15:09:46.449,42.012,1024.409,25.676,-92.441,13.236,34.1,-4.497,22.647
2026-03-03T15:09:46.941,42.512,1024.414,25.680,-92.482,13.465,35.0,-0.015,22.640
2026-03-03T15:09:47.440,43.012,1024.409,25.672,-92.438,14.646,39.2,-4.597,22.636
2026-03-03T15:09:47.941,43.513,1024.405,25.656,-92.410,14.876,40.0,-0.066,22.643
2026-03-03T15:09:48.445,44.016,1024.371,25.667,-92.126,16.149,44.3,-4.104,22.627
2026-03-03T15:09:48.947,44.519,1024.368,25.653,-92.099,16.365,45.0,-0.040,22.643
2026-03-03T15:09:49.451,45.022,1024.342,25.629,-91.886,17.778,49.3,-4.150,22.624
2026-03-03T15:09:49.953,45.525,1024.375,25.620,-92.157,17.988,50.0,-0.026,22.640
2026-03-03T15:09:50.458,46.028,1024.353,25.605,-91.975,19.575,54.4,-4.165,22.652
2026-03-03T15:09:50.965,46.530,1024.430,25.604,-92.612,19.780,55.0,0.016,22.638
2026-03-03T15:09:51.463,47.034,1024.409,25.598,-92.438,21.586,59.5,-4.232,22.643
2026-03-03T15:09:51.977,47.538,1024.368,25.590,-92.100,21.798,60.0,0.011,22.666
2026-03-03T15:09:52.470,48.041,1024.403,25.592,-92.395,23.874,64.6,-4.200,22.666
2026-03-03T15:09:52.972,48.544,1024.400,25.596,-92.367,24.086,65.0,-0.045,22.629
2026-03-03T15:09:53.476,49.047,1024.450,25.589,-92.778,26.470,69.6,-4.421,22.638
2026-03-03T15:09:53.978,49.550,1024.468,25.596,-92.930,26.685,70.0,0.030,22.661
2026-03-03T15:09:54.481,50.053,1024.433,25.581,-92.639,29.424,74.6,-4.628,22.652
2026-03-03T15:09:54.987,50.556,1024.493,25.592,-93.135,29.654,75.0,-0.131,22.652
2026-03-03T15:09:55.487,51.059,1024.518,25.592,-93.342,32.774,79.6,-4.524,22.645
2026-03-03T15:09:55.992,51.562,1024.527,25.591,-93.417,33.021,80.0,-0.019,22.638
2026-03-03T15:09:56.493,52.065,1024.521,25.605,-93.360,33.035,80.0,-0.104,22.636
2026-03-03T15:09:56.997,52.568,1024.515,25.579,-93.316,33.043,80.0,-0.015,22.643
2026-03-03T15:09:57.511,53.071,1024.482,25.557,-93.044,33.044,80.0,0.007,22.663
2026-03-03T15:09:58.003,53.574,1024.500,25.558,-93.191,33.045,80.0,0.002,22.647
2026-03-03T15:09:58.505,54.077,1024.518,25.558,-93.337,33.046,80.0,-0.035,22.643
2026-03-03T15:09:59.008,54.580,1024.509,25.559,-93.268,33.046,80.0,0.001,22.647
2026-03-03T15:09:59.513,55.083,1024.529,25.565,-93.429,33.047,80.0,-0.008,22.634
2026-03-03T15:10:00.015,55.586,1024.487,25.571,-93.086,30.407,76.1,44.887,22.547
2026-03-03T15:10:00.520,56.089,1024.568,25.568,-93.754,8.137,16.4,43.848,22.487
2026-03-03T15:10:01.020,56.592,1025.217,25.555,-99.106,0.083,0.0,0.038,22.618
2026-03-03T15:10:01.524,57.095,1025.237,25.542,-99.265,0.036,0.0,0.255,22.608
2026-03-03T15:10:02.044,57.598,1025.233,25.558,-99.231,0.017,0.0,0.011,22.599
2026-03-03T15:10:02.531,58.102,1025.247,25.560,-99.348,0.012,0.0,0.020,22.624
2026-03-03T15:10:03.036,58.605,1025.223,25.565,-99.153,-0.001,0.0,-0.006,22.624
2026-03-03T15:10:03.535,59.108,1025.224,25.573,-99.159,-0.001,0.0,-0.010,22.613
2026-03-03T15:10:04.039,59.611,1025.193,25.576,-98.908,-0.001,0.0,0.010,22.613
2026-03-03T15:10:04.541,60.114,1025.233,25.584,-99.230,-0.001,0.0,-0.037,22.615
2026-03-03T15:10:05.046,60.617,1025.224,25.579,-99.164,-0.001,0.0,-0.002,22.620
2026-03-03T15:10:05.548,61.120,1025.254,25.585,-99.408,-0.001,0.0,0.009,22.620
2026-03-03T15:10:06.053,61.623,1025.245,25.572,-99.336,-0.001,0.0,0.018,22.620
2026-03-03T15:10:06.554,62.126,1025.271,25.578,-99.548,0.023,0.0,-6.217,21.935
2026-03-03T15:10:07.059,62.629,1025.215,25.576,-99.084,4.129,5.2,-15.392,21.631
2026-03-03T15:10:07.562,63.132,1025.101,25.576,-98.147,6.113,10.4,-21.167,22.206
2026-03-03T15:10:08.064,63.635,1024.902,25.569,-96.509,7.908,15.7,-25.472,22.618
2026-03-03T15:10:08.572,64.139,1024.581,25.571,-93.856,9.573,21.1,-25.424,22.755
2026-03-03T15:10:09.071,64.643,1024.467,25.575,-92.920,11.098,26.4,-21.705,22.659
2026-03-03T15:10:09.594,65.148,1024.455,25.574,-92.819,12.588,31.8,-18.924,22.663
2026-03-03T15:10:10.071,65.643,1024.472,25.550,-92.961,13.459,35.0,-0.036,22.645
2026-03-03T15:10:10.571,66.143,1024.455,25.553,-92.817,14.869,40.0,-0.091,22.643
2026-03-03T15:10:11.071,66.643,1024.480,25.560,-93.023,16.363,45.0,-0.012,22.627
2026-03-03T15:10:11.571,67.143,1024.549,25.548,-93.599,17.984,50.0,-0.009,22.634
2026-03-03T15:10:12.070,67.643,1024.519,25.542,-93.348,19.775,55.0,-0.022,22.636
2026-03-03T15:10:12.572,68.143,1024.633,25.532,-94.286,21.789,60.0,-0.124,22.629
2026-03-03T15:10:13.070,68.643,1024.572,25.531,-93.786,24.074,65.0,-0.110,22.643
2026-03-03T15:10:13.571,69.143,1024.726,25.530,-95.054,26.683,70.0,-0.090,22.645
2026-03-03T15:10:14.075,69.643,1024.695,25.527,-94.797,29.648,75.0,-0.135,22.627
2026-03-03T15:10:14.570,70.143,1024.709,25.545,-94.911,32.899,79.8,-0.019,22.631
2026-03-03T15:10:15.082,70.643,1024.610,25.546,-94.097,32.898,79.8,0.004,22.629
2026-03-03T15:10:15.571,71.143,1024.584,25.544,-93.881,32.898,79.8,-0.033,22.643
2026-03-03T15:10:16.072,71.643,1024.620,25.531,-94.177,20.668,57.2,44.558,22.526
2026-03-03T15:10:16.570,72.143,1025.175,25.516,-98.758,0.404,0.0,7.328,22.592
2026-03-03T15:10:17.073,72.643,1025.192,25.526,-98.897,0.058,0.0,0.085,22.604
2026-03-03T15:10:17.578,73.143,1025.225,25.532,-99.172,0.025,0.0,-0.032,22.613
