State - Time (s),State - Stage,State - Stage,State - PX (m),State - PY (m),State - PZ (m),State - VX (m/s),State - VY (m/s),State - VZ (m/s),State - AX (m/s/s),State - AY (m/s/s),State - AZ (m/s/s),State - Actuation Angle (deg),State - Acutal Angle (deg),State - CdA,State - Est Apo (m),State - Target Apogee (m),State - Mach Number,State - Tilt [deg],State - Pos - Accel Integrated [m],State - Velo - Accel Integrated [m/s],MockBarometer - Pres (hPa),MockBarometer - Temp (C),MockBarometer - Alt ASL (m),MockBarometer - Alt AGL (m),MockIMU - AccX (m/s^2),MockIMU - AccY (m/s^2),MockIMU - AccZ (m/s^2),MockIMU - GyroX (rad/s),MockIMU - GyroY (rad/s),MockIMU - GyroZ (rad/s),MockIMU - MagX (uT),MockIMU - MagY (uT),MockIMU - MagZ (uT),MockIMU - OriX,MockIMU - OriY,MockIMU - OriZ,MockIMU - OriW,MockGPS - Lat,MockGPS - Lon,MockGPS - Alt (m),MockGPS - Disp X (m),MockGPS - Disp Y (m),MockGPS - Disp Z (m),MockGPS - Fix Quality,MockGPS - Time of Day,E5 - Rel Steps,MockBR - Battery Voltage (V),MockBR - ALT (m),MockBR - PRES (Pa),MockBR - TEMP (C),MockBR - VEL (m/s),MockBR - ANG (deg),MockBR - ACCX (m/s^2),MockBR - ACCY (m/s^2),MockBR - ACCZ (m/s^2),MockBR - GYROX (rad/s),MockBR - GYROY (rad/s),MockBR - GYROZ (rad/s),MockBR - ROLL (deg),MockBR - TILT (deg)
39.178,1,0,-1.273,0.416,-7.266,-0.735,0.062,1.008,5.386,-4.112,124.109,0.000,0.000,0.0116870,0.000,9144.000,0.042,2.778,9.856,14.054,915.020,9.463,851.446,1.910,124.293,-0.106,0.450,-0.033,0.016,0.012,0.000,0.000,0.000,-0.013,0.690,0.010,0.723,0.0000000,0.0000000,1.860,0.000,0.000,0.000,0,00:00:00,-1020,0.000,1.860,91493.469,9.458,12.409,0.000,0.381,124.011,-0.007,0.004,-0.007,0.009,0.000,0.000
39.279,1,0,-1.194,0.364,-4.914,-0.143,-0.347,14.819,5.238,-3.859,124.814,0.000,0.000,0.0116870,0.000,9144.000,0.079,2.685,12.510,26.536,914.680,9.443,854.518,4.982,124.983,0.011,0.475,0.012,0.013,-0.008,0.000,0.000,0.000,-0.012,0.691,0.009,0.723,0.0000000,0.0000000,4.974,0.000,0.000,0.000,0,00:00:00,-1020,0.000,4.974,91463.508,9.441,24.910,0.000,0.279,125.015,-0.020,0.003,-0.007,0.003,0.000,0.000
39.380,1,0,-1.070,0.281,-1.030,0.404,-0.716,28.836,4.850,-3.506,125.870,0.000,0.000,0.0116870,0.000,9144.000,0.116,2.612,16.422,39.123,914.161,9.413,859.216,9.679,126.012,-0.161,0.424,0.043,0.040,-0.034,0.000,0.000,0.000,-0.012,0.692,0.007,0.722,0.0000000,0.0000000,9.350,0.000,0.000,0.000,0,00:00:00,-1020,0.000,9.350,91428.969,9.420,37.501,0.000,0.318,125.880,0.017,0.010,0.006,0.019,0.000,0.000
39.481,1,0,-0.909,0.173,4.297,0.920,-1.078,42.936,4.635,-3.486,126.514,0.000,0.000,0.0116870,0.000,9144.000,0.154,2.387,21.599,51.774,913.556,9.377,864.687,15.150,126.646,0.122,0.485,-0.021,0.015,-0.035,0.000,0.000,0.000,-0.014,0.693,0.006,0.721,0.0000000,0.0000000,14.999,0.000,0.000,0.000,0,00:00:00,-1020,0.000,14.999,91359.875,9.380,50.181,0.000,0.331,126.802,0.031,0.008,0.006,0.008,0.000,0.000
39.582,1,0,-0.716,0.042,11.050,1.435,-1.427,57.124,4.719,-3.432,127.405,0.000,0.000,0.0116870,0.000,9144.000,0.192,2.299,28.051,64.515,912.811,9.333,871.430,21.894,127.538,-0.059,0.372,0.018,0.007,-0.048,0.000,0.000,0.000,-0.015,0.693,0.004,0.721,0.0000000,0.0000000,21.927,0.000,0.000,0.000,0,00:00:00,-1020,0.000,21.927,91277.625,9.331,62.948,0.000,0.325,127.662,0.073,-0.004,0.007,-0.012,0.000,0.000
39.683,1,0,-0.494,-0.108,19.271,1.944,-1.765,71.453,4.782,-3.409,128.580,0.000,0.000,0.0116870,0.000,9144.000,0.230,2.263,35.788,77.373,911.884,9.279,879.825,30.288,128.714,-0.036,0.235,0.002,0.010,-0.010,0.000,0.000,0.000,-0.015,0.693,0.003,0.721,0.0000000,0.0000000,30.144,0.000,0.000,0.000,0,00:00:00,-1020,0.000,30.144,91189.086,9.279,75.802,0.000,0.429,128.556,-0.058,-0.003,0.013,-0.006,0.000,0.000
39.784,1,0,-0.247,-0.276,28.875,2.427,-2.128,85.811,4.647,-3.736,129.391,0.000,0.000,0.0116870,0.000,9144.000,0.269,2.207,44.819,90.312,910.871,9.219,889.005,39.469,129.528,-0.149,0.273,-0.013,0.009,0.042,0.000,0.000,0.000,-0.014,0.694,0.005,0.720,0.0000000,0.0000000,39.658,0.000,0.000,0.000,0,00:00:00,-1020,0.000,39.658,91086.820,9.219,88.741,0.000,0.323,129.480,0.045,0.008,-0.004,-0.000,0.000,0.000
39.885,1,0,0.018,-0.460,39.917,2.869,-2.454,100.235,4.390,-3.469,130.149,0.000,0.000,0.0116870,0.000,9144.000,0.308,2.155,55.152,103.327,909.665,9.148,899.955,50.419,130.269,0.034,0.440,0.008,0.009,-0.001,0.000,0.000,0.000,-0.014,0.694,0.005,0.720,0.0000000,0.0000000,50.478,0.000,0.000,0.000,0,00:00:00,-1020,0.000,50.478,90973.758,9.152,101.763,0.000,0.435,130.201,-0.009,0.015,-0.001,-0.005,0.000,0.000
39.986,1,0,0.300,-0.656,52.369,3.337,-2.768,114.689,4.794,-3.453,130.822,0.000,0.000,0.0116870,0.000,9144.000,0.347,2.105,66.793,116.409,908.329,9.069,912.092,62.556,130.955,-0.054,0.194,0.008,-0.009,-0.026,0.000,0.000,0.000,-0.015,0.694,0.004,0.720,0.0000000,0.0000000,62.611,0.000,0.000,0.000,0,00:00:00,-1020,0.000,62.611,90832.578,9.069,114.867,0.000,0.292,131.086,-0.080,0.006,-0.007,-0.018,0.000,0.000
40.087,1,0,0.599,-0.863,66.200,3.796,-3.117,129.162,4.858,-3.912,131.644,0.000,0.000,0.0116870,0.000,9144.000,0.386,2.159,79.750,129.573,906.865,8.982,925.406,75.870,131.791,-0.076,0.269,-0.030,-0.009,0.043,0.000,0.000,0.000,-0.014,0.693,0.006,0.721,0.0000000,0.0000000,76.066,0.000,0.000,0.000,0,00:00:00,-1020,0.000,76.066,90673.711,8.975,128.049,0.000,0.282,131.857,0.018,0.008,-0.007,-0.013,0.000,0.000
