State - Time (s),State - Stage,State - Stage,State - PX (m),State - PY (m),State - PZ (m),State - VX (m/s),State - VY (m/s),State - VZ (m/s),State - AX (m/s/s),State - AY (m/s/s),State - AZ (m/s/s),State - Actuation Angle (deg),State - Acutal Angle (deg),State - CdA,State - Est Apo (m),State - Target Apogee (m),State - Mach Number,State - Tilt [deg],State - Pos - Accel Integrated [m],State - Velo - Accel Integrated [m/s],DPS368 - Pres (hPa),DPS368 - Temp (C),DPS368 - Alt ASL (m),DPS368 - Alt AGL (m),BMI088andLIS3MDL - AccX (m/s^2),BMI088andLIS3MDL - AccY (m/s^2),BMI088andLIS3MDL - AccZ (m/s^2),BMI088andLIS3MDL - GyroX (rad/s),BMI088andLIS3MDL - GyroY (rad/s),BMI088andLIS3MDL - GyroZ (rad/s),BMI088andLIS3MDL - MagX (uT),BMI088andLIS3MDL - MagY (uT),BMI088andLIS3MDL - MagZ (uT),BMI088andLIS3MDL - OriX,BMI088andLIS3MDL - OriY,BMI088andLIS3MDL - OriZ,BMI088andLIS3MDL - OriW,MAX-M10S - Lat,MAX-M10S - Lon,MAX-M10S - Alt (m),MAX-M10S - Disp X (m),MAX-M10S - Disp Y (m),MAX-M10S - Disp Z (m),MAX-M10S - Fix Quality,MAX-M10S - Time of Day,E5 - Rel Steps,BR - Battery Voltage (V),BR - ALT (m),BR - PRES (Pa),BR - TEMP (C),BR - VEL (m/s),BR - ANG (deg),BR - ACCX (m/s^2),BR - ACCY (m/s^2),BR - ACCZ (m/s^2),BR - GYROX (rad/s),BR - GYROY (rad/s),BR - GYROZ (rad/s),BR - ROLL (deg),BR - TILT (deg)
14.553,0,0,55.351,-282.516,-1028.233,7.607,-38.826,-141.309,0.523,-2.668,-9.710,0.000,0.000,0.0116870,0.000,9144.000,0.114,4.000,0.001,0.010,918.276,28.154,822.065,0.000,10.078,-0.129,0.316,-0.032,-0.019,0.000,4198.000,-1273.000,-13988.000,0.082,-0.693,0.097,0.710,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14.654,0,0,0.020,-0.102,-0.059,-0.046,0.259,0.991,0.564,-2.652,-9.593,0.000,0.000,0.0116870,0.000,9144.000,0.001,1.501,0.004,0.032,918.273,28.157,822.095,0.015,9.963,-0.165,0.316,-0.021,0.023,-0.034,4273.000,-1268.000,-13967.000,0.082,-0.692,0.096,0.711,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,-0.305,91871.383,27.339,0.000,0.000,-0.128,9.830,-0.157,-0.001,0.002,-0.001,0.000,0.000
14.755,0,0,0.009,-0.044,0.002,-0.002,-0.003,0.015,0.453,-2.658,-9.677,0.000,0.000,0.0116870,0.000,9144.000,0.000,1.725,0.009,0.045,918.272,28.154,822.098,0.012,10.042,-0.165,0.215,-0.009,0.040,-0.079,4227.000,-1284.000,-13979.000,0.083,-0.692,0.094,0.711,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,91871.383,27.339,0.000,0.000,-0.059,9.790,-0.128,-0.001,0.001,-0.001,0.000,0.000
14.856,0,0,0.007,-0.038,-0.026,0.040,-0.266,-0.956,0.420,-2.622,-9.645,0.000,0.000,0.0116870,0.000,9144.000,0.001,1.593,0.015,0.061,918.272,28.158,822.103,0.013,9.999,-0.244,0.237,-0.113,0.011,0.166,4238.000,-1291.000,-13891.000,0.074,-0.694,0.095,0.710,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.610,91861.242,27.339,0.000,0.000,-0.137,9.859,-0.196,-0.001,0.002,-0.001,0.000,0.000
14.957,0,0,0.009,-0.058,-0.122,0.068,-0.526,-1.922,0.280,-2.607,-9.638,0.000,0.000,0.0116870,0.000,9144.000,0.002,1.499,0.023,0.079,918.270,28.152,822.116,0.020,9.984,-0.223,0.165,0.015,-0.085,-0.102,4213.000,-1320.000,-13929.000,0.078,-0.697,0.093,0.707,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,91871.383,27.339,0.000,0.000,-0.069,9.761,-0.137,-0.001,0.001,-0.001,0.000,0.000
15.058,0,0,0.014,-0.098,-0.288,0.106,-0.779,-2.894,0.380,-2.537,-9.742,0.000,0.000,0.0116870,0.000,9144.000,0.002,0.980,0.031,0.085,918.272,28.155,822.097,0.001,10.070,-0.129,0.259,0.000,-0.119,-0.098,4232.000,-1269.000,-13956.000,0.081,-0.697,0.090,0.707,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,-0.305,91871.383,27.339,0.000,0.000,-0.128,9.702,-0.167,-0.001,0.002,-0.002,0.000,0.000
15.159,0,0,0.022,-0.156,-0.516,0.144,-1.033,-3.849,0.382,-2.563,-9.654,0.000,0.000,0.0116870,0.000,9144.000,0.003,0.884,0.041,0.101,918.272,28.154,822.098,0.002,9.991,-0.165,0.266,0.011,-0.126,-0.072,4198.000,-1295.000,-13929.000,0.081,-0.697,0.090,0.707,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,-0.305,91881.508,27.344,0.000,0.000,-0.059,9.790,-0.137,-0.000,0.002,-0.001,0.000,0.000
15.260,0,0,0.032,-0.231,-0.804,0.169,-1.286,-4.794,0.257,-2.564,-9.671,0.000,0.000,0.0116870,0.000,9144.000,0.004,0.844,0.053,0.115,918.273,28.157,822.095,-0.001,10.006,-0.201,0.158,-0.038,-0.017,0.009,4204.000,-1301.000,-13958.000,0.078,-0.698,0.090,0.706,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,-0.305,91871.383,27.339,0.000,0.000,-0.039,9.820,-0.108,-0.001,0.002,0.000,0.000,0.000
15.361,0,0,0.044,-0.322,-1.149,0.210,-1.538,-5.719,0.417,-2.572,-9.631,0.000,0.000,0.0116870,0.000,9144.000,0.004,0.824,0.066,0.133,918.273,28.159,822.086,-0.008,9.970,-0.294,0.237,-0.081,0.128,0.053,4185.000,-1282.000,-13956.000,0.071,-0.694,0.091,0.710,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,91871.383,27.339,0.000,0.000,-0.078,9.859,-0.157,-0.000,0.001,-0.001,0.000,0.000
15.462,0,0,0.059,-0.430,-1.544,0.240,-1.788,-6.630,0.314,-2.577,-9.719,0.000,0.000,0.0116870,0.000,9144.000,0.005,1.455,0.080,0.142,918.273,28.157,822.095,0.000,10.056,-0.187,0.187,0.092,-0.038,0.100,4226.000,-1279.000,-13907.000,0.074,-0.696,0.095,0.708,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,91871.383,27.339,0.000,0.000,-0.078,9.859,-0.157,-0.000,0.001,-0.001,0.000,0.000
