State - Time (s),State - Stage,State - Stage,State - PX (m),State - PY (m),State - PZ (m),State - VX (m/s),State - VY (m/s),State - VZ (m/s),State - AX (m/s/s),State - AY (m/s/s),State - AZ (m/s/s),State - Actuation Angle (deg),State - Acutal Angle (deg),State - CdA,State - Est Apo (m),State - Target Apogee (m),State - Mach Number,State - Tilt [deg],State - Pos - Accel Integrated [m],State - Velo - Accel Integrated [m/s],MockBarometer - Pres (hPa),MockBarometer - Temp (C),MockBarometer - Alt ASL (m),MockBarometer - Alt AGL (m),MockIMU - AccX (m/s^2),MockIMU - AccY (m/s^2),MockIMU - AccZ (m/s^2),MockIMU - GyroX (rad/s),MockIMU - GyroY (rad/s),MockIMU - GyroZ (rad/s),MockIMU - MagX (uT),MockIMU - MagY (uT),MockIMU - MagZ (uT),MockIMU - OriX,MockIMU - OriY,MockIMU - OriZ,MockIMU - OriW,MockGPS - Lat,MockGPS - Lon,MockGPS - Alt (m),MockGPS - Disp X (m),MockGPS - Disp Y (m),MockGPS - Disp Z (m),MockGPS - Fix Quality,MockGPS - Time of Day,E5 - Rel Steps,MockBR - Battery Voltage (V),MockBR - ALT (m),MockBR - PRES (Pa),MockBR - TEMP (C),MockBR - VEL (m/s),MockBR - ANG (deg),MockBR - ACCX (m/s^2),MockBR - ACCY (m/s^2),MockBR - ACCZ (m/s^2),MockBR - GYROX (rad/s),MockBR - GYROY (rad/s),MockBR - GYROZ (rad/s),MockBR - ROLL (deg),MockBR - TILT (deg)
22.155,0,0,0.000,0.000,0.000,0.000,0.000,0.049,0.000,0.000,0.000,0.000,0.000,0.0103675,0.000,9144.000,0.000,0.000,0.098,0.981,0.000,0.000,44307.690,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-22,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
22.256,0,0,-0.000,-0.000,-5368.922,-0.745,-0.009,-15949.510,-7.409,-0.088,-6.576,0.000,0.000,0.0103675,0.000,9144.000,0.000,90.000,0.229,1.304,915.222,9.475,849.619,-5369.976,-9.899,-0.086,0.386,-0.003,-0.022,-0.027,0.000,0.000,0.000,-0.003,0.373,-0.001,0.928,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-21,0.000,0.000,91516.898,9.472,0.000,0.000,0.305,-9.875,0.003,-0.011,-0.004,0.005,0.000,0.000
22.357,0,0,-0.048,-0.001,-3226.861,-1.187,-0.016,20158.082,-4.420,-0.072,-8.866,0.000,0.000,0.0103675,0.000,9144.000,47.413,46.178,0.368,1.399,915.222,9.475,849.619,-3226.861,-9.899,-0.086,0.386,-0.003,-0.022,-0.027,0.000,0.000,0.000,-0.004,0.543,-0.002,0.840,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-21,0.000,0.000,91516.898,9.472,0.000,0.000,0.305,-9.875,0.003,-0.011,-0.004,0.005,0.000,0.000
22.458,0,0,-0.119,-0.002,0.512,-1.422,-0.031,1.438,-2.381,-0.147,-9.417,0.000,0.000,0.0103675,0.000,9144.000,59.923,24.268,0.512,1.438,915.210,9.474,849.733,-2314.931,-9.711,-0.178,0.227,0.003,-0.022,-0.010,0.000,0.000,0.000,-0.007,0.623,-0.003,0.782,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-21,0.000,0.000,91518.602,9.473,0.000,0.000,0.443,-9.835,-0.051,0.001,-0.017,-0.003,0.000,0.000
22.559,0,0,-0.202,-0.004,-1796.230,-1.580,-0.024,1510.833,-1.629,0.070,-9.683,0.000,0.000,0.0103675,0.000,9144.000,0.006,12.864,0.657,1.451,915.217,9.475,849.662,-1806.626,-9.813,0.043,0.354,0.011,-0.006,-0.019,0.000,0.000,0.000,-0.003,0.659,-0.001,0.752,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-21,0.000,0.000,91522.883,9.476,0.000,0.000,0.321,-9.802,-0.070,0.014,-0.001,0.004,0.000,0.000
22.660,0,0,-0.292,-0.005,0.805,-1.706,-0.020,1.475,-1.315,0.036,-9.563,0.000,0.000,0.0103675,0.000,9144.000,4.491,7.482,0.805,1.475,915.240,9.476,849.458,-1481.993,-9.642,0.003,0.462,-0.003,0.009,-0.001,0.000,0.000,0.000,-0.002,0.675,0.000,0.738,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-21,0.000,0.000,91524.812,9.477,0.000,0.000,0.327,-9.802,0.003,0.003,-0.012,-0.009,0.000,0.000
22.761,0,0,-0.386,-0.005,-1248.756,-1.779,-0.003,671.773,-0.798,0.163,-9.869,0.000,0.000,0.0103675,0.000,9144.000,0.007,5.087,0.952,1.470,915.217,9.475,849.666,-1256.176,-9.899,0.114,0.236,-0.014,-0.012,0.001,0.000,0.000,0.000,-0.000,0.687,0.003,0.727,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-21,0.000,0.000,91523.125,9.476,0.000,0.000,0.297,-9.808,-0.045,-0.012,-0.007,-0.026,0.000,0.000
22.862,0,0,-0.484,-0.004,1.100,-1.863,0.008,1.478,-0.925,0.114,-9.721,0.000,0.000,0.0103675,0.000,9144.000,1.997,3.261,1.100,1.478,915.221,9.475,849.625,-1090.311,-9.756,0.024,0.432,-0.042,-0.001,0.013,0.000,0.000,0.000,-0.002,0.689,0.005,0.725,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-21,0.000,0.000,91521.758,9.475,0.000,0.000,0.278,-9.882,0.004,0.003,0.024,0.006,0.000,0.000
22.963,0,0,-0.585,-0.002,-957.440,-1.919,0.018,378.755,-0.654,0.100,-9.891,0.000,0.000,0.0103675,0.000,9144.000,0.007,2.901,1.247,1.470,915.220,9.475,849.643,-963.143,-9.909,0.007,0.270,-0.002,0.001,0.016,0.000,0.000,0.000,-0.002,0.693,0.004,0.721,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-21,0.000,0.000,91527.094,9.478,0.000,0.000,0.272,-9.761,-0.060,-0.005,-0.002,0.012,0.000,0.000
23.064,0,0,-0.688,0.000,1.393,-1.967,0.029,1.462,-0.596,0.103,-9.894,0.000,0.000,0.0103675,0.000,9144.000,1.126,2.226,1.393,1.462,915.220,9.475,849.643,-862.577,-9.909,0.007,0.270,-0.002,0.001,0.016,0.000,0.000,0.000,-0.002,0.695,0.004,0.719,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-21,0.000,0.000,91527.094,9.478,0.000,0.000,0.272,-9.761,-0.060,-0.005,-0.002,0.012,0.000,0.000
