State - Time (s),State - Stage,State - Stage,State - PX (m),State - PY (m),State - PZ (m),State - VX (m/s),State - VY (m/s),State - VZ (m/s),State - AX (m/s/s),State - AY (m/s/s),State - AZ (m/s/s),State - Actuation Angle (deg),State - Acutal Angle (deg),State - CdA,State - Est Apo (m),State - Target Apogee (m),State - Mach Number,State - Tilt [deg],MockBarometer - Pres (hPa),MockBarometer - Temp (C),MockBarometer - Alt ASL (m),MockBarometer - Alt AGL (m),MockIMU - AccX (m/s^2),MockIMU - AccY (m/s^2),MockIMU - AccZ (m/s^2),MockIMU - GyroX (rad/s),MockIMU - GyroY (rad/s),MockIMU - GyroZ (rad/s),MockIMU - MagX (uT),MockIMU - MagY (uT),MockIMU - MagZ (uT),MockIMU - OriX,MockIMU - OriY,MockIMU - OriZ,MockIMU - OriW,MockGPS - Lat,MockGPS - Lon,MockGPS - Alt (m),MockGPS - Disp X (m),MockGPS - Disp Y (m),MockGPS - Disp Z (m),MockGPS - Fix Quality,MockGPS - Time of Day,E5 - Rel Steps,BR - Battery Voltage (V),BR - ALT (m),BR - PRES (Pa),BR - TEMP (C),BR - VEL (m/s),BR - ANG (deg),BR - ACCX (m/s^2),BR - ACCY (m/s^2),BR - ACCZ (m/s^2),BR - GYROX (rad/s),BR - GYROY (rad/s),BR - GYROZ (rad/s),BR - ROLL (deg),BR - TILT (deg)
23.045,1,0,-1.248,-0.211,-10.843,-0.948,-0.085,-2.015,2.864,2.411,96.642,0.000,0.000,0.0103675,0.000,7500.000,0.039,2.137,1013.094,15.042,1.301,1.220,96.713,0.047,0.542,-0.024,0.020,-0.009,0.000,0.000,0.000,0.007,0.694,-0.010,0.719,0.0000000,0.0000000,1.451,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
23.146,1,0,-1.201,-0.189,-8.506,-0.578,0.146,9.391,3.039,2.189,97.828,0.000,0.000,0.0103675,0.000,7500.000,0.007,2.023,1012.757,15.026,4.105,4.024,97.899,-0.134,0.267,-0.008,0.014,-0.026,0.000,0.000,0.000,0.006,0.695,-0.011,0.719,0.0000000,0.0000000,3.883,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
23.247,1,0,-1.124,-0.146,-5.069,-0.197,0.388,20.826,3.178,2.313,98.522,0.000,0.000,0.0103675,0.000,7500.000,0.028,1.943,1012.385,15.003,7.198,7.117,98.599,0.123,0.301,-0.016,-0.016,-0.032,0.000,0.000,0.000,0.004,0.694,-0.011,0.719,0.0000000,0.0000000,7.305,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
23.348,1,0,-1.020,-0.085,-0.445,0.159,0.646,32.368,2.983,2.509,99.390,0.000,0.000,0.0103675,0.000,7500.000,0.061,2.034,1011.810,14.975,11.989,11.908,99.465,0.103,0.451,0.020,0.008,-0.003,0.000,0.000,0.000,0.005,0.695,-0.012,0.719,0.0000000,0.0000000,11.727,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
23.449,1,0,-0.894,-0.008,5.255,0.500,0.874,43.949,2.914,2.257,100.465,0.000,0.000,0.0103675,0.000,7500.000,0.095,1.992,1011.196,14.938,17.109,17.028,100.532,-0.064,0.345,-0.012,0.021,-0.018,0.000,0.000,0.000,0.004,0.695,-0.012,0.718,0.0000000,0.0000000,17.158,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
23.550,1,0,-0.749,0.084,12.108,0.827,1.127,55.603,2.844,2.548,101.355,0.000,0.000,0.0103675,0.000,7500.000,0.129,1.872,1010.390,14.894,23.825,23.744,101.426,0.105,0.301,0.009,0.013,-0.019,0.000,0.000,0.000,0.004,0.696,-0.013,0.718,0.0000000,0.0000000,23.608,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
23.651,1,0,-0.589,0.190,20.030,1.132,1.360,67.268,2.702,2.407,102.303,0.000,0.000,0.0103675,0.000,7500.000,0.164,1.796,1009.523,14.847,31.057,30.976,102.366,0.082,0.336,-0.013,0.014,0.016,0.000,0.000,0.000,0.004,0.696,-0.012,0.718,0.0000000,0.0000000,31.085,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
23.752,1,0,-0.418,0.308,29.080,1.405,1.593,78.985,2.488,2.468,103.210,0.000,0.000,0.0103675,0.000,7500.000,0.198,1.716,1008.479,14.790,39.770,39.689,103.269,0.043,0.314,0.008,0.026,0.018,0.000,0.000,0.000,0.005,0.697,-0.012,0.717,0.0000000,0.0000000,39.598,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
23.853,1,0,-0.239,0.436,39.151,1.654,1.852,90.662,2.338,2.791,104.057,0.000,0.000,0.0103675,0.000,7500.000,0.233,1.569,1007.396,14.727,48.820,48.739,104.119,0.162,0.531,0.018,-0.004,0.005,0.000,0.000,0.000,0.006,0.697,-0.012,0.717,0.0000000,0.0000000,49.157,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
23.954,1,0,-0.053,0.576,50.331,1.908,2.085,102.375,2.483,2.611,104.957,0.000,0.000,0.0103675,0.000,7500.000,0.267,1.593,1006.114,14.659,59.546,59.465,105.019,0.122,0.221,-0.016,0.018,-0.015,0.000,0.000,0.000,0.005,0.698,-0.012,0.716,0.0000000,0.0000000,59.771,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
