State - Time (s),State - Stage,State - Stage,State - PX (m),State - PY (m),State - PZ (m),State - VX (m/s),State - VY (m/s),State - VZ (m/s),State - AX (m/s/s),State - AY (m/s/s),State - AZ (m/s/s),State - Actuation Angle (deg),State - Acutal Angle (deg),State - CdA,State - Est Apo (m),State - Target Apogee (m),State - Mach Number,State - Tilt [deg],MockBarometer - Pres (hPa),MockBarometer - Temp (C),MockBarometer - Alt ASL (m),MockBarometer - Alt AGL (m),MockIMU - AccX (m/s^2),MockIMU - AccY (m/s^2),MockIMU - AccZ (m/s^2),MockIMU - GyroX (rad/s),MockIMU - GyroY (rad/s),MockIMU - GyroZ (rad/s),MockIMU - MagX (uT),MockIMU - MagY (uT),MockIMU - MagZ (uT),MockIMU - OriX,MockIMU - OriY,MockIMU - OriZ,MockIMU - OriW,MockGPS - Lat,MockGPS - Lon,MockGPS - Alt (m),MockGPS - Disp X (m),MockGPS - Disp Y (m),MockGPS - Disp Z (m),MockGPS - Fix Quality,MockGPS - Time of Day,E5 - Rel Steps,BR - Battery Voltage (V),BR - ALT (m),BR - PRES (Pa),BR - TEMP (C),BR - VEL (m/s),BR - ANG (deg),BR - ACCX (m/s^2),BR - ACCY (m/s^2),BR - ACCZ (m/s^2),BR - GYROX (rad/s),BR - GYROY (rad/s),BR - GYROZ (rad/s),BR - ROLL (deg),BR - TILT (deg)
30.587,1,0,-1.200,-0.113,-10.513,-0.839,0.071,0.878,3.721,2.910,123.971,0.000,0.000,0.0103675,0.000,9144.000,0.039,1.678,1013.049,15.037,1.677,1.566,124.060,0.062,0.419,-0.004,-0.039,-0.001,0.000,0.000,0.000,0.011,0.695,-0.005,0.719,0.0000000,0.0000000,1.860,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
30.688,1,0,-1.143,-0.084,-7.729,-0.390,0.334,15.041,3.847,2.554,125.000,0.000,0.000,0.0103675,0.000,9144.000,0.004,1.900,1012.648,15.017,5.010,4.899,125.084,-0.262,0.396,-0.005,-0.006,-0.018,0.000,0.000,0.000,0.010,0.695,-0.006,0.719,0.0000000,0.0000000,4.974,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
30.789,1,0,-1.047,-0.032,-3.451,0.143,0.629,29.306,4.725,2.910,125.570,0.000,0.000,0.0103675,0.000,9144.000,0.044,1.935,1012.090,14.990,9.655,9.544,125.693,0.138,0.119,-0.004,-0.046,0.014,0.000,0.000,0.000,0.011,0.693,-0.005,0.721,0.0000000,0.0000000,9.350,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
30.890,1,0,-0.913,0.040,2.182,0.649,0.883,43.617,4.532,2.537,126.706,0.000,0.000,0.0103675,0.000,9144.000,0.086,2.198,1011.481,14.954,14.727,14.616,126.811,-0.018,0.409,-0.020,-0.004,-0.007,0.000,0.000,0.000,0.010,0.693,-0.005,0.721,0.0000000,0.0000000,14.997,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
30.991,1,0,-0.746,0.128,9.258,1.130,1.109,58.003,4.369,2.300,127.488,0.000,0.000,0.0103675,0.000,9144.000,0.128,2.224,1010.637,14.906,21.765,21.654,127.583,0.140,0.358,-0.031,0.020,0.030,0.000,0.000,0.000,0.010,0.694,-0.002,0.720,0.0000000,0.0000000,21.923,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
31.092,1,0,-0.552,0.226,17.769,1.564,1.290,72.470,4.007,1.912,128.456,0.000,0.000,0.0103675,0.000,9144.000,0.171,2.113,1009.633,14.856,30.137,30.026,128.532,-0.109,0.341,-0.013,0.032,-0.028,0.000,0.000,0.000,0.008,0.695,-0.003,0.719,0.0000000,0.0000000,30.137,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
31.193,1,0,-0.338,0.329,27.658,1.979,1.437,86.928,3.929,1.625,129.010,0.000,0.000,0.0103675,0.000,9144.000,0.213,1.932,1008.512,14.791,39.499,39.388,129.080,-0.157,0.362,-0.020,0.006,-0.014,0.000,0.000,0.000,0.007,0.695,-0.003,0.719,0.0000000,0.0000000,39.646,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
31.294,1,0,-0.105,0.437,38.972,2.437,1.588,101.452,4.476,1.726,129.960,0.000,0.000,0.0103675,0.000,9144.000,0.256,1.900,1007.188,14.722,50.564,50.454,130.048,0.018,0.353,-0.008,-0.039,-0.026,0.000,0.000,0.000,0.006,0.694,-0.003,0.720,0.0000000,0.0000000,50.457,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
31.395,1,0,0.150,0.548,51.695,2.906,1.752,115.979,4.723,1.916,130.433,0.000,0.000,0.0103675,0.000,9144.000,0.299,2.126,1005.712,14.640,62.913,62.802,130.533,-0.031,0.124,0.016,-0.001,-0.052,0.000,0.000,0.000,0.005,0.694,-0.006,0.720,0.0000000,0.0000000,62.578,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
31.496,1,0,0.420,0.666,65.688,3.318,1.933,130.432,4.303,2.141,131.191,0.000,0.000,0.0103675,0.000,9144.000,0.342,2.129,1004.188,14.552,75.676,75.565,131.279,-0.113,0.293,0.022,0.021,-0.027,0.000,0.000,0.000,0.005,0.695,-0.008,0.719,0.0000000,0.0000000,76.016,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
