State - Time (s),State - Stage,State - Stage,State - PX (m),State - PY (m),State - PZ (m),State - VX (m/s),State - VY (m/s),State - VZ (m/s),State - AX (m/s/s),State - AY (m/s/s),State - AZ (m/s/s),State - Actuation Angle (deg),State - Acutal Angle (deg),State - CdA,State - Est Apo (m),State - Target Apogee (m),State - Mach Number,State - Tilt [deg],MockBarometer - Pres (hPa),MockBarometer - Temp (C),MockBarometer - Alt ASL (m),MockBarometer - Alt AGL (m),MockIMU - AccX (m/s^2),MockIMU - AccY (m/s^2),MockIMU - AccZ (m/s^2),MockIMU - GyroX (rad/s),MockIMU - GyroY (rad/s),MockIMU - GyroZ (rad/s),MockIMU - MagX (uT),MockIMU - MagY (uT),MockIMU - MagZ (uT),MockIMU - OriX,MockIMU - OriY,MockIMU - OriZ,MockIMU - OriW,MockGPS - Lat,MockGPS - Lon,MockGPS - Alt (m),MockGPS - Disp X (m),MockGPS - Disp Y (m),MockGPS - Disp Z (m),MockGPS - Fix Quality,MockGPS - Time of Day,E5 - Rel Steps,BR - Battery Voltage (V),BR - ALT (m),BR - PRES (Pa),BR - TEMP (C),BR - VEL (m/s),BR - ANG (deg),BR - ACCX (m/s^2),BR - ACCY (m/s^2),BR - ACCZ (m/s^2),BR - GYROX (rad/s),BR - GYROY (rad/s),BR - GYROZ (rad/s),BR - ROLL (deg),BR - TILT (deg)
25.985,1,0,-1.171,0.255,-10.641,-0.729,0.046,0.817,4.652,-1.954,123.969,0.000,0.000,0.0103675,0.000,9144.000,0.039,2.272,1013.018,15.035,1.933,1.973,124.071,0.111,0.388,-0.029,-0.011,-0.009,0.000,0.000,0.000,-0.003,0.693,0.009,0.721,0.0000000,0.0000000,1.860,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
26.086,1,0,-1.105,0.225,-7.829,-0.229,-0.173,14.993,4.360,-2.050,124.873,0.000,0.000,0.0103675,0.000,9144.000,0.003,2.335,1012.653,15.016,4.971,5.010,124.965,-0.076,0.459,0.009,0.020,0.010,0.000,0.000,0.000,-0.002,0.693,0.009,0.721,0.0000000,0.0000000,4.974,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
26.187,1,0,-0.997,0.180,-3.520,0.308,-0.359,29.306,4.798,-1.750,125.784,0.000,0.000,0.0103675,0.000,9144.000,0.044,2.219,1012.091,14.988,9.650,9.689,125.887,0.234,0.311,0.000,-0.020,-0.012,0.000,0.000,0.000,-0.003,0.693,0.008,0.721,0.0000000,0.0000000,9.350,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
26.288,1,0,-0.848,0.121,2.210,0.901,-0.563,43.677,5.426,-1.958,126.568,0.000,0.000,0.0103675,0.000,9144.000,0.086,2.332,1011.424,14.953,15.205,15.245,126.700,0.108,0.211,-0.007,-0.039,-0.029,0.000,0.000,0.000,-0.004,0.691,0.008,0.723,0.0000000,0.0000000,14.997,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
26.389,1,0,-0.660,0.046,9.383,1.477,-0.821,58.130,5.351,-2.530,127.480,0.000,0.000,0.0103675,0.000,9144.000,0.129,2.555,1010.573,14.909,22.299,22.339,127.617,-0.053,0.315,-0.031,0.001,0.000,0.000,0.000,0.000,-0.005,0.691,0.009,0.723,0.0000000,0.0000000,21.923,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
26.490,1,0,-0.437,-0.046,17.891,2.032,-1.094,72.567,5.273,-2.724,128.272,0.000,0.000,0.0103675,0.000,9144.000,0.171,2.551,1009.648,14.854,30.017,30.056,128.409,0.021,0.268,-0.019,0.012,0.025,0.000,0.000,0.000,-0.005,0.692,0.010,0.722,0.0000000,0.0000000,30.137,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
26.591,1,0,-0.187,-0.154,27.788,2.552,-1.368,87.055,5.045,-2.800,129.336,0.000,0.000,0.0103675,0.000,9144.000,0.214,2.482,1008.517,14.791,39.454,39.493,129.464,-0.234,0.346,0.016,0.015,0.013,0.000,0.000,0.000,-0.004,0.692,0.010,0.722,0.0000000,0.0000000,39.646,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
26.692,1,0,0.088,-0.277,39.131,3.056,-1.636,101.572,5.039,-2.795,129.761,0.000,0.000,0.0103675,0.000,9144.000,0.257,2.398,1007.174,14.720,50.678,50.718,129.889,-0.021,0.180,-0.016,0.015,-0.013,0.000,0.000,0.000,-0.005,0.693,0.010,0.721,0.0000000,0.0000000,50.457,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
26.793,1,0,0.382,-0.413,51.821,3.549,-1.901,116.091,5.079,-2.845,130.693,0.000,0.000,0.0103675,0.000,9144.000,0.299,2.312,1005.748,14.640,62.611,62.651,130.822,0.090,0.586,-0.011,-0.031,-0.003,0.000,0.000,0.000,-0.005,0.692,0.011,0.722,0.0000000,0.0000000,62.578,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
26.894,1,0,0.694,-0.560,65.878,4.051,-2.160,130.611,5.340,-2.855,131.473,0.000,0.000,0.0103675,0.000,9144.000,0.342,2.490,1004.146,14.549,76.030,76.069,131.612,0.154,0.339,-0.004,0.002,-0.003,0.000,0.000,0.000,-0.006,0.692,0.011,0.722,0.0000000,0.0000000,76.016,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
26.995,1,0,1.023,-0.720,81.328,4.575,-2.479,145.114,5.726,-3.539,131.869,0.000,0.000,0.0103675,0.000,9144.000,0.385,2.482,1002.359,14.454,91.020,91.060,132.040,0.069,0.297,-0.045,-0.025,-0.004,0.000,0.000,0.000,-0.007,0.691,0.012,0.723,0.0000000,0.0000000,90.777,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
