State - Time (s),State - Stage,State - Stage,State - PX (m),State - PY (m),State - PZ (m),State - VX (m/s),State - VY (m/s),State - VZ (m/s),State - AX (m/s/s),State - AY (m/s/s),State - AZ (m/s/s),State - Actuation Angle (deg),State - Acutal Angle (deg),State - CdA,State - Est Apo (m),State - Target Apogee (m),State - Mach Number,State - Tilt [deg],MockBarometer - Pres (hPa),MockBarometer - Temp (C),MockBarometer - Alt ASL (m),MockBarometer - Alt AGL (m),MockIMU - AccX (m/s^2),MockIMU - AccY (m/s^2),MockIMU - AccZ (m/s^2),MockIMU - GyroX (rad/s),MockIMU - GyroY (rad/s),MockIMU - GyroZ (rad/s),MockIMU - MagX (uT),MockIMU - MagY (uT),MockIMU - MagZ (uT),MockIMU - OriX,MockIMU - OriY,MockIMU - OriZ,MockIMU - OriW,MockGPS - Lat,MockGPS - Lon,MockGPS - Alt (m),MockGPS - Disp X (m),MockGPS - Disp Y (m),MockGPS - Disp Z (m),MockGPS - Fix Quality,MockGPS - Time of Day,E5 - Rel Steps,BR - Battery Voltage (V),BR - ALT (m),BR - PRES (Pa),BR - TEMP (C),BR - VEL (m/s),BR - ANG (deg),BR - ACCX (m/s^2),BR - ACCY (m/s^2),BR - ACCZ (m/s^2),BR - GYROX (rad/s),BR - GYROY (rad/s),BR - GYROZ (rad/s),BR - ROLL (deg),BR - TILT (deg)
23.400,1,0,-1.209,0.078,-10.425,-0.661,0.027,0.885,5.657,-2.117,124.015,0.000,0.000,0.0103675,0.000,9144.000,0.039,2.964,1013.040,15.039,1.747,1.706,124.161,0.110,0.439,0.025,0.027,-0.023,0.000,0.000,0.000,-0.007,0.690,0.005,0.724,0.0000000,0.0000000,1.860,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
23.501,1,0,-1.128,0.062,-7.670,-0.048,-0.227,15.006,5.476,-2.479,124.799,0.000,0.000,0.0103675,0.000,9144.000,0.003,2.811,1012.671,15.020,4.819,4.778,124.943,0.008,0.281,-0.019,0.030,0.013,0.000,0.000,0.000,-0.008,0.691,0.007,0.723,0.0000000,0.0000000,4.974,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
23.602,1,0,-1.002,0.024,-3.457,0.493,-0.467,29.244,4.830,-2.367,125.758,0.000,0.000,0.0103675,0.000,9144.000,0.044,2.639,1012.144,14.989,9.203,9.162,125.872,0.145,0.395,-0.001,0.046,-0.006,0.000,0.000,0.000,-0.008,0.692,0.006,0.722,0.0000000,0.0000000,9.350,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
23.703,1,0,-0.837,-0.031,2.188,1.040,-0.692,43.577,4.980,-2.243,126.786,0.000,0.000,0.0103675,0.000,9144.000,0.086,2.377,1011.476,14.953,14.775,14.734,126.903,0.034,0.354,0.021,-0.005,0.011,0.000,0.000,0.000,-0.007,0.692,0.006,0.722,0.0000000,0.0000000,14.997,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
23.804,1,0,-0.638,-0.100,9.277,1.598,-0.869,57.980,5.190,-1.806,127.535,0.000,0.000,0.0103675,0.000,9144.000,0.128,2.408,1010.631,14.905,21.816,21.775,127.653,-0.033,0.285,0.040,-0.008,-0.024,0.000,0.000,0.000,-0.006,0.692,0.004,0.722,0.0000000,0.0000000,21.923,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
23.905,1,0,-0.406,-0.176,17.808,2.165,-1.006,72.449,5.404,-1.447,128.311,0.000,0.000,0.0103675,0.000,9144.000,0.171,2.456,1009.621,14.851,30.241,30.200,128.433,0.055,0.279,0.024,-0.014,0.046,0.000,0.000,0.000,-0.004,0.691,0.005,0.723,0.0000000,0.0000000,30.137,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
24.006,1,0,-0.143,-0.260,27.757,2.740,-1.185,86.967,5.618,-1.910,129.146,0.000,0.000,0.0103675,0.000,9144.000,0.213,2.537,1008.464,14.789,39.904,39.863,129.282,-0.020,0.308,-0.030,-0.016,-0.012,0.000,0.000,0.000,-0.005,0.691,0.005,0.723,0.0000000,0.0000000,39.646,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
24.107,1,0,0.147,-0.352,39.105,3.304,-1.354,101.498,5.659,-1.862,129.795,0.000,0.000,0.0103675,0.000,9144.000,0.256,2.627,1007.157,14.719,50.821,50.780,129.931,-0.035,0.345,0.006,-0.004,0.005,0.000,0.000,0.000,-0.005,0.691,0.005,0.723,0.0000000,0.0000000,50.457,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
24.208,1,0,0.460,-0.452,51.752,3.841,-1.565,115.979,5.558,-2.321,130.586,0.000,0.000,0.0103675,0.000,9144.000,0.299,2.649,1005.773,14.641,62.401,62.360,130.725,-0.058,0.262,-0.031,0.017,0.026,0.000,0.000,0.000,-0.005,0.691,0.007,0.723,0.0000000,0.0000000,62.578,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
24.309,1,0,0.791,-0.561,65.762,4.332,-1.747,130.451,5.271,-2.097,131.252,0.000,0.000,0.0103675,0.000,9144.000,0.342,2.555,1004.175,14.552,75.784,75.743,131.374,0.020,0.325,0.011,0.020,-0.022,0.000,0.000,0.000,-0.005,0.692,0.006,0.722,0.0000000,0.0000000,76.016,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
24.410,1,0,1.135,-0.676,81.180,4.813,-1.911,144.943,5.362,-1.986,131.880,0.000,0.000,0.0103675,0.000,9144.000,0.385,2.442,1002.379,14.454,90.852,90.811,132.003,0.059,0.319,0.007,-0.005,0.010,0.000,0.000,0.000,-0.005,0.692,0.006,0.722,0.0000000,0.0000000,90.777,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
24.511,1,0,1.492,-0.796,97.905,5.307,-2.096,159.376,5.681,-2.251,132.455,0.000,0.000,0.0103675,0.000,9144.000,0.427,2.468,1000.504,14.349,106.603,106.562,132.596,-0.168,0.367,-0.002,-0.026,0.013,0.000,0.000,0.000,-0.004,0.691,0.007,0.723,0.0000000,0.0000000,106.869,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
24.612,1,0,1.858,-0.921,116.032,5.771,-2.267,173.829,5.567,-2.170,133.118,0.000,0.000,0.0103675,0.000,9144.000,0.470,2.618,998.394,14.236,124.356,124.315,133.252,-0.190,0.431,0.009,0.006,0.016,0.000,0.000,0.000,-0.003,0.691,0.007,0.723,0.0000000,0.0000000,124.296,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
24.713,1,0,2.231,-1.049,135.472,6.172,-2.432,188.233,5.143,-2.185,133.720,0.000,0.000,0.0103675,0.000,9144.000,0.513,2.585,996.195,14.114,142.889,142.848,133.837,-0.022,0.204,-0.014,0.051,-0.025,0.000,0.000,0.000,-0.005,0.693,0.007,0.721,0.0000000,0.0000000,143.064,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
24.814,1,0,2.603,-1.181,156.263,6.543,-2.590,202.644,5.039,-2.189,134.597,0.000,0.000,0.0103675,0.000,9144.000,0.555,2.292,993.812,13.980,163.009,162.968,134.709,0.061,0.346,-0.005,-0.000,0.003,0.000,0.000,0.000,-0.005,0.693,0.007,0.721,0.0000000,0.0000000,163.180,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
24.915,1,0,2.974,-1.314,175.392,6.894,-2.749,214.725,5.041,-2.262,134.596,0.000,0.000,0.0103675,0.000,9144.000,0.598,2.293,993.812,13.980,163.009,162.968,134.709,0.061,0.346,-0.005,-0.000,0.003,0.000,0.000,0.000,-0.005,0.693,0.007,0.721,0.0000000,0.0000000,163.180,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
