State - Time (s),State - Stage,State - Stage,State - PX (m),State - PY (m),State - PZ (m),State - VX (m/s),State - VY (m/s),State - VZ (m/s),State - AX (m/s/s),State - AY (m/s/s),State - AZ (m/s/s),State - Actuation Angle (deg),State - Acutal Angle (deg),State - CdA,State - Est Apo (m),State - Target Apogee (m),State - Mach Number,State - Tilt [deg],MockBarometer - Pres (hPa),MockBarometer - Temp (C),MockBarometer - Alt ASL (m),MockBarometer - Alt AGL (m),MockIMU - AccX (m/s^2),MockIMU - AccY (m/s^2),MockIMU - AccZ (m/s^2),MockIMU - GyroX (rad/s),MockIMU - GyroY (rad/s),MockIMU - GyroZ (rad/s),MockIMU - MagX (uT),MockIMU - MagY (uT),MockIMU - MagZ (uT),MockIMU - OriX,MockIMU - OriY,MockIMU - OriZ,MockIMU - OriW,MockGPS - Lat,MockGPS - Lon,MockGPS - Alt (m),MockGPS - Disp X (m),MockGPS - Disp Y (m),MockGPS - Disp Z (m),MockGPS - Fix Quality,MockGPS - Time of Day,E5 - Rel Steps,MockBR - Battery Voltage (V),MockBR - ALT (m),MockBR - PRES (Pa),MockBR - TEMP (C),MockBR - VEL (m/s),MockBR - ANG (deg),MockBR - ACCX (m/s^2),MockBR - ACCY (m/s^2),MockBR - ACCZ (m/s^2),MockBR - GYROX (rad/s),MockBR - GYROY (rad/s),MockBR - GYROZ (rad/s),MockBR - ROLL (deg),MockBR - TILT (deg)
19.290,1,0,-1.314,-0.235,-10.348,-0.739,0.036,0.820,5.240,4.857,123.993,0.000,0.000,0.0103675,0.000,9144.000,0.039,2.517,915.032,9.464,851.338,1.901,124.197,0.069,0.514,0.014,-0.025,-0.039,0.000,0.000,0.000,0.013,0.690,-0.015,0.723,0.0000000,0.0000000,1.860,0.000,0.000,0.000,0,00:00:00,0,0.000,1.860,91502.992,9.464,12.409,0.000,0.302,124.086,-0.065,0.012,0.015,0.003,0.000,0.000
19.391,1,0,-1.231,-0.187,-7.599,-0.123,0.529,14.929,5.450,4.778,124.666,0.000,0.000,0.0103675,0.000,9144.000,0.003,2.661,914.705,9.445,854.297,4.860,124.876,-0.001,0.388,-0.001,-0.003,0.035,0.000,0.000,0.000,0.014,0.690,-0.013,0.723,0.0000000,0.0000000,4.974,0.000,0.000,0.000,0,00:00:00,0,0.000,4.974,91466.031,9.442,24.910,0.000,0.296,124.998,-0.053,0.007,-0.008,-0.014,0.000,0.000
19.492,1,0,-1.098,-0.099,-4.010,0.491,1.013,28.600,5.503,4.742,124.665,0.000,0.000,0.0103675,0.000,9144.000,0.044,2.677,914.705,9.445,854.297,4.860,124.876,-0.001,0.388,-0.001,-0.003,0.035,0.000,0.000,0.000,0.015,0.690,-0.012,0.723,0.0000000,0.0000000,4.974,0.000,0.000,0.000,0,00:00:00,0,0.000,4.974,91466.031,9.442,24.910,0.000,0.296,124.998,-0.053,0.007,-0.008,-0.014,0.000,0.000
19.593,1,0,-0.921,0.025,1.700,1.125,1.501,43.014,5.793,4.847,126.625,0.000,0.000,0.0103675,0.000,9144.000,0.085,2.693,913.578,9.379,864.482,15.045,126.850,0.010,0.373,0.000,-0.016,-0.029,0.000,0.000,0.000,0.014,0.690,-0.013,0.724,0.0000000,0.0000000,14.999,0.000,0.000,0.000,0,00:00:00,0,0.000,14.999,91362.742,9.381,50.181,0.000,0.369,126.817,0.057,-0.002,-0.001,0.004,0.000,0.000
19.694,1,0,-0.703,0.185,8.834,1.750,2.036,57.497,5.819,5.395,127.569,0.000,0.000,0.0103675,0.000,9144.000,0.128,2.782,912.815,9.334,871.396,21.959,127.815,-0.033,0.405,0.042,-0.002,-0.021,0.000,0.000,0.000,0.015,0.690,-0.015,0.724,0.0000000,0.0000000,21.927,0.000,0.000,0.000,0,00:00:00,0,0.000,21.927,91278.109,9.332,62.948,0.000,0.422,127.619,0.114,-0.013,-0.011,-0.001,0.000,0.000
19.795,1,0,-0.449,0.380,17.359,2.357,2.600,71.999,5.770,5.786,128.326,0.000,0.000,0.0103675,0.000,9144.000,0.171,2.792,911.925,9.281,879.451,30.014,128.585,-0.110,0.151,0.033,0.026,-0.013,0.000,0.000,0.000,0.016,0.690,-0.017,0.723,0.0000000,0.0000000,30.144,0.000,0.000,0.000,0,00:00:00,0,0.000,30.144,91185.633,9.277,75.802,0.000,0.435,128.600,-0.071,-0.003,-0.007,-0.007,0.000,0.000
19.896,1,0,-0.166,0.607,27.342,2.901,3.154,86.601,5.296,5.801,129.395,0.000,0.000,0.0103675,0.000,9144.000,0.214,2.643,910.832,9.217,889.366,39.929,129.632,0.037,0.570,-0.014,0.008,0.005,0.000,0.000,0.000,0.015,0.691,-0.016,0.723,0.0000000,0.0000000,39.658,0.000,0.000,0.000,0,00:00:00,0,0.000,39.658,91075.555,9.212,88.741,0.000,0.361,129.382,-0.033,-0.005,-0.027,-0.005,0.000,0.000
19.997,1,0,0.140,0.862,38.745,3.457,3.656,101.226,5.580,5.430,130.064,0.000,0.000,0.0103675,0.000,9144.000,0.258,2.596,909.615,9.145,900.409,50.972,130.296,0.003,0.445,-0.029,-0.011,-0.027,0.000,0.000,0.000,0.013,0.690,-0.016,0.723,0.0000000,0.0000000,50.478,0.000,0.000,0.000,0,00:00:00,0,0.000,50.478,90961.664,9.145,101.763,0.000,0.324,130.266,-0.074,0.003,0.003,0.002,0.000,0.000
20.098,1,0,0.466,1.137,51.472,3.956,4.117,115.822,5.189,5.157,130.940,0.000,0.000,0.0103675,0.000,9144.000,0.301,2.659,908.320,9.068,912.171,62.734,131.144,-0.110,0.395,-0.014,0.037,0.019,0.000,0.000,0.000,0.013,0.692,-0.015,0.722,0.0000000,0.0000000,62.611,0.000,0.000,0.000,0,00:00:00,0,0.000,62.611,90834.930,9.070,114.867,0.000,0.364,131.007,-0.034,0.008,0.009,0.004,0.000,0.000
20.199,1,0,0.806,1.428,65.638,4.423,4.585,130.464,5.044,5.384,131.675,0.000,0.000,0.0103675,0.000,9144.000,0.345,2.445,906.789,8.978,926.097,76.660,131.881,0.027,0.281,0.004,0.022,-0.006,0.000,0.000,0.000,0.013,0.693,-0.015,0.721,0.0000000,0.0000000,76.066,0.000,0.000,0.000,0,00:00:00,0,0.000,76.066,90675.242,8.976,128.049,0.000,0.385,131.884,0.033,0.010,0.005,-0.014,0.000,0.000
