State - Time (s),State - Stage,State - Stage,State - PX (m),State - PY (m),State - PZ (m),State - VX (m/s),State - VY (m/s),State - VZ (m/s),State - AX (m/s/s),State - AY (m/s/s),State - AZ (m/s/s),State - Actuation Angle (deg),State - Acutal Angle (deg),State - CdA,State - Est Apo (m),State - Target Apogee (m),State - Mach Number,State - Tilt [deg],State - Pos - Accel Integrated [m],State - Velo - Accel Integrated [m/s],MockBarometer - Pres (hPa),MockBarometer - Temp (C),MockBarometer - Alt ASL (m),MockBarometer - Alt AGL (m),MockIMU - AccX (m/s^2),MockIMU - AccY (m/s^2),MockIMU - AccZ (m/s^2),MockIMU - GyroX (rad/s),MockIMU - GyroY (rad/s),MockIMU - GyroZ (rad/s),MockIMU - MagX (uT),MockIMU - MagY (uT),MockIMU - MagZ (uT),MockIMU - OriX,MockIMU - OriY,MockIMU - OriZ,MockIMU - OriW,MockGPS - Lat,MockGPS - Lon,MockGPS - Alt (m),MockGPS - Disp X (m),MockGPS - Disp Y (m),MockGPS - Disp Z (m),MockGPS - Fix Quality,MockGPS - Time of Day,E5 - Rel Steps,MockBR - Battery Voltage (V),MockBR - ALT (m),MockBR - PRES (Pa),MockBR - TEMP (C),MockBR - VEL (m/s),MockBR - ANG (deg),MockBR - ACCX (m/s^2),MockBR - ACCY (m/s^2),MockBR - ACCZ (m/s^2),MockBR - GYROX (rad/s),MockBR - GYROY (rad/s),MockBR - GYROZ (rad/s),MockBR - ROLL (deg),MockBR - TILT (deg)
26.828,1,0,-1.172,0.737,4.803,-0.795,0.335,40.524,2.822,-3.450,124.893,0.000,0.000,0.0103675,0.000,9144.000,0.016,1.405,-496.347,-84.731,914.697,9.444,854.366,4.803,124.972,0.029,0.454,-0.007,-0.018,-0.005,0.000,0.000,0.000,-0.008,0.698,0.012,0.716,0.0000000,0.0000000,4.974,0.000,0.000,0.000,0,00:00:00,0,0.000,4.974,91467.969,9.443,24.910,0.000,0.337,125.081,0.032,-0.002,0.001,-0.014,0.000,0.000
26.929,1,0,-1.119,0.683,-73.967,-0.459,-0.011,-37.619,2.741,-3.060,125.884,0.000,0.000,0.0103675,0.000,9144.000,0.120,1.510,-503.562,-72.142,914.217,9.416,858.702,9.140,125.951,-0.077,0.308,0.041,0.020,-0.015,0.000,0.000,0.000,-0.007,0.698,0.010,0.716,0.0000000,0.0000000,9.350,0.000,0.000,0.000,0,00:00:00,0,0.000,9.350,91420.211,9.415,37.501,0.000,0.375,125.967,-0.022,-0.005,-0.010,0.007,0.000,0.000
27.030,1,0,-1.042,0.602,14.687,-0.146,-0.344,49.201,2.547,-2.986,126.550,0.000,0.000,0.0103675,0.000,9144.000,0.112,1.392,-509.510,-59.487,913.604,9.380,864.249,14.687,126.611,0.148,0.311,-0.010,0.016,0.028,0.000,0.000,0.000,-0.006,0.699,0.011,0.715,0.0000000,0.0000000,14.999,0.000,0.000,0.000,0,00:00:00,0,0.000,14.999,91351.758,9.375,50.181,0.000,0.285,126.876,0.072,-0.012,-0.011,-0.017,0.000,0.000
27.131,1,0,-0.943,0.498,-83.337,0.178,-0.711,-10.298,2.714,-3.370,127.584,0.000,0.000,0.0103675,0.000,9144.000,0.146,1.302,-514.183,-46.729,912.771,9.331,871.795,22.232,127.657,-0.058,0.252,-0.012,-0.006,-0.014,0.000,0.000,0.000,-0.007,0.699,0.011,0.715,0.0000000,0.0000000,21.927,0.000,0.000,0.000,0,00:00:00,0,0.000,21.927,91275.062,9.330,62.948,0.000,0.465,127.657,0.070,-0.021,-0.008,-0.001,0.000,0.000
27.232,1,0,-0.823,0.369,22.232,0.505,-1.086,-1.699,2.801,-3.522,127.578,0.000,0.000,0.0103675,0.000,9144.000,0.031,1.339,-517.580,-33.971,912.771,9.331,871.795,22.232,127.657,-0.058,0.252,-0.012,-0.006,-0.014,0.000,0.000,0.000,-0.008,0.699,0.011,0.715,0.0000000,0.0000000,21.927,0.000,0.000,0.000,0,00:00:00,0,0.000,21.927,91275.062,9.330,62.948,0.000,0.465,127.657,0.070,-0.021,-0.008,-0.001,0.000,0.000
27.333,1,0,-0.685,0.217,39.714,0.830,-1.476,163.375,2.855,-3.747,129.418,0.000,0.000,0.0103675,0.000,9144.000,0.006,1.376,-519.683,-21.029,910.842,9.217,889.276,39.714,129.503,0.045,0.217,-0.022,0.002,-0.001,0.000,0.000,0.000,-0.009,0.699,0.012,0.715,0.0000000,0.0000000,39.658,0.000,0.000,0.000,0,00:00:00,0,0.000,39.658,91081.891,9.216,88.741,0.000,0.320,129.403,0.034,-0.004,0.000,0.012,0.000,0.000
27.434,1,0,-0.530,0.043,-322.705,1.138,-1.870,25.859,2.777,-3.880,130.174,0.000,0.000,0.0103675,0.000,9144.000,0.486,1.365,-520.485,-8.012,909.674,9.148,899.870,50.308,130.260,0.030,0.472,-0.008,-0.012,-0.017,0.000,0.000,0.000,-0.010,0.698,0.011,0.716,0.0000000,0.0000000,50.478,0.000,0.000,0.000,0,00:00:00,0,0.000,50.478,90963.617,9.146,101.763,0.000,0.375,130.277,-0.022,0.002,-0.006,-0.003,0.000,0.000
27.535,1,0,-0.361,-0.146,2.173,1.465,-2.180,39.533,3.042,-3.142,131.198,0.000,0.000,0.0103675,0.000,9144.000,0.077,1.432,-519.974,5.108,908.342,9.070,911.976,62.413,131.270,-0.065,0.333,0.066,-0.008,0.016,0.000,0.000,0.000,-0.007,0.698,0.010,0.716,0.0000000,0.0000000,62.611,0.000,0.000,0.000,0,00:00:00,0,0.000,62.611,90833.633,9.069,114.867,0.000,0.424,130.995,0.016,-0.012,0.018,-0.000,0.000,0.000
27.636,1,0,-0.180,-0.344,-17.898,1.767,-2.438,53.350,2.898,-2.736,131.702,0.000,0.000,0.0103675,0.000,9144.000,0.118,1.478,-518.146,18.278,906.841,8.981,925.630,76.067,131.761,0.093,0.349,0.020,0.010,0.010,0.000,0.000,0.000,-0.006,0.698,0.009,0.716,0.0000000,0.0000000,76.066,0.000,0.000,0.000,0,00:00:00,0,0.000,76.066,90684.266,8.981,128.049,0.000,0.406,131.893,0.019,0.015,0.003,-0.005,0.000,0.000
27.737,1,0,0.012,-0.545,-38.651,2.049,-2.667,65.168,2.801,-2.551,132.505,0.000,0.000,0.0103675,0.000,9144.000,0.159,1.418,-514.993,31.528,905.248,8.887,940.139,90.577,132.559,-0.087,0.229,0.029,0.018,-0.007,0.000,0.000,0.000,-0.005,0.699,0.008,0.715,0.0000000,0.0000000,90.849,0.000,0.000,0.000,0,00:00:00,0,0.000,90.849,90520.656,8.884,141.308,0.000,0.336,132.628,-0.017,-0.001,-0.001,0.003,0.000,0.000
