State - Time (s),State - Stage,State - Stage,State - PX (m),State - PY (m),State - PZ (m),State - VX (m/s),State - VY (m/s),State - VZ (m/s),State - AX (m/s/s),State - AY (m/s/s),State - AZ (m/s/s),State - Actuation Angle (deg),State - Acutal Angle (deg),State - CdA,State - Est Apo (m),State - Target Apogee (m),State - Mach Number,State - Tilt [deg],State - Pos - Accel Integrated [m],State - Velo - Accel Integrated [m/s],State - Baro Correction Altitude Delta [m],MockBarometer - Pres (hPa),MockBarometer - Temp (C),MockBarometer - Alt ASL (m),MockBarometer - Alt AGL (m),MockIMU - AccX (m/s^2),MockIMU - AccY (m/s^2),MockIMU - AccZ (m/s^2),MockIMU - GyroX (rad/s),MockIMU - GyroY (rad/s),MockIMU - GyroZ (rad/s),MockIMU - MagX (uT),MockIMU - MagY (uT),MockIMU - MagZ (uT),MockIMU - OriX,MockIMU - OriY,MockIMU - OriZ,MockIMU - OriW,MockGPS - Lat,MockGPS - Lon,MockGPS - Alt (m),MockGPS - Disp X (m),MockGPS - Disp Y (m),MockGPS - Disp Z (m),MockGPS - Fix Quality,MockGPS - Time of Day,E5 - Rel Steps,MockBR - Battery Voltage (V),MockBR - ALT (m),MockBR - PRES (Pa),MockBR - TEMP (C),MockBR - VEL (m/s),MockBR - ANG (deg),MockBR - ACCX (m/s^2),MockBR - ACCY (m/s^2),MockBR - ACCZ (m/s^2),MockBR - GYROX (rad/s),MockBR - GYROY (rad/s),MockBR - GYROZ (rad/s),MockBR - ROLL (deg),MockBR - TILT (deg)
30.564,1,0,-0.045,-0.019,7.748,-1.438,0.360,-0.566,-14.532,3.681,-122.852,0.000,0.000,0.0116870,0.000,9144.000,0.000,5.800,0.000,0.000,0.000,911.276,9.243,885.341,1.831,-123.760,-0.199,0.895,-0.110,0.118,-0.144,0.000,0.000,0.000,-0.032,-0.665,-0.049,0.744,0.0000000,0.0000000,1.847,0.000,0.000,0.000,0,00:00:00,-1195,0.000,1.847,91121.078,9.239,12.395,0.000,1.050,123.947,-0.024,0.003,-0.017,0.014,0.000,0.000
30.665,2,0,-0.229,0.036,6.736,-2.687,0.805,-13.349,-12.496,4.425,-124.189,0.000,0.000,0.0116870,0.000,9144.000,0.038,6.481,-1.242,-12.419,0.000,910.952,9.224,888.275,4.766,-124.892,0.064,0.872,-0.057,-0.164,-0.055,0.000,0.000,0.000,-0.033,-0.671,-0.053,0.739,0.0000000,0.0000000,4.940,0.000,0.000,0.000,0,00:00:00,-1195,0.000,4.940,91086.508,9.219,24.881,0.000,1.008,124.719,0.017,-0.005,0.002,0.011,0.000,0.000
30.766,2,0,-0.514,0.126,5.413,-3.999,1.231,-25.466,-13.259,4.282,-124.869,0.000,0.000,0.0116870,0.000,9144.000,0.075,5.547,-3.732,-24.906,0.000,910.433,9.193,892.987,9.477,-125.639,-0.203,1.067,-0.063,0.038,-0.001,0.000,0.000,0.000,-0.035,-0.670,-0.055,0.740,0.0000000,0.0000000,9.286,0.000,0.000,0.000,0,00:00:00,-1195,0.000,9.286,91050.797,9.198,37.457,0.000,1.067,125.720,-0.029,0.003,0.016,-0.007,0.000,0.000
30.867,2,0,-0.890,0.252,3.960,-5.278,1.790,-36.861,-13.131,5.672,-125.845,0.000,0.000,0.0116870,0.000,9144.000,0.113,5.772,-7.481,-37.490,0.000,909.850,9.159,898.270,14.761,-126.652,0.072,0.932,-0.080,0.007,-0.086,0.000,0.000,0.000,-0.035,-0.669,-0.061,0.740,0.0000000,0.0000000,14.896,0.000,0.000,0.000,0,00:00:00,-1195,0.000,14.896,90981.781,9.157,50.122,0.000,1.066,126.700,-0.018,0.012,0.008,0.002,0.000,0.000
30.968,2,0,-1.343,0.425,2.728,-6.448,2.502,-47.311,-12.286,7.274,-126.668,0.000,0.000,0.0116870,0.000,9144.000,0.151,5.825,-12.497,-50.157,0.000,909.056,9.112,905.482,21.973,-127.467,-0.199,0.872,0.050,-0.051,-0.153,0.000,0.000,0.000,-0.028,-0.672,-0.065,0.738,0.0000000,0.0000000,21.777,0.000,0.000,0.000,0,00:00:00,-1195,0.000,21.777,90907.016,9.113,62.875,0.000,1.082,127.557,-0.032,-0.011,-0.001,-0.010,0.000,0.000
31.069,2,0,-1.859,0.644,1.891,-7.575,3.168,-56.797,-12.138,6.934,-127.910,0.000,0.000,0.0116870,0.000,9144.000,0.189,5.524,-18.792,-62.948,0.000,908.165,9.059,913.585,30.076,-128.668,-0.042,0.950,0.094,-0.030,0.041,0.000,0.000,0.000,-0.026,-0.673,-0.060,0.737,0.0000000,0.0000000,29.939,0.000,0.000,0.000,0,00:00:00,-1195,0.000,29.939,90818.039,9.060,75.716,0.000,1.098,128.407,-0.019,0.011,0.002,0.005,0.000,0.000
31.170,2,0,-2.431,0.908,1.639,-8.741,3.912,-65.190,-12.824,7.836,-128.516,0.000,0.000,0.0116870,0.000,9144.000,0.227,5.329,-26.372,-75.800,0.000,907.149,8.999,922.821,39.312,-129.388,-0.072,0.978,-0.171,0.055,-0.061,0.000,0.000,0.000,-0.030,-0.670,-0.068,0.738,0.0000000,0.0000000,39.389,0.000,0.000,0.000,0,00:00:00,-1195,0.000,39.389,90714.844,8.999,88.641,0.000,0.985,129.320,-0.012,0.006,-0.003,-0.001,0.000,0.000
31.271,2,0,-3.050,1.213,2.174,-9.774,4.619,-72.445,-11.831,7.641,-129.373,0.000,0.000,0.0116870,0.000,9144.000,0.266,5.686,-35.246,-88.737,0.000,905.987,8.930,933.406,49.897,-130.134,0.048,0.952,-0.018,-0.082,0.016,0.000,0.000,0.000,-0.032,-0.673,-0.068,0.735,0.0000000,0.0000000,50.135,0.000,0.000,0.000,0,00:00:00,-1195,0.000,50.135,90597.758,8.930,101.651,0.000,1.006,130.009,0.093,-0.007,0.001,-0.012,0.000,0.000
31.372,2,0,-3.711,1.553,3.694,-10.935,5.297,-78.497,-13.447,7.534,-130.208,0.000,0.000,0.0116870,0.000,9144.000,0.305,5.222,-45.421,-101.758,0.000,904.660,8.852,945.498,61.989,-131.113,0.026,1.047,-0.075,0.107,0.028,0.000,0.000,0.000,-0.035,-0.669,-0.070,0.739,0.0000000,0.0000000,62.187,0.000,0.000,0.000,0,00:00:00,-1195,0.000,62.187,90467.758,8.853,114.743,0.000,1.035,130.905,0.071,-0.010,-0.012,-0.019,0.000,0.000
31.473,2,0,-4.415,1.922,6.380,-12.059,5.962,-83.294,-13.453,7.588,-130.950,0.000,0.000,0.0116870,0.000,9144.000,0.344,5.855,-56.907,-114.853,0.000,903.169,8.763,959.107,75.597,-131.853,0.036,1.063,-0.002,-0.006,-0.001,0.000,0.000,0.000,-0.035,-0.669,-0.070,0.739,0.0000000,0.0000000,75.552,0.000,0.000,0.000,0,00:00:00,-1195,0.000,75.552,90319.906,8.765,127.915,0.000,0.938,131.777,0.004,-0.011,-0.013,-0.015,0.000,0.000
