State - Time (s),State - Stage,State - Stage,State - PX (m),State - PY (m),State - PZ (m),State - VX (m/s),State - VY (m/s),State - VZ (m/s),State - AX (m/s/s),State - AY (m/s/s),State - AZ (m/s/s),State - Actuation Angle (deg),State - Acutal Angle (deg),State - CdA,State - Est Apo (m),State - Target Apogee (m),State - Mach Number,State - Tilt [deg],State - Pos - Accel Integrated [m],State - Velo - Accel Integrated [m/s],MockBarometer - Pres (hPa),MockBarometer - Temp (C),MockBarometer - Alt ASL (m),MockBarometer - Alt AGL (m),MockIMU - AccX (m/s^2),MockIMU - AccY (m/s^2),MockIMU - AccZ (m/s^2),MockIMU - GyroX (rad/s),MockIMU - GyroY (rad/s),MockIMU - GyroZ (rad/s),MockIMU - MagX (uT),MockIMU - MagY (uT),MockIMU - MagZ (uT),MockIMU - OriX,MockIMU - OriY,MockIMU - OriZ,MockIMU - OriW,MockGPS - Lat,MockGPS - Lon,MockGPS - Alt (m),MockGPS - Disp X (m),MockGPS - Disp Y (m),MockGPS - Disp Z (m),MockGPS - Fix Quality,MockGPS - Time of Day,E5 - Rel Steps,MockBR - Battery Voltage (V),MockBR - ALT (m),MockBR - PRES (Pa),MockBR - TEMP (C),MockBR - VEL (m/s),MockBR - ANG (deg),MockBR - ACCX (m/s^2),MockBR - ACCY (m/s^2),MockBR - ACCZ (m/s^2),MockBR - GYROX (rad/s),MockBR - GYROY (rad/s),MockBR - GYROZ (rad/s),MockBR - ROLL (deg),MockBR - TILT (deg)
29.608,1,0,-1.214,-0.249,-10.570,-0.813,-0.156,0.825,4.065,0.247,124.044,0.000,0.000,0.0103675,0.000,9144.000,0.039,1.847,18.712,15.306,915.011,9.463,851.527,1.878,124.111,-0.057,0.157,0.017,-0.018,-0.022,0.000,0.000,0.000,-0.000,0.695,-0.002,0.719,0.0000000,0.0000000,1.860,0.000,0.000,0.000,0,00:00:00,-791,0.000,1.860,91505.000,9.465,12.409,0.000,0.338,124.098,0.055,-0.004,0.005,0.016,0.000,0.000
29.709,1,0,-1.156,-0.240,-7.788,-0.397,-0.148,14.974,3.509,-0.054,124.836,0.000,0.000,0.0103675,0.000,9144.000,0.003,1.950,21.491,27.789,914.681,9.443,854.513,4.863,124.884,-0.159,0.583,-0.016,0.013,0.005,0.000,0.000,0.000,-0.001,0.695,-0.001,0.719,0.0000000,0.0000000,4.974,0.000,0.000,0.000,0,00:00:00,-791,0.000,4.974,91472.852,9.446,24.910,0.000,0.309,125.018,-0.032,0.015,0.021,0.007,0.000,0.000
29.810,1,0,-1.065,-0.230,-3.497,0.004,-0.135,29.290,3.411,0.011,125.944,0.000,0.000,0.0103675,0.000,9144.000,0.045,1.878,25.529,40.384,914.156,9.413,859.257,9.607,125.990,0.103,0.293,-0.017,0.034,-0.051,0.000,0.000,0.000,-0.003,0.697,-0.002,0.717,0.0000000,0.0000000,9.350,0.000,0.000,0.000,0,00:00:00,-791,0.000,9.350,91417.719,9.414,37.501,0.000,0.413,125.946,-0.009,-0.007,-0.013,-0.016,0.000,0.000
29.911,1,0,-0.947,-0.219,2.171,0.382,-0.088,43.638,3.245,0.349,126.805,0.000,0.000,0.0103675,0.000,9144.000,0.087,1.685,30.835,53.064,913.579,9.379,864.478,14.829,126.846,-0.077,0.507,0.041,-0.002,0.003,0.000,0.000,0.000,-0.001,0.697,-0.004,0.717,0.0000000,0.0000000,14.999,0.000,0.000,0.000,0,00:00:00,-791,0.000,14.999,91348.375,9.373,50.181,0.000,0.445,126.861,0.010,0.010,0.002,-0.026,0.000,0.000
30.012,1,0,-0.805,-0.206,9.264,0.796,-0.074,58.044,3.674,0.037,127.577,0.000,0.000,0.0103675,0.000,9144.000,0.130,1.696,37.418,65.822,912.815,9.334,871.396,21.747,127.629,-0.077,0.352,-0.025,-0.020,0.010,0.000,0.000,0.000,-0.002,0.696,-0.003,0.718,0.0000000,0.0000000,21.927,0.000,0.000,0.000,0,00:00:00,-791,0.000,21.927,91288.094,9.338,62.948,0.000,0.332,127.707,-0.060,0.007,-0.005,0.009,0.000,0.000
30.113,1,0,-0.640,-0.193,17.749,1.162,-0.071,72.488,3.287,-0.071,128.456,0.000,0.000,0.0103675,0.000,9144.000,0.173,1.807,45.284,78.668,911.923,9.281,879.471,29.822,128.498,0.007,0.350,-0.014,0.032,0.019,0.000,0.000,0.000,-0.002,0.697,-0.001,0.717,0.0000000,0.0000000,30.144,0.000,0.000,0.000,0,00:00:00,-791,0.000,30.144,91186.453,9.278,75.802,0.000,0.296,128.460,0.026,0.005,-0.004,-0.011,0.000,0.000
30.214,1,0,-0.459,-0.182,26.300,1.476,-0.087,85.892,2.870,-0.261,128.466,0.000,0.000,0.0103675,0.000,9144.000,0.216,1.621,54.436,91.514,911.923,9.281,879.471,29.822,128.498,0.007,0.350,-0.014,0.032,0.019,0.000,0.000,0.000,-0.002,0.698,-0.000,0.716,0.0000000,0.0000000,30.144,0.000,0.000,0.000,0,00:00:00,-791,0.000,30.144,91186.453,9.278,75.802,0.000,0.296,128.460,0.026,0.005,-0.004,-0.011,0.000,0.000
30.315,1,0,-0.266,-0.174,37.692,1.806,-0.104,100.563,3.122,-0.260,130.065,0.000,0.000,0.0103675,0.000,9144.000,0.255,1.435,64.888,104.521,909.666,9.148,899.946,50.296,130.102,0.012,0.372,-0.000,-0.018,-0.005,0.000,0.000,0.000,-0.002,0.698,-0.000,0.717,0.0000000,0.0000000,50.478,0.000,0.000,0.000,0,00:00:00,-791,0.000,50.478,90964.305,9.147,101.763,0.000,0.422,130.221,0.049,0.000,0.003,-0.002,0.000,0.000
30.416,1,0,-0.062,-0.167,50.495,2.097,-0.114,115.289,2.848,-0.183,131.173,0.000,0.000,0.0103675,0.000,9144.000,0.299,1.539,76.652,117.638,908.309,9.068,912.271,62.622,131.203,0.118,0.516,-0.001,0.012,0.044,0.000,0.000,0.000,-0.000,0.698,0.001,0.716,0.0000000,0.0000000,62.611,0.000,0.000,0.000,0,00:00:00,-791,0.000,62.611,90834.914,9.070,114.867,0.000,0.323,131.127,-0.003,0.009,-0.017,0.013,0.000,0.000
30.517,1,0,0.148,-0.164,64.649,2.358,-0.155,129.981,2.665,-0.495,131.878,0.000,0.000,0.0103675,0.000,9144.000,0.343,1.469,89.734,130.826,906.847,8.981,925.571,75.922,131.905,0.030,0.209,-0.017,0.038,-0.000,0.000,0.000,0.000,-0.001,0.699,0.002,0.715,0.0000000,0.0000000,76.066,0.000,0.000,0.000,0,00:00:00,-791,0.000,76.066,90681.703,8.980,128.049,0.000,0.438,131.755,-0.052,0.006,0.020,0.004,0.000,0.000
