State - Time (s),State - Stage,State - Stage,State - PX (m),State - PY (m),State - PZ (m),State - VX (m/s),State - VY (m/s),State - VZ (m/s),State - AX (m/s/s),State - AY (m/s/s),State - AZ (m/s/s),State - Actuation Angle (deg),State - Acutal Angle (deg),State - CdA,State - Est Apo (m),State - Target Apogee (m),State - Mach Number,State - Tilt [deg],State - Pos - Accel Integrated [m],State - Velo - Accel Integrated [m/s],MockBarometer - Pres (hPa),MockBarometer - Temp (C),MockBarometer - Alt ASL (m),MockBarometer - Alt AGL (m),MockIMU - AccX (m/s^2),MockIMU - AccY (m/s^2),MockIMU - AccZ (m/s^2),MockIMU - GyroX (rad/s),MockIMU - GyroY (rad/s),MockIMU - GyroZ (rad/s),MockIMU - MagX (uT),MockIMU - MagY (uT),MockIMU - MagZ (uT),MockIMU - OriX,MockIMU - OriY,MockIMU - OriZ,MockIMU - OriW,MockGPS - Lat,MockGPS - Lon,MockGPS - Alt (m),MockGPS - Disp X (m),MockGPS - Disp Y (m),MockGPS - Disp Z (m),MockGPS - Fix Quality,MockGPS - Time of Day,E5 - Rel Steps,MockBR - Battery Voltage (V),MockBR - ALT (m),MockBR - PRES (Pa),MockBR - TEMP (C),MockBR - VEL (m/s),MockBR - ANG (deg),MockBR - ACCX (m/s^2),MockBR - ACCY (m/s^2),MockBR - ACCZ (m/s^2),MockBR - GYROX (rad/s),MockBR - GYROY (rad/s),MockBR - GYROZ (rad/s),MockBR - ROLL (deg),MockBR - TILT (deg)
36.191,1,0,-3.771,0.156,-7.212,-2.510,0.087,1.172,11.967,-0.101,123.399,0.000,0.000,0.0116870,0.000,9144.000,0.052,6.238,35.707,17.224,911.305,9.245,885.077,1.721,123.973,0.097,1.075,0.013,0.035,0.022,0.000,0.000,0.000,-0.002,0.669,-0.001,0.743,0.0000000,0.0000000,1.847,0.000,0.000,0.000,0,00:00:00,-1020,0.000,1.847,91126.609,9.242,12.395,0.000,0.996,123.978,-0.047,-0.003,-0.006,-0.008,0.000,0.000
36.292,1,0,-3.583,0.148,-4.870,-1.103,0.062,14.912,12.040,-0.173,124.277,0.000,0.000,0.0116870,0.000,9144.000,0.088,6.036,38.672,29.652,910.956,9.224,888.241,4.885,124.853,0.027,1.136,0.000,-0.003,0.002,0.000,0.000,0.000,-0.002,0.669,-0.001,0.743,0.0000000,0.0000000,4.940,0.000,0.000,0.000,0,00:00:00,-1020,0.000,4.940,91097.578,9.225,24.881,0.000,1.099,124.871,0.056,-0.007,-0.009,-0.014,0.000,0.000
36.393,1,0,-3.282,0.137,-1.037,0.329,0.008,28.800,12.459,-0.460,125.012,0.000,0.000,0.0116870,0.000,9144.000,0.125,6.055,42.888,42.153,910.466,9.195,892.683,9.326,125.627,0.001,1.095,-0.022,-0.024,-0.011,0.000,0.000,0.000,-0.003,0.668,-0.000,0.744,0.0000000,0.0000000,9.286,0.000,0.000,0.000,0,00:00:00,-1020,0.000,9.286,91052.164,9.198,37.457,0.000,1.081,125.806,0.010,-0.002,-0.006,-0.003,0.000,0.000
36.494,1,0,-2.880,0.124,4.311,1.720,-0.021,42.871,12.251,-0.227,126.026,0.000,0.000,0.0116870,0.000,9144.000,0.163,6.189,48.363,54.756,909.805,9.156,898.685,15.329,126.617,-0.018,0.942,0.019,0.037,-0.018,0.000,0.000,0.000,-0.003,0.669,-0.001,0.743,0.0000000,0.0000000,14.896,0.000,0.000,0.000,0,00:00:00,-1020,0.000,14.896,90986.844,9.160,50.122,0.000,1.022,126.609,0.043,0.012,-0.007,0.015,0.000,0.000
36.595,1,0,-2.390,0.108,11.064,3.083,-0.061,57.004,12.243,-0.334,126.791,0.000,0.000,0.0116870,0.000,9144.000,0.201,5.978,55.107,67.435,909.074,9.113,905.319,21.963,127.376,0.142,1.098,-0.024,-0.005,-0.034,0.000,0.000,0.000,-0.005,0.669,-0.002,0.743,0.0000000,0.0000000,21.777,0.000,0.000,0.000,0,00:00:00,-1020,0.000,21.777,90904.594,9.111,62.875,0.000,1.010,127.528,0.064,-0.011,0.005,-0.008,0.000,0.000
36.696,1,0,-1.822,0.090,18.098,4.423,-0.126,70.280,12.312,-0.600,126.783,0.000,0.000,0.0116870,0.000,9144.000,0.239,6.007,63.118,80.113,909.074,9.113,905.319,21.963,127.376,0.142,1.098,-0.024,-0.005,-0.034,0.000,0.000,0.000,-0.007,0.669,-0.002,0.743,0.0000000,0.0000000,21.777,0.000,0.000,0.000,0,00:00:00,-1020,0.000,21.777,90904.594,9.111,62.875,0.000,1.010,127.528,0.064,-0.011,0.005,-0.008,0.000,0.000
36.797,1,0,-1.187,0.064,27.800,5.708,-0.250,84.739,12.096,-1.186,128.755,0.000,0.000,0.0116870,0.000,9144.000,0.277,6.036,72.417,92.989,907.119,8.997,923.101,39.745,129.322,-0.013,1.270,-0.036,0.020,-0.033,0.000,0.000,0.000,-0.009,0.670,-0.002,0.743,0.0000000,0.0000000,39.389,0.000,0.000,0.000,0,00:00:00,-1020,0.000,39.389,90711.219,8.997,88.641,0.000,1.064,129.253,0.012,0.015,0.005,-0.012,0.000,0.000
36.898,1,0,-0.495,0.031,38.802,6.987,-0.342,99.153,12.404,-0.900,129.522,0.000,0.000,0.0116870,0.000,9144.000,0.316,5.920,83.011,105.941,906.021,8.932,933.100,49.744,130.113,0.075,1.042,0.017,-0.000,0.012,0.000,0.000,0.000,-0.008,0.670,-0.003,0.743,0.0000000,0.0000000,50.135,0.000,0.000,0.000,0,00:00:00,-1020,0.000,50.135,90600.594,8.931,101.651,0.000,1.069,130.078,0.001,-0.010,-0.016,-0.001,0.000,0.000
36.999,1,0,0.249,-0.006,51.245,8.255,-0.408,113.641,12.681,-0.658,130.402,0.000,0.000,0.0116870,0.000,9144.000,0.355,5.922,94.909,118.981,904.669,8.852,945.421,62.065,131.016,0.098,0.821,0.016,0.003,-0.013,0.000,0.000,0.000,-0.008,0.670,-0.004,0.743,0.0000000,0.0000000,62.187,0.000,0.000,0.000,0,00:00:00,-1020,0.000,62.187,90459.258,8.848,114.743,0.000,1.041,130.869,-0.029,0.009,-0.008,0.009,0.000,0.000
37.100,1,0,1.035,-0.047,65.105,9.443,-0.497,128.175,12.314,-0.900,131.230,0.000,0.000,0.0116870,0.000,9144.000,0.394,5.908,108.119,132.104,903.184,8.764,958.972,75.615,131.804,0.078,1.136,-0.016,0.010,-0.004,0.000,0.000,0.000,-0.009,0.670,-0.003,0.742,0.0000000,0.0000000,75.552,0.000,0.000,0.000,0,00:00:00,-1020,0.000,75.552,90324.906,8.768,127.915,0.000,0.934,131.760,-0.032,-0.012,0.013,0.001,0.000,0.000
