State - Time (s),State - Stage,State - Stage,State - PX (m),State - PY (m),State - PZ (m),State - VX (m/s),State - VY (m/s),State - VZ (m/s),State - AX (m/s/s),State - AY (m/s/s),State - AZ (m/s/s),State - Actuation Angle (deg),State - Acutal Angle (deg),State - CdA,State - Est Apo (m),State - Target Apogee (m),State - Mach Number,State - Tilt [deg],State - Pos - Accel Integrated [m],State - Velo - Accel Integrated [m/s],MockBarometer - Pres (hPa),MockBarometer - Temp (C),MockBarometer - Alt ASL (m),MockBarometer - Alt AGL (m),MockIMU - AccX (m/s^2),MockIMU - AccY (m/s^2),MockIMU - AccZ (m/s^2),MockIMU - GyroX (rad/s),MockIMU - GyroY (rad/s),MockIMU - GyroZ (rad/s),MockIMU - MagX (uT),MockIMU - MagY (uT),MockIMU - MagZ (uT),MockIMU - OriX,MockIMU - OriY,MockIMU - OriZ,MockIMU - OriW,MockGPS - Lat,MockGPS - Lon,MockGPS - Alt (m),MockGPS - Disp X (m),MockGPS - Disp Y (m),MockGPS - Disp Z (m),MockGPS - Fix Quality,MockGPS - Time of Day,E5 - Rel Steps,MockBR - Battery Voltage (V),MockBR - ALT (m),MockBR - PRES (Pa),MockBR - TEMP (C),MockBR - VEL (m/s),MockBR - ANG (deg),MockBR - ACCX (m/s^2),MockBR - ACCY (m/s^2),MockBR - ACCZ (m/s^2),MockBR - GYROX (rad/s),MockBR - GYROY (rad/s),MockBR - GYROZ (rad/s),MockBR - ROLL (deg),MockBR - TILT (deg)
29.628,1,0,-3.842,0.463,-7.219,-2.656,0.164,1.100,11.339,-3.184,123.411,0.000,0.000,0.0116870,0.000,9144.000,0.052,5.716,36.928,17.310,911.293,9.244,885.187,1.625,123.967,-0.170,1.047,-0.009,-0.003,-0.028,0.000,0.000,0.000,-0.009,0.671,0.009,0.742,0.0000000,0.0000000,1.847,0.000,0.000,0.000,0,00:00:00,-721,0.000,1.847,91123.625,9.241,12.395,0.000,0.918,123.905,0.030,0.011,0.010,-0.009,0.000,0.000
29.729,1,0,-3.663,0.418,-4.900,-1.324,-0.188,14.844,11.264,-3.269,124.442,0.000,0.000,0.0116870,0.000,9144.000,0.089,5.732,39.904,29.755,910.948,9.224,888.316,4.754,124.987,-0.074,1.188,-0.011,0.003,0.016,0.000,0.000,0.000,-0.009,0.671,0.010,0.741,0.0000000,0.0000000,4.940,0.000,0.000,0.000,0,00:00:00,-721,0.000,4.940,91088.594,9.220,24.881,0.000,1.073,124.787,0.049,-0.007,0.005,0.004,0.000,0.000
29.830,1,0,-3.377,0.347,-1.081,0.061,-0.504,28.741,11.937,-2.941,125.158,0.000,0.000,0.0116870,0.000,9144.000,0.126,5.717,44.131,42.270,910.454,9.194,892.796,9.235,125.756,-0.040,1.015,0.025,-0.034,-0.002,0.000,0.000,0.000,-0.008,0.670,0.009,0.743,0.0000000,0.0000000,9.286,0.000,0.000,0.000,0,00:00:00,-721,0.000,9.286,91047.625,9.196,37.457,0.000,1.126,125.726,0.065,-0.004,-0.014,0.001,0.000,0.000
29.931,1,0,-2.992,0.254,4.181,1.424,-0.821,42.754,11.919,-3.010,126.042,0.000,0.000,0.0116870,0.000,9144.000,0.163,5.911,49.618,54.875,909.850,9.159,898.273,14.711,126.635,-0.080,1.107,0.003,0.001,0.035,0.000,0.000,0.000,-0.006,0.670,0.010,0.743,0.0000000,0.0000000,14.896,0.000,0.000,0.000,0,00:00:00,-721,0.000,14.896,90980.953,9.156,50.122,0.000,0.971,126.698,0.011,0.019,0.002,0.001,0.000,0.000
30.032,1,0,-2.519,0.140,10.896,2.768,-1.155,56.888,11.987,-3.231,127.006,0.000,0.000,0.0116870,0.000,9144.000,0.201,5.908,56.376,67.575,909.089,9.114,905.188,21.627,127.607,-0.177,1.091,-0.007,0.004,0.005,0.000,0.000,0.000,-0.006,0.670,0.010,0.742,0.0000000,0.0000000,21.777,0.000,0.000,0.000,0,00:00:00,-721,0.000,21.777,90893.648,9.105,62.875,0.000,1.038,127.498,0.027,-0.014,-0.002,0.011,0.000,0.000
30.133,1,0,-1.970,0.010,19.014,4.076,-1.397,71.088,11.910,-2.393,127.869,0.000,0.000,0.0116870,0.000,9144.000,0.239,5.888,64.412,80.362,908.215,9.062,913.129,29.567,128.441,0.110,1.014,0.045,0.019,0.007,0.000,0.000,0.000,-0.005,0.671,0.009,0.742,0.0000000,0.0000000,29.939,0.000,0.000,0.000,0,00:00:00,-721,0.000,29.939,90821.773,9.062,75.716,0.000,0.963,128.340,-0.046,0.000,0.009,-0.002,0.000,0.000
30.234,1,0,-1.353,-0.130,28.540,5.362,-1.639,85.352,12.022,-2.457,128.729,0.000,0.000,0.0116870,0.000,9144.000,0.278,5.779,73.735,93.235,907.189,9.002,922.463,38.902,129.310,0.190,0.882,-0.008,0.008,0.014,0.000,0.000,0.000,-0.004,0.671,0.010,0.742,0.0000000,0.0000000,39.389,0.000,0.000,0.000,0,00:00:00,-721,0.000,39.389,90710.023,8.996,88.641,0.000,1.109,129.337,0.071,-0.004,-0.006,0.007,0.000,0.000
30.335,1,0,-0.681,-0.281,39.539,6.546,-1.915,99.717,11.365,-2.886,129.526,0.000,0.000,0.0116870,0.000,9144.000,0.317,5.733,84.354,106.188,905.961,8.929,933.642,50.080,130.050,-0.046,1.199,-0.013,0.032,0.005,0.000,0.000,0.000,-0.005,0.672,0.010,0.740,0.0000000,0.0000000,50.135,0.000,0.000,0.000,0,00:00:00,-721,0.000,50.135,90587.586,8.924,101.651,0.000,0.981,130.111,-0.050,0.011,0.009,0.008,0.000,0.000
30.436,1,0,0.032,-0.442,51.980,7.646,-2.182,114.157,10.908,-2.868,130.362,0.000,0.000,0.0116870,0.000,9144.000,0.356,5.552,96.277,119.224,904.605,8.848,946.000,62.439,130.844,-0.074,1.149,0.005,0.045,0.005,0.000,0.000,0.000,-0.004,0.674,0.010,0.739,0.0000000,0.0000000,62.187,0.000,0.000,0.000,0,00:00:00,-721,0.000,62.187,90467.359,8.853,114.743,0.000,0.911,130.974,-0.092,-0.007,0.010,-0.001,0.000,0.000
30.537,1,0,0.779,-0.612,65.791,8.746,-2.436,128.602,11.304,-2.845,131.080,0.000,0.000,0.0116870,0.000,9144.000,0.395,5.296,109.510,132.332,903.154,8.762,959.249,75.687,131.593,-0.029,1.047,0.000,-0.017,0.005,0.000,0.000,0.000,-0.004,0.673,0.011,0.740,0.0000000,0.0000000,75.552,0.000,0.000,0.000,0,00:00:00,-721,0.000,75.552,90322.922,8.767,127.915,0.000,1.072,131.733,0.017,-0.013,-0.009,-0.003,0.000,0.000
