State - Time (s),State - Stage,State - Stage,State - PX (m),State - PY (m),State - PZ (m),State - VX (m/s),State - VY (m/s),State - VZ (m/s),State - AX (m/s/s),State - AY (m/s/s),State - AZ (m/s/s),State - Actuation Angle (deg),State - Acutal Angle (deg),State - CdA,State - Est Apo (m),State - Target Apogee (m),State - Mach Number,State - Tilt [deg],State - Pos - Accel Integrated [m],State - Velo - Accel Integrated [m/s],MockBarometer - Pres (hPa),MockBarometer - Temp (C),MockBarometer - Alt ASL (m),MockBarometer - Alt AGL (m),MockIMU - AccX (m/s^2),MockIMU - AccY (m/s^2),MockIMU - AccZ (m/s^2),MockIMU - GyroX (rad/s),MockIMU - GyroY (rad/s),MockIMU - GyroZ (rad/s),MockIMU - MagX (uT),MockIMU - MagY (uT),MockIMU - MagZ (uT),MockIMU - OriX,MockIMU - OriY,MockIMU - OriZ,MockIMU - OriW,MockGPS - Lat,MockGPS - Lon,MockGPS - Alt (m),MockGPS - Disp X (m),MockGPS - Disp Y (m),MockGPS - Disp Z (m),MockGPS - Fix Quality,MockGPS - Time of Day,E5 - Rel Steps,MockBR - Battery Voltage (V),MockBR - ALT (m),MockBR - PRES (Pa),MockBR - TEMP (C),MockBR - VEL (m/s),MockBR - ANG (deg),MockBR - ACCX (m/s^2),MockBR - ACCY (m/s^2),MockBR - ACCZ (m/s^2),MockBR - GYROX (rad/s),MockBR - GYROY (rad/s),MockBR - GYROZ (rad/s),MockBR - ROLL (deg),MockBR - TILT (deg)
38.125,1,0,-3.784,0.781,-7.177,-2.556,0.262,1.176,12.149,-5.144,123.294,0.000,0.000,0.0116870,0.000,9144.000,0.053,6.074,39.820,17.659,911.250,9.241,885.576,2.046,123.994,-0.179,0.971,0.005,-0.004,0.001,0.000,0.000,0.000,-0.011,0.668,0.017,0.743,0.0000000,0.0000000,1.847,0.000,0.000,0.000,0,00:00:00,-825,0.000,1.847,91126.539,9.242,12.395,0.000,0.928,123.909,-0.005,-0.003,-0.014,0.028,0.000,0.000
38.226,1,0,-3.598,0.707,-4.815,-1.141,-0.266,14.929,12.114,-4.850,124.268,0.000,0.000,0.0116870,0.000,9144.000,0.090,6.094,42.829,30.086,910.917,9.222,888.589,5.059,124.947,-0.052,1.057,0.019,0.003,0.028,0.000,0.000,0.000,-0.009,0.669,0.018,0.743,0.0000000,0.0000000,4.940,0.000,0.000,0.000,0,00:00:00,-825,0.000,4.940,91093.219,9.223,24.881,0.000,1.020,124.856,0.096,0.015,0.008,0.000,0.000,0.000
38.327,1,0,-3.301,0.591,-0.999,0.238,-0.814,28.809,11.921,-5.119,125.070,0.000,0.000,0.0116870,0.000,9144.000,0.127,6.076,47.088,42.593,910.455,9.195,892.780,9.250,125.736,-0.026,1.130,-0.022,0.017,-0.010,0.000,0.000,0.000,-0.010,0.669,0.018,0.743,0.0000000,0.0000000,9.286,0.000,0.000,0.000,0,00:00:00,-825,0.000,9.286,91048.984,9.197,37.457,0.000,1.034,125.812,0.035,0.014,-0.006,0.003,0.000,0.000
38.428,1,0,-2.906,0.434,4.305,1.630,-1.408,42.844,12.253,-5.656,126.003,0.000,0.000,0.0116870,0.000,9144.000,0.164,5.981,52.608,55.194,909.817,9.157,898.577,15.047,126.718,-0.097,1.130,-0.031,-0.020,0.029,0.000,0.000,0.000,-0.010,0.668,0.020,0.743,0.0000000,0.0000000,14.896,0.000,0.000,0.000,0,00:00:00,-825,0.000,14.896,90973.672,9.152,50.122,0.000,0.988,126.601,-0.064,-0.002,0.014,-0.010,0.000,0.000
38.529,1,0,-2.421,0.236,10.083,3.019,-2.035,56.170,12.483,-6.082,125.960,0.000,0.000,0.0116870,0.000,9144.000,0.202,6.095,59.387,67.790,909.817,9.157,898.577,15.047,126.718,-0.097,1.130,-0.031,-0.020,0.029,0.000,0.000,0.000,-0.010,0.668,0.022,0.744,0.0000000,0.0000000,14.896,0.000,0.000,0.000,0,00:00:00,-825,0.000,14.896,90973.672,9.152,50.122,0.000,0.988,126.601,-0.064,-0.002,0.014,-0.010,0.000,0.000
38.630,1,0,-1.854,-0.001,18.319,4.401,-2.661,70.466,12.709,-6.200,127.391,0.000,0.000,0.0116870,0.000,9144.000,0.240,6.210,67.439,80.529,908.165,9.059,913.587,30.057,128.169,0.075,1.006,-0.015,0.004,0.018,0.000,0.000,0.000,-0.010,0.668,0.024,0.744,0.0000000,0.0000000,29.939,0.000,0.000,0.000,0,00:00:00,-825,0.000,29.939,90822.297,9.063,75.716,0.000,1.012,128.312,-0.033,0.002,-0.006,-0.027,0.000,0.000
38.731,1,0,-1.214,-0.272,27.966,5.771,-3.267,84.860,12.921,-6.135,128.661,0.000,0.000,0.0116870,0.000,9144.000,0.279,6.191,76.779,93.395,907.131,8.998,922.988,39.457,129.450,-0.012,0.987,0.018,-0.005,0.013,0.000,0.000,0.000,-0.009,0.668,0.023,0.744,0.0000000,0.0000000,39.389,0.000,0.000,0.000,0,00:00:00,-825,0.000,39.389,90709.875,8.996,88.641,0.000,0.999,129.297,0.036,0.010,-0.007,-0.001,0.000,0.000
38.832,1,0,-0.511,-0.572,38.950,7.101,-3.833,99.223,12.902,-5.908,129.229,0.000,0.000,0.0116870,0.000,9144.000,0.317,6.218,87.411,106.318,906.005,8.931,933.240,49.710,130.001,-0.139,1.124,0.032,-0.006,0.029,0.000,0.000,0.000,-0.007,0.667,0.024,0.744,0.0000000,0.0000000,50.135,0.000,0.000,0.000,0,00:00:00,-825,0.000,50.135,90605.250,8.934,101.651,0.000,1.093,130.117,0.027,0.003,-0.007,0.005,0.000,0.000
38.933,1,0,0.245,-0.897,51.389,8.385,-4.440,113.677,12.841,-6.483,130.139,0.000,0.000,0.0116870,0.000,9144.000,0.356,6.250,99.344,119.331,904.641,8.851,945.679,62.149,130.927,-0.189,1.107,-0.038,0.014,-0.013,0.000,0.000,0.000,-0.009,0.668,0.024,0.744,0.0000000,0.0000000,62.187,0.000,0.000,0.000,0,00:00:00,-825,0.000,62.187,90457.422,8.847,114.743,0.000,1.014,130.875,-0.097,0.008,-0.007,0.021,0.000,0.000
39.034,1,0,1.046,-1.245,65.222,9.606,-5.019,128.163,12.640,-6.383,130.975,0.000,0.000,0.0116870,0.000,9144.000,0.395,6.173,112.587,132.429,903.172,8.763,959.083,75.553,131.734,0.085,0.976,-0.008,0.031,0.019,0.000,0.000,0.000,-0.009,0.669,0.025,0.743,0.0000000,0.0000000,75.552,0.000,0.000,0.000,0,00:00:00,-825,0.000,75.552,90325.469,8.768,127.915,0.000,1.031,131.775,-0.005,-0.008,0.010,0.020,0.000,0.000
