State - Time (s),State - Stage,State - Stage,State - PX (m),State - PY (m),State - PZ (m),State - VX (m/s),State - VY (m/s),State - VZ (m/s),State - AX (m/s/s),State - AY (m/s/s),State - AZ (m/s/s),State - Actuation Angle (deg),State - Acutal Angle (deg),State - CdA,State - Est Apo (m),State - Target Apogee (m),State - Mach Number,State - Tilt [deg],State - Pos - Accel Integrated [m],State - Velo - Accel Integrated [m/s],MockBarometer - Pres (hPa),MockBarometer - Temp (C),MockBarometer - Alt ASL (m),MockBarometer - Alt AGL (m),MockIMU - AccX (m/s^2),MockIMU - AccY (m/s^2),MockIMU - AccZ (m/s^2),MockIMU - GyroX (rad/s),MockIMU - GyroY (rad/s),MockIMU - GyroZ (rad/s),MockIMU - MagX (uT),MockIMU - MagY (uT),MockIMU - MagZ (uT),MockIMU - OriX,MockIMU - OriY,MockIMU - OriZ,MockIMU - OriW,MockGPS - Lat,MockGPS - Lon,MockGPS - Alt (m),MockGPS - Disp X (m),MockGPS - Disp Y (m),MockGPS - Disp Z (m),MockGPS - Fix Quality,MockGPS - Time of Day,E5 - Rel Steps,MockBR - Battery Voltage (V),MockBR - ALT (m),MockBR - PRES (Pa),MockBR - TEMP (C),MockBR - VEL (m/s),MockBR - ANG (deg),MockBR - ACCX (m/s^2),MockBR - ACCY (m/s^2),MockBR - ACCZ (m/s^2),MockBR - GYROX (rad/s),MockBR - GYROY (rad/s),MockBR - GYROZ (rad/s),MockBR - ROLL (deg),MockBR - TILT (deg)
42.003,1,0,-3.779,0.577,-7.572,-3.270,0.538,-6.462,4.364,-1.904,48.113,0.000,0.000,0.0116870,0.000,9144.000,0.031,6.528,38.367,10.022,911.403,9.250,884.185,0.674,48.339,0.024,0.945,0.024,0.039,-0.017,0.000,0.000,0.000,-0.013,0.667,0.015,0.745,0.0000000,0.0000000,0.719,0.000,0.000,0.000,0,00:00:00,-1006,0.000,0.719,91133.820,9.247,4.835,0.000,1.101,48.380,-0.092,0.004,-0.005,0.010,0.000,0.000
42.104,1,0,-3.693,0.560,-6.568,-2.613,0.281,-0.533,4.560,-2.244,48.269,0.000,0.000,0.0116870,0.000,9144.000,0.045,6.303,39.852,14.849,911.247,9.241,885.595,2.084,48.527,-0.201,0.859,-0.021,-0.019,0.010,0.000,0.000,0.000,-0.014,0.666,0.016,0.745,0.0000000,0.0000000,1.922,0.000,0.000,0.000,0,00:00:00,-1006,0.000,1.922,91129.367,9.244,9.689,0.000,1.047,48.546,0.009,0.010,0.011,0.005,0.000,0.000
42.205,1,0,-3.556,0.523,-4.956,-1.961,0.053,5.412,4.586,-1.988,48.371,0.000,0.000,0.0116870,0.000,9144.000,0.059,6.413,41.820,19.686,911.064,9.230,887.262,3.751,48.619,-0.037,0.922,0.022,-0.017,0.022,0.000,0.000,0.000,-0.012,0.666,0.016,0.746,0.0000000,0.0000000,3.608,0.000,0.000,0.000,0,00:00:00,-1006,0.000,3.608,91109.945,9.233,14.564,0.000,0.995,48.701,0.013,-0.012,-0.009,-0.002,0.000,0.000
42.306,1,0,-3.372,0.468,-2.749,-1.311,-0.168,11.400,4.657,-1.940,48.847,0.000,0.000,0.0116870,0.000,9144.000,0.073,6.511,44.277,24.571,910.826,9.216,889.419,5.909,49.098,0.050,0.937,-0.003,-0.007,0.015,0.000,0.000,0.000,-0.012,0.665,0.017,0.746,0.0000000,0.0000000,5.781,0.000,0.000,0.000,0,00:00:00,-1006,0.000,5.781,91092.078,9.222,19.457,0.000,1.016,48.941,0.032,-0.003,0.004,0.015,0.000,0.000
42.407,1,0,-3.146,0.398,0.054,-0.680,-0.407,17.347,4.599,-2.153,48.490,0.000,0.000,0.0116870,0.000,9144.000,0.088,6.550,47.219,29.420,910.521,9.198,892.182,8.672,48.747,-0.153,0.874,-0.005,0.016,0.001,0.000,0.000,0.000,-0.012,0.666,0.017,0.746,0.0000000,0.0000000,8.443,0.000,0.000,0.000,0,00:00:00,-1006,0.000,8.443,91060.164,9.203,24.370,0.000,1.059,49.134,0.016,-0.012,0.009,-0.016,0.000,0.000
42.508,1,0,-2.885,0.313,2.981,-0.070,-0.643,22.938,4.520,-2.177,48.496,0.000,0.000,0.0116870,0.000,9144.000,0.102,6.457,50.646,34.269,910.521,9.198,892.182,8.672,48.747,-0.153,0.874,-0.005,0.016,0.001,0.000,0.000,0.000,-0.012,0.667,0.017,0.745,0.0000000,0.0000000,8.443,0.000,0.000,0.000,0,00:00:00,-1006,0.000,8.443,91060.164,9.203,24.370,0.000,1.059,49.134,0.016,-0.012,0.009,-0.016,0.000,0.000
42.609,1,0,-2.594,0.215,6.881,0.523,-0.861,28.898,4.510,-2.046,49.155,0.000,0.000,0.0116870,0.000,9144.000,0.117,6.364,54.565,39.185,909.818,9.157,898.565,15.054,49.393,-0.074,1.009,0.016,-0.010,-0.006,0.000,0.000,0.000,-0.012,0.666,0.016,0.745,0.0000000,0.0000000,15.238,0.000,0.000,0.000,0,00:00:00,-1006,0.000,15.238,90984.539,9.159,34.252,0.000,1.031,49.531,0.020,-0.009,-0.004,-0.008,0.000,0.000
42.710,1,0,-2.276,0.106,11.358,1.103,-1.070,34.873,4.544,-2.010,49.492,0.000,0.000,0.0116870,0.000,9144.000,0.131,6.423,58.978,44.134,909.343,9.129,902.882,19.371,49.732,0.009,0.931,-0.005,0.016,0.018,0.000,0.000,0.000,-0.011,0.667,0.017,0.745,0.0000000,0.0000000,19.376,0.000,0.000,0.000,0,00:00:00,-1006,0.000,19.376,90936.414,9.130,39.220,0.000,1.028,49.658,0.009,-0.002,0.004,0.005,0.000,0.000
42.811,1,0,-1.936,-0.011,16.363,1.655,-1.261,40.802,4.443,-1.901,49.602,0.000,0.000,0.0116870,0.000,9144.000,0.146,6.333,63.887,49.094,908.843,9.099,907.422,23.911,49.828,0.145,0.943,-0.002,0.020,0.023,0.000,0.000,0.000,-0.011,0.668,0.018,0.744,0.0000000,0.0000000,24.009,0.000,0.000,0.000,0,00:00:00,-1006,0.000,24.009,90881.828,9.098,44.207,0.000,0.982,49.866,-0.024,0.009,0.013,0.007,0.000,0.000
42.912,1,0,-1.579,-0.134,21.883,2.186,-1.464,46.705,4.427,-2.076,49.992,0.000,0.000,0.0116870,0.000,9144.000,0.161,6.220,69.297,54.093,908.294,9.067,912.410,28.900,50.221,-0.110,0.948,0.021,0.009,0.018,0.000,0.000,0.000,-0.009,0.668,0.018,0.744,0.0000000,0.0000000,29.140,0.000,0.000,0.000,0,00:00:00,-1006,0.000,29.140,90821.164,9.062,49.212,0.000,0.993,50.142,0.017,-0.018,0.007,-0.001,0.000,0.000
