State - Time (s),State - Stage,State - Stage,State - PX (m),State - PY (m),State - PZ (m),State - VX (m/s),State - VY (m/s),State - VZ (m/s),State - AX (m/s/s),State - AY (m/s/s),State - AZ (m/s/s),State - Actuation Angle (deg),State - Acutal Angle (deg),State - CdA,State - Est Apo (m),State - Target Apogee (m),State - Mach Number,State - Tilt [deg],State - Pos - Accel Integrated [m],State - Velo - Accel Integrated [m/s],MockBarometer - Pres (hPa),MockBarometer - Temp (C),MockBarometer - Alt ASL (m),MockBarometer - Alt AGL (m),MockIMU - AccX (m/s^2),MockIMU - AccY (m/s^2),MockIMU - AccZ (m/s^2),MockIMU - GyroX (rad/s),MockIMU - GyroY (rad/s),MockIMU - GyroZ (rad/s),MockIMU - MagX (uT),MockIMU - MagY (uT),MockIMU - MagZ (uT),MockIMU - OriX,MockIMU - OriY,MockIMU - OriZ,MockIMU - OriW,MockGPS - Lat,MockGPS - Lon,MockGPS - Alt (m),MockGPS - Disp X (m),MockGPS - Disp Y (m),MockGPS - Disp Z (m),MockGPS - Fix Quality,MockGPS - Time of Day,E5 - Rel Steps,MockBR - Battery Voltage (V),MockBR - ALT (m),MockBR - PRES (Pa),MockBR - TEMP (C),MockBR - VEL (m/s),MockBR - ANG (deg),MockBR - ACCX (m/s^2),MockBR - ACCY (m/s^2),MockBR - ACCZ (m/s^2),MockBR - GYROX (rad/s),MockBR - GYROY (rad/s),MockBR - GYROZ (rad/s),MockBR - ROLL (deg),MockBR - TILT (deg)
34.997,1,0,-3.245,-0.204,-3.647,-0.794,0.023,15.832,12.455,0.477,124.335,0.000,0.000,0.0116870,0.000,9144.000,0.093,5.901,51.224,31.360,910.652,9.206,890.996,7.346,124.951,0.145,1.328,0.014,-0.037,0.013,0.000,0.000,0.000,0.005,0.667,0.003,0.745,0.0000000,0.0000000,7.444,0.000,0.000,0.000,0,00:00:00,-1032,0.000,7.444,91049.047,9.197,24.974,0.000,1.044,124.936,-0.006,0.007,0.020,0.020,0.000,0.000
35.198,1,0,-2.567,-0.178,6.752,2.142,-0.140,44.633,13.188,-0.913,125.957,0.000,0.000,0.0116870,0.000,9144.000,0.168,6.326,62.534,56.552,909.248,9.123,903.744,20.094,126.645,-0.070,1.042,-0.049,-0.010,-0.020,0.000,0.000,0.000,0.000,0.666,0.005,0.746,0.0000000,0.0000000,19.962,0.000,0.000,0.000,0,00:00:00,-1032,0.000,19.962,90931.352,9.127,50.315,0.000,0.923,126.626,0.043,0.002,0.001,-0.000,0.000,0.000
35.399,1,0,-1.525,-0.203,18.741,5.016,-0.537,70.296,13.458,-2.088,125.915,0.000,0.000,0.0116870,0.000,9144.000,0.244,6.451,78.881,81.735,909.248,9.123,903.744,20.094,126.645,-0.070,1.042,-0.049,-0.010,-0.020,0.000,0.000,0.000,-0.005,0.665,0.006,0.746,0.0000000,0.0000000,19.962,0.000,0.000,0.000,0,00:00:00,-1032,0.000,19.962,90931.352,9.127,50.315,0.000,0.923,126.626,0.043,0.002,0.001,-0.000,0.000,0.000
35.600,1,0,-0.193,-0.289,41.904,7.834,-0.921,101.076,13.912,-2.069,129.315,0.000,0.000,0.0116870,0.000,9144.000,0.321,6.573,100.401,107.598,904.837,8.862,943.888,60.238,130.074,0.029,1.039,-0.003,-0.002,-0.018,0.000,0.000,0.000,-0.006,0.665,0.005,0.747,0.0000000,0.0000000,60.495,0.000,0.000,0.000,0,00:00:00,-1032,0.000,60.495,90477.867,8.859,102.068,0.000,1.129,130.263,-0.004,0.010,-0.004,-0.002,0.000,0.000
35.801,1,0,1.368,-0.432,70.956,10.577,-1.415,131.932,14.402,-2.694,130.918,0.000,0.000,0.0116870,0.000,9144.000,0.400,6.596,127.157,133.781,901.759,8.679,971.999,88.349,131.731,-0.029,1.030,-0.019,-0.011,0.014,0.000,0.000,0.000,-0.007,0.664,0.008,0.747,0.0000000,0.0000000,88.645,0.000,0.000,0.000,0,00:00:00,-1032,0.000,88.645,90178.391,8.681,128.455,0.000,1.082,132.001,0.034,0.004,-0.005,0.003,0.000,0.000
36.002,1,0,3.096,-0.617,105.860,13.128,-1.721,162.867,14.407,-1.866,132.748,0.000,0.000,0.0116870,0.000,9144.000,0.479,6.726,159.223,160.331,898.069,8.460,1005.795,122.145,133.537,0.060,1.019,0.028,0.008,-0.013,0.000,0.000,0.000,-0.005,0.665,0.005,0.747,0.0000000,0.0000000,122.135,0.000,0.000,0.000,0,00:00:00,-1032,0.000,122.135,89815.039,8.464,155.164,0.000,0.992,133.568,0.005,-0.022,0.005,0.003,0.000,0.000
36.203,1,0,4.925,-0.806,136.315,15.433,-1.851,185.855,14.187,-1.091,132.781,0.000,0.000,0.0116870,0.000,9144.000,0.558,6.630,196.601,186.887,898.069,8.460,1005.795,122.145,133.537,0.060,1.019,0.028,0.008,-0.013,0.000,0.000,0.000,-0.004,0.666,0.002,0.746,0.0000000,0.0000000,122.135,0.000,0.000,0.000,0,00:00:00,-1032,0.000,122.135,89815.039,8.464,155.164,0.000,0.992,133.568,0.005,-0.022,0.005,0.003,0.000,0.000
36.404,1,0,6.807,-0.984,183.769,17.602,-1.995,218.557,14.555,-1.260,135.388,0.000,0.000,0.0116870,0.000,9144.000,0.640,6.534,239.393,213.965,889.098,7.922,1088.440,204.789,136.171,-0.011,0.943,0.001,-0.000,0.038,0.000,0.000,0.000,-0.002,0.666,0.005,0.746,0.0000000,0.0000000,205.358,0.000,0.000,0.000,0,00:00:00,-1032,0.000,205.358,88897.828,7.915,209.451,0.000,0.980,136.398,-0.022,0.005,-0.002,-0.002,0.000,0.000
36.605,1,0,8.718,-1.162,236.646,19.752,-2.220,250.650,15.516,-1.762,136.723,0.000,0.000,0.0116870,0.000,9144.000,0.722,6.535,287.655,241.309,883.758,7.600,1137.954,254.304,137.609,-0.069,0.822,-0.014,-0.025,0.018,0.000,0.000,0.000,-0.001,0.664,0.007,0.748,0.0000000,0.0000000,255.187,0.000,0.000,0.000,0,00:00:00,-1032,0.000,255.187,88376.125,7.600,236.969,0.000,1.066,137.545,0.029,0.005,-0.017,0.005,0.000,0.000
36.806,1,0,10.627,-1.323,295.110,21.593,-2.163,282.276,15.037,-0.450,137.677,0.000,0.000,0.0116870,0.000,9144.000,0.805,6.822,341.424,268.845,877.755,7.236,1193.899,310.249,138.492,0.085,1.169,0.039,0.009,-0.028,0.000,0.000,0.000,-0.000,0.664,0.002,0.747,0.0000000,0.0000000,310.543,0.000,0.000,0.000,0,00:00:00,-1032,0.000,310.543,87775.438,7.236,264.682,0.000,1.016,138.559,-0.050,0.004,0.015,-0.005,0.000,0.000
