State - Time (s),State - Stage,State - Stage,State - PX (m),State - PY (m),State - PZ (m),State - VX (m/s),State - VY (m/s),State - VZ (m/s),State - AX (m/s/s),State - AY (m/s/s),State - AZ (m/s/s),State - Actuation Angle (deg),State - Acutal Angle (deg),State - CdA,State - Est Apo (m),State - Target Apogee (m),State - Mach Number,State - Tilt [deg],State - Pos - Accel Integrated [m],State - Velo - Accel Integrated [m/s],MockBarometer - Pres (hPa),MockBarometer - Temp (C),MockBarometer - Alt ASL (m),MockBarometer - Alt AGL (m),MockIMU - AccX (m/s^2),MockIMU - AccY (m/s^2),MockIMU - AccZ (m/s^2),MockIMU - GyroX (rad/s),MockIMU - GyroY (rad/s),MockIMU - GyroZ (rad/s),MockIMU - MagX (uT),MockIMU - MagY (uT),MockIMU - MagZ (uT),MockIMU - OriX,MockIMU - OriY,MockIMU - OriZ,MockIMU - OriW,MockGPS - Lat,MockGPS - Lon,MockGPS - Alt (m),MockGPS - Disp X (m),MockGPS - Disp Y (m),MockGPS - Disp Z (m),MockGPS - Fix Quality,MockGPS - Time of Day,E5 - Rel Steps,MockBR - Battery Voltage (V),MockBR - ALT (m),MockBR - PRES (Pa),MockBR - TEMP (C),MockBR - VEL (m/s),MockBR - ANG (deg),MockBR - ACCX (m/s^2),MockBR - ACCY (m/s^2),MockBR - ACCZ (m/s^2),MockBR - GYROX (rad/s),MockBR - GYROY (rad/s),MockBR - GYROZ (rad/s),MockBR - ROLL (deg),MockBR - TILT (deg)
53.746,1,0,-3.194,7.246,-5.342,-3.237,2.000,0.818,-3.975,-65.061,104.884,0.000,0.000,0.0116870,0.000,9144.000,0.069,-1.083,81.646,22.846,911.259,9.242,885.493,1.987,123.477,1.638,0.049,0.024,0.149,0.029,0.000,0.000,0.000,-0.200,0.691,0.197,0.667,0.0000000,0.0000000,1.847,0.000,0.000,0.000,0,00:00:00,-856,0.000,1.847,91152.781,9.258,12.395,0.000,1.074,123.903,-0.045,0.024,-0.004,0.001,0.000,0.000
53.847,1,0,-3.207,6.449,-3.035,-3.587,-4.566,13.095,-5.153,-61.616,109.230,0.000,0.000,0.0116870,0.000,9144.000,0.102,-1.936,85.023,33.769,910.685,9.208,890.700,7.194,125.516,0.410,-0.060,0.510,-0.010,0.209,0.000,0.000,0.000,-0.175,0.697,0.186,0.670,0.0000000,0.0000000,4.940,0.000,0.000,0.000,0,00:00:00,-856,0.000,4.940,91109.062,9.232,24.881,0.000,0.967,124.882,0.023,-0.011,0.004,-0.005,0.000,0.000
53.948,1,0,-3.250,5.122,-0.020,-3.930,-11.199,24.934,-5.107,-62.974,108.799,0.000,0.000,0.0116870,0.000,9144.000,0.137,-1.923,89.488,44.649,910.710,9.210,890.469,6.963,125.809,0.953,-0.494,-0.162,-0.078,0.198,0.000,0.000,0.000,-0.173,0.695,0.199,0.669,0.0000000,0.0000000,9.286,0.000,0.000,0.000,0,00:00:00,-856,0.000,9.286,91083.242,9.217,37.457,0.000,0.935,125.757,0.034,0.014,-0.012,-0.025,0.000,0.000
54.049,1,0,-3.322,3.326,5.162,-4.305,-17.553,37.822,-5.461,-61.163,112.128,0.000,0.000,0.0116870,0.000,9144.000,0.175,-1.444,95.074,55.861,909.495,9.138,901.496,17.990,127.834,1.338,0.212,0.223,-0.034,-0.009,0.000,0.000,0.000,-0.165,0.696,0.191,0.672,0.0000000,0.0000000,14.896,0.000,0.000,0.000,0,00:00:00,-856,0.000,14.896,91086.070,9.218,50.122,0.000,0.993,126.702,-0.101,-0.008,0.001,-0.016,0.000,0.000
54.150,1,0,-3.429,1.109,11.203,-4.860,-24.064,50.248,-7.290,-63.886,110.778,0.000,0.000,0.0116870,0.000,9144.000,0.212,-1.308,101.768,66.939,909.123,9.116,904.875,21.369,128.072,-0.556,-1.937,-0.081,0.316,0.063,0.000,0.000,0.000,-0.169,0.706,0.194,0.660,0.0000000,0.0000000,21.777,0.000,0.000,0.000,0,00:00:00,-856,0.000,21.777,90867.672,9.090,62.875,0.000,1.034,127.444,-0.003,-0.006,-0.018,-0.020,0.000,0.000
54.251,1,0,-3.592,-1.488,18.559,-5.737,-30.412,62.874,-10.576,-63.632,112.380,0.000,0.000,0.0116870,0.000,9144.000,0.250,-3.095,109.586,78.177,908.280,9.066,912.542,29.036,129.562,-1.328,1.462,0.124,-0.075,0.095,0.000,0.000,0.000,-0.161,0.706,0.193,0.663,0.0000000,0.0000000,29.939,0.000,0.000,0.000,0,00:00:00,-856,0.000,29.939,90832.156,9.069,75.716,0.000,0.946,128.368,-0.040,-0.004,0.000,-0.002,0.000,0.000
54.352,1,0,-3.819,-4.408,25.985,-6.578,-36.453,74.683,-10.332,-62.135,113.238,0.000,0.000,0.0116870,0.000,9144.000,0.288,-2.707,118.536,89.501,908.280,9.066,912.542,29.036,129.562,-1.328,1.462,0.124,-0.075,0.095,0.000,0.000,0.000,-0.153,0.705,0.192,0.665,0.0000000,0.0000000,29.939,0.000,0.000,0.000,0,00:00:00,-856,0.000,29.939,90832.156,9.069,75.716,0.000,0.946,128.368,-0.040,-0.004,0.000,-0.002,0.000,0.000
54.453,1,0,-4.101,-7.593,36.506,-7.426,-42.196,88.043,-10.553,-60.853,114.561,0.000,0.000,0.0116870,0.000,9144.000,0.326,-2.326,128.631,100.957,905.845,8.922,934.702,51.196,130.145,-0.378,0.868,0.067,0.075,-0.008,0.000,0.000,0.000,-0.151,0.708,0.189,0.663,0.0000000,0.0000000,50.135,0.000,0.000,0.000,0,00:00:00,-856,0.000,50.135,90573.883,8.916,101.651,0.000,0.983,130.092,-0.023,0.002,-0.007,-0.005,0.000,0.000
54.554,1,0,-4.437,-10.993,46.715,-8.338,-47.681,100.192,-11.368,-60.090,114.886,0.000,0.000,0.0116870,0.000,9144.000,0.364,-2.782,139.876,112.446,905.845,8.922,934.702,51.196,130.145,-0.378,0.868,0.067,0.075,-0.008,0.000,0.000,0.000,-0.150,0.711,0.186,0.661,0.0000000,0.0000000,50.135,0.000,0.000,0.000,0,00:00:00,-856,0.000,50.135,90573.883,8.916,101.651,0.000,0.983,130.092,-0.023,0.002,-0.007,-0.005,0.000,0.000
54.655,1,0,-4.825,-14.581,59.533,-9.229,-53.263,113.287,-11.361,-62.931,113.986,0.000,0.000,0.0116870,0.000,9144.000,0.402,-3.238,152.260,123.844,903.506,8.783,956.032,72.526,130.696,-0.637,-0.516,-0.204,0.078,0.069,0.000,0.000,0.000,-0.155,0.712,0.195,0.656,0.0000000,0.0000000,75.552,0.000,0.000,0.000,0,00:00:00,-856,0.000,75.552,90437.031,8.835,127.915,0.000,1.094,131.774,-0.038,0.011,0.006,-0.001,0.000,0.000
