State - Time (s),State - Stage,State - Stage,State - PX (m),State - PY (m),State - PZ (m),State - VX (m/s),State - VY (m/s),State - VZ (m/s),State - AX (m/s/s),State - AY (m/s/s),State - AZ (m/s/s),State - Actuation Angle (deg),State - Acutal Angle (deg),State - CdA,State - Est Apo (m),State - Target Apogee (m),State - Mach Number,State - Tilt [deg],MockBarometer - Pres (hPa),MockBarometer - Temp (C),MockBarometer - Alt ASL (m),MockBarometer - Alt AGL (m),MockIMU - AccX (m/s^2),MockIMU - AccY (m/s^2),MockIMU - AccZ (m/s^2),MockIMU - GyroX (rad/s),MockIMU - GyroY (rad/s),MockIMU - GyroZ (rad/s),MockIMU - MagX (uT),MockIMU - MagY (uT),MockIMU - MagZ (uT),MockIMU - OriX,MockIMU - OriY,MockIMU - OriZ,MockIMU - OriW,MockGPS - Lat,MockGPS - Lon,MockGPS - Alt (m),MockGPS - Disp X (m),MockGPS - Disp Y (m),MockGPS - Disp Z (m),MockGPS - Fix Quality,MockGPS - Time of Day,E5 - Rel Steps,BR - Battery Voltage (V),BR - ALT (m),BR - PRES (Pa),BR - TEMP (C),BR - VEL (m/s),BR - ANG (deg),BR - ACCX (m/s^2),BR - ACCY (m/s^2),BR - ACCZ (m/s^2),BR - GYROX (rad/s),BR - GYROY (rad/s),BR - GYROZ (rad/s),BR - ROLL (deg),BR - TILT (deg)
20.650,1,0,-1.248,0.066,-13.707,-0.870,0.021,-0.161,3.381,-0.988,124.184,0.000,0.000,0.0103675,0.000,9144.000,0.043,1.491,1012.965,15.037,2.371,2.357,124.234,-0.048,0.216,-0.020,-0.029,-0.001,0.000,0.000,0.000,-0.003,0.697,0.002,0.717,0.0000000,0.0000000,1.860,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
20.751,1,0,-1.191,0.057,-10.565,-0.452,-0.081,14.345,3.503,-0.980,124.979,0.000,0.000,0.0103675,0.000,9144.000,0.003,1.659,1012.660,15.019,4.914,4.899,125.032,-0.103,0.270,0.005,-0.012,-0.013,0.000,0.000,0.000,-0.003,0.696,0.002,0.718,0.0000000,0.0000000,4.974,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
20.852,1,0,-1.101,0.040,-6.604,-0.025,-0.176,28.368,3.655,-0.911,124.975,0.000,0.000,0.0103675,0.000,9144.000,0.042,1.728,1012.660,15.019,4.914,4.899,125.032,-0.103,0.270,0.005,-0.012,-0.013,0.000,0.000,0.000,-0.004,0.696,0.001,0.718,0.0000000,0.0000000,4.974,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
20.953,1,0,-0.982,0.016,-0.515,0.371,-0.264,43.103,3.406,-0.863,126.823,0.000,0.000,0.0103675,0.000,9144.000,0.084,1.797,1011.412,14.950,15.309,15.294,126.871,0.075,0.282,-0.009,0.023,0.017,0.000,0.000,0.000,-0.003,0.697,0.002,0.717,0.0000000,0.0000000,14.997,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
21.054,1,0,-0.837,-0.012,6.886,0.773,-0.314,57.785,3.533,-0.510,127.636,0.000,0.000,0.0103675,0.000,9144.000,0.127,1.665,1010.656,14.906,21.610,21.595,127.685,-0.114,0.222,0.042,-0.003,-0.023,0.000,0.000,0.000,-0.003,0.697,-0.000,0.717,0.0000000,0.0000000,21.923,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
21.155,1,0,-0.670,-0.043,15.670,1.165,-0.399,72.440,3.527,-0.856,128.127,0.000,0.000,0.0103675,0.000,9144.000,0.170,1.684,1009.679,14.854,29.757,29.743,128.178,0.150,0.316,-0.047,-0.006,0.010,0.000,0.000,0.000,-0.004,0.696,0.002,0.718,0.0000000,0.0000000,30.137,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
21.256,1,0,-0.484,-0.080,25.805,1.530,-0.503,87.105,3.369,-1.075,129.230,0.000,0.000,0.0103675,0.000,9144.000,0.213,1.717,1008.564,14.792,39.067,39.053,129.278,-0.120,0.233,0.005,0.021,0.001,0.000,0.000,0.000,-0.004,0.697,0.002,0.717,0.0000000,0.0000000,39.646,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
21.357,1,0,-0.281,-0.124,37.386,1.910,-0.615,101.804,3.610,-1.170,129.845,0.000,0.000,0.0103675,0.000,9144.000,0.257,1.595,1007.206,14.722,50.414,50.400,129.900,-0.000,0.265,-0.016,-0.020,-0.004,0.000,0.000,0.000,-0.004,0.696,0.002,0.718,0.0000000,0.0000000,50.457,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
21.458,1,0,-0.064,-0.175,50.399,2.253,-0.763,116.541,3.362,-1.560,130.643,0.000,0.000,0.0103675,0.000,9144.000,0.300,1.707,1005.692,14.640,63.077,63.063,130.695,-0.044,0.489,-0.026,0.004,-0.020,0.000,0.000,0.000,-0.006,0.697,0.002,0.717,0.0000000,0.0000000,62.578,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
21.559,1,0,0.163,-0.237,62.867,2.579,-0.942,129.760,3.316,-1.899,130.640,0.000,0.000,0.0103675,0.000,9144.000,0.343,1.685,1005.692,14.640,63.077,63.063,130.695,-0.044,0.489,-0.026,0.004,-0.020,0.000,0.000,0.000,-0.008,0.697,0.002,0.717,0.0000000,0.0000000,62.578,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
21.660,1,0,0.399,-0.309,78.641,2.913,-1.110,144.592,3.514,-1.828,132.102,0.000,0.000,0.0103675,0.000,9144.000,0.382,1.662,1002.374,14.455,90.889,90.875,132.160,-0.034,0.474,0.005,-0.010,-0.033,0.000,0.000,0.000,-0.009,0.696,0.001,0.718,0.0000000,0.0000000,90.777,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
21.761,1,0,0.644,-0.387,95.717,3.256,-1.228,159.332,3.740,-1.371,132.663,0.000,0.000,0.0103675,0.000,9144.000,0.426,1.721,1000.487,14.349,106.748,106.733,132.722,-0.141,0.479,0.043,-0.016,-0.001,0.000,0.000,0.000,-0.007,0.696,-0.001,0.718,0.0000000,0.0000000,106.869,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
21.862,1,0,0.898,-0.465,111.680,3.608,-1.284,172.129,3.952,-0.799,132.662,0.000,0.000,0.0103675,0.000,9144.000,0.470,1.815,1000.487,14.349,106.748,106.733,132.722,-0.141,0.479,0.043,-0.016,-0.001,0.000,0.000,0.000,-0.006,0.695,-0.002,0.719,0.0000000,0.0000000,106.869,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
21.963,1,0,1.160,-0.542,131.660,3.964,-1.334,187.102,4.138,-0.780,134.110,0.000,0.000,0.0103675,0.000,9144.000,0.507,1.909,996.135,14.112,143.397,143.383,134.175,0.018,0.546,-0.009,-0.015,0.021,0.000,0.000,0.000,-0.005,0.695,-0.001,0.719,0.0000000,0.0000000,143.064,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
22.064,1,0,1.431,-0.614,152.967,4.351,-1.355,201.966,4.582,-0.531,134.419,0.000,0.000,0.0103675,0.000,9144.000,0.552,1.997,993.747,13.983,163.558,163.544,134.497,0.263,0.309,-0.000,-0.015,-0.016,0.000,0.000,0.000,-0.006,0.694,-0.001,0.720,0.0000000,0.0000000,163.180,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
22.165,1,0,1.711,-0.682,175.520,4.695,-1.398,216.683,4.308,-0.785,134.856,0.000,0.000,0.0103675,0.000,9144.000,0.596,2.082,991.268,13.839,184.538,184.523,134.926,0.043,0.306,-0.002,0.022,0.011,0.000,0.000,0.000,-0.005,0.695,-0.001,0.719,0.0000000,0.0000000,184.648,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
22.266,1,0,1.994,-0.748,196.191,4.995,-1.441,228.883,4.013,-0.816,134.865,0.000,0.000,0.0103675,0.000,9144.000,0.639,1.957,991.268,13.839,184.538,184.523,134.926,0.043,0.306,-0.002,0.022,0.011,0.000,0.000,0.000,-0.005,0.696,-0.001,0.718,0.0000000,0.0000000,184.648,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
22.367,1,0,2.278,-0.810,221.662,5.304,-1.455,243.851,4.261,-0.567,135.914,0.000,0.000,0.0103675,0.000,9144.000,0.675,1.832,985.693,13.533,231.866,231.851,135.981,-0.028,0.443,0.024,-0.026,-0.018,0.000,0.000,0.000,-0.005,0.695,-0.002,0.719,0.0000000,0.0000000,231.659,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
22.468,1,0,2.565,-0.868,248.470,5.631,-1.467,258.736,4.589,-0.579,136.411,0.000,0.000,0.0103675,0.000,9144.000,0.720,1.980,982.674,13.364,257.578,257.564,136.489,0.112,0.491,-0.010,-0.026,0.031,0.000,0.000,0.000,-0.004,0.694,-0.001,0.720,0.0000000,0.0000000,257.211,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
