State - Time (s),State - Stage,State - Stage,State - PX (m),State - PY (m),State - PZ (m),State - VX (m/s),State - VY (m/s),State - VZ (m/s),State - AX (m/s/s),State - AY (m/s/s),State - AZ (m/s/s),State - Actuation Angle (deg),State - Acutal Angle (deg),State - CdA,State - Est Apo (m),State - Target Apogee (m),State - Mach Number,State - Tilt [deg],MockBarometer - Pres (hPa),MockBarometer - Temp (C),MockBarometer - Alt ASL (m),MockBarometer - Alt AGL (m),MockIMU - AccX (m/s^2),MockIMU - AccY (m/s^2),MockIMU - AccZ (m/s^2),MockIMU - GyroX (rad/s),MockIMU - GyroY (rad/s),MockIMU - GyroZ (rad/s),MockIMU - MagX (uT),MockIMU - MagY (uT),MockIMU - MagZ (uT),MockIMU - OriX,MockIMU - OriY,MockIMU - OriZ,MockIMU - OriW,MockGPS - Lat,MockGPS - Lon,MockGPS - Alt (m),MockGPS - Disp X (m),MockGPS - Disp Y (m),MockGPS - Disp Z (m),MockGPS - Fix Quality,MockGPS - Time of Day,E5 - Rel Steps,BR - Battery Voltage (V),BR - ALT (m),BR - PRES (Pa),BR - TEMP (C),BR - VEL (m/s),BR - ANG (deg),BR - ACCX (m/s^2),BR - ACCY (m/s^2),BR - ACCZ (m/s^2),BR - GYROX (rad/s),BR - GYROY (rad/s),BR - GYROZ (rad/s),BR - ROLL (deg),BR - TILT (deg)
20.487,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0103675,0.000,9144.000,0.000,0.000,0.000,0.000,44307.690,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
20.588,0,0,-0.000,-0.000,-5474.834,-0.753,-0.004,-535.131,-7.489,-0.041,-6.589,0.000,0.000,0.0103675,0.000,9144.000,0.000,90.000,1013.224,15.052,0.216,-5474.934,-9.965,-0.034,0.424,-0.028,-0.002,-0.034,0.000,0.000,0.000,-0.002,0.373,-0.001,0.928,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
20.689,0,0,-0.049,0.000,-4398.411,-1.199,0.010,-426.012,-4.463,0.140,-8.688,0.000,0.000,0.0103675,0.000,9144.000,1.575,46.224,1013.212,15.050,0.314,-3289.878,-9.757,0.143,0.458,0.008,-0.019,0.016,0.000,0.000,0.000,0.003,0.541,0.001,0.841,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
20.790,0,0,-0.120,0.000,-3734.030,-1.432,-0.002,-356.190,-2.372,-0.123,-9.478,0.000,0.000,0.0103675,0.000,9144.000,1.254,24.509,1013.251,15.051,-0.008,-2360.442,-9.769,-0.103,0.207,0.009,0.010,-0.002,0.000,0.000,0.000,-0.000,0.624,-0.001,0.782,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
20.891,0,0,-0.202,0.000,-3273.244,-1.574,0.002,-303.461,-1.476,0.042,-9.636,0.000,0.000,0.0103675,0.000,9144.000,1.049,12.835,1013.256,15.051,-0.050,-1842.115,-9.745,0.028,0.271,-0.031,0.033,0.013,0.000,0.000,0.000,-0.000,0.662,0.001,0.750,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
20.992,0,0,-0.290,0.001,-2929.762,-1.663,0.011,-258.258,-0.952,0.091,-9.646,0.000,0.000,0.0103675,0.000,9144.000,0.893,7.119,1013.282,15.048,-0.267,-1511.109,-9.690,0.064,0.234,-0.011,-0.000,0.028,0.000,0.000,0.000,0.001,0.680,0.003,0.733,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
21.093,0,0,-0.382,0.001,-2660.045,-1.754,0.011,-215.582,-0.985,-0.000,-9.787,0.000,0.000,0.0103675,0.000,9144.000,0.760,4.252,1013.224,15.051,0.220,-1280.624,-9.828,-0.029,0.413,-0.004,-0.003,-0.013,0.000,0.000,0.000,-0.001,0.686,0.001,0.727,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
21.194,0,0,-0.477,0.003,-2439.475,-1.802,0.029,-172.525,-0.572,0.182,-9.740,0.000,0.000,0.0103675,0.000,9144.000,0.635,3.340,1013.245,15.048,0.044,-1111.648,-9.755,0.176,0.180,0.023,-0.038,-0.033,0.000,0.000,0.000,0.003,0.693,0.003,0.721,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
21.295,0,0,-0.574,0.006,-2252.603,-1.881,0.039,-127.341,-0.887,0.094,-9.816,0.000,0.000,0.0103675,0.000,9144.000,0.508,2.309,1013.258,15.049,-0.064,-982.102,-9.845,0.110,0.464,0.023,0.010,-0.033,0.000,0.000,0.000,0.003,0.692,0.002,0.722,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
21.396,0,0,-0.674,0.008,-2089.130,-1.927,0.030,-78.994,-0.574,-0.086,-9.743,0.000,0.000,0.0103675,0.000,9144.000,0.375,2.474,1013.236,15.053,0.117,-879.393,-9.757,-0.078,0.233,-0.011,-0.030,0.018,0.000,0.000,0.000,0.001,0.695,-0.000,0.719,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
