State - Time (s),State - Stage,State - Stage,State - PX (m),State - PY (m),State - PZ (m),State - VX (m/s),State - VY (m/s),State - VZ (m/s),State - AX (m/s/s),State - AY (m/s/s),State - AZ (m/s/s),State - Actuation Angle (deg),State - Acutal Angle (deg),State - CdA,State - Est Apo (m),State - Target Apogee (m),State - Mach Number,State - Tilt [deg],MockBarometer - Pres (hPa),MockBarometer - Temp (C),MockBarometer - Alt ASL (m),MockBarometer - Alt AGL (m),MockIMU - AccX (m/s^2),MockIMU - AccY (m/s^2),MockIMU - AccZ (m/s^2),MockIMU - GyroX (rad/s),MockIMU - GyroY (rad/s),MockIMU - GyroZ (rad/s),MockIMU - MagX (uT),MockIMU - MagY (uT),MockIMU - MagZ (uT),MockIMU - OriX,MockIMU - OriY,MockIMU - OriZ,MockIMU - OriW,MockGPS - Lat,MockGPS - Lon,MockGPS - Alt (m),MockGPS - Disp X (m),MockGPS - Disp Y (m),MockGPS - Disp Z (m),MockGPS - Fix Quality,MockGPS - Time of Day,E5 - Rel Steps,BR - Battery Voltage (V),BR - ALT (m),BR - PRES (Pa),BR - TEMP (C),BR - VEL (m/s),BR - ANG (deg),BR - ACCX (m/s^2),BR - ACCY (m/s^2),BR - ACCZ (m/s^2),BR - GYROX (rad/s),BR - GYROY (rad/s),BR - GYROZ (rad/s),BR - ROLL (deg),BR - TILT (deg)
15.885,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0103675,0.000,9144.000,0.000,0.000,0.000,0.000,44307.690,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
15.986,0,0,-0.000,0.000,-5474.711,-0.750,0.011,-689.946,-7.477,0.108,-6.504,0.000,0.000,0.0103675,0.000,9144.000,0.000,90.000,1013.275,15.050,-0.207,-5474.986,-9.899,0.093,0.467,-0.020,0.024,0.025,0.000,0.000,0.000,0.002,0.372,0.002,0.928,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
16.087,0,0,-0.048,0.000,-4402.889,-1.171,-0.006,-548.221,-4.228,-0.165,-9.006,0.000,0.000,0.0103675,0.000,9144.000,2.031,46.283,1013.239,15.050,0.088,-3289.804,-9.946,-0.182,0.226,-0.009,-0.021,-0.013,0.000,0.000,0.000,-0.004,0.546,-0.001,0.838,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
16.188,0,0,-0.118,-0.000,-3741.141,-1.428,-0.005,-458.078,-2.621,0.005,-9.577,0.000,0.000,0.0103675,0.000,9144.000,1.614,23.854,1013.246,15.050,0.037,-2360.206,-9.921,-0.045,0.398,-0.028,0.023,-0.020,0.000,0.000,0.000,-0.005,0.622,-0.000,0.783,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
16.289,0,0,-0.200,-0.000,-3282.047,-1.563,-0.002,-391.186,-1.414,0.032,-9.849,0.000,0.000,0.0103675,0.000,9144.000,1.348,13.009,1013.237,15.049,0.112,-1841.846,-9.948,-0.024,0.207,0.000,0.044,-0.014,0.000,0.000,0.000,-0.004,0.663,0.000,0.749,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
16.390,0,0,-0.286,-0.000,-2939.682,-1.643,0.001,-335.419,-0.894,0.033,-9.910,0.000,0.000,0.0103675,0.000,9144.000,1.152,6.975,1013.237,15.049,0.112,-1510.718,-9.948,-0.024,0.207,0.000,0.044,-0.014,0.000,0.000,0.000,-0.004,0.682,0.000,0.731,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
16.491,0,0,-0.375,0.000,-2670.832,-1.700,0.007,-284.503,-0.662,0.059,-9.870,0.000,0.000,0.0103675,0.000,9144.000,0.987,3.959,1013.240,15.049,0.080,-1280.731,-9.890,0.040,0.222,0.043,0.024,0.041,0.000,0.000,0.000,-0.000,0.691,0.001,0.723,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
16.592,0,0,-0.465,0.001,-2450.865,-1.767,0.006,-234.812,-0.777,-0.011,-9.685,0.000,0.000,0.0103675,0.000,9144.000,0.838,2.553,1013.244,15.052,0.048,-1111.616,-9.709,-0.027,0.366,0.001,-0.024,-0.019,0.000,0.000,0.000,-0.001,0.692,0.000,0.722,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
16.693,0,0,-0.561,0.001,-2264.414,-1.864,0.006,-184.172,-1.092,-0.000,-9.641,0.000,0.000,0.0103675,0.000,9144.000,0.691,2.427,1013.223,15.049,0.226,-981.823,-9.685,-0.008,0.584,0.007,-0.025,-0.011,0.000,0.000,0.000,-0.001,0.688,-0.000,0.725,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
16.794,0,0,-0.659,0.002,-2101.318,-1.916,0.017,-131.327,-0.650,0.110,-9.836,0.000,0.000,0.0103675,0.000,9144.000,0.542,3.011,1013.223,15.050,0.226,-879.307,-9.854,0.088,0.270,-0.012,0.025,0.005,0.000,0.000,0.000,0.001,0.693,0.002,0.721,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
