State - Time (s),State - Stage,State - Stage,State - PX (m),State - PY (m),State - PZ (m),State - VX (m/s),State - VY (m/s),State - VZ (m/s),State - AX (m/s/s),State - AY (m/s/s),State - AZ (m/s/s),State - Actuation Angle (deg),State - Acutal Angle (deg),State - CdA,State - Est Apo (m),State - Target Apogee (m),State - Mach Number,State - Tilt [deg],MockBarometer - Pres (hPa),MockBarometer - Temp (C),MockBarometer - Alt ASL (m),MockBarometer - Alt AGL (m),MockIMU - AccX (m/s^2),MockIMU - AccY (m/s^2),MockIMU - AccZ (m/s^2),MockIMU - GyroX (rad/s),MockIMU - GyroY (rad/s),MockIMU - GyroZ (rad/s),MockIMU - MagX (uT),MockIMU - MagY (uT),MockIMU - MagZ (uT),MockIMU - OriX,MockIMU - OriY,MockIMU - OriZ,MockIMU - OriW,MockGPS - Lat,MockGPS - Lon,MockGPS - Alt (m),MockGPS - Disp X (m),MockGPS - Disp Y (m),MockGPS - Disp Z (m),MockGPS - Fix Quality,MockGPS - Time of Day,E5 - Rel Steps,BR - Battery Voltage (V),BR - ALT (m),BR - PRES (Pa),BR - TEMP (C),BR - VEL (m/s),BR - ANG (deg),BR - ACCX (m/s^2),BR - ACCY (m/s^2),BR - ACCZ (m/s^2),BR - GYROX (rad/s),BR - GYROY (rad/s),BR - GYROZ (rad/s),BR - ROLL (deg),BR - TILT (deg)
13.300,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0103675,0.000,9144.000,0.000,0.000,0.000,0.000,44307.690,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
13.401,0,0,-0.000,0.000,-5474.454,-0.708,0.021,-823.920,-7.063,0.206,-6.923,0.000,0.000,0.0103675,0.000,9144.000,0.000,90.000,1013.302,15.049,-0.429,-5475.014,-9.888,0.277,0.067,-0.013,-0.002,-0.001,0.000,0.000,0.000,0.010,0.381,0.000,0.925,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
13.502,0,0,-0.045,0.001,-4406.797,-1.094,0.034,-653.643,-3.893,0.131,-9.093,0.000,0.000,0.0103675,0.000,9144.000,2.425,45.200,1013.302,15.049,-0.429,-3289.979,-9.888,0.277,0.067,-0.013,-0.002,-0.001,0.000,0.000,0.000,0.014,0.553,0.001,0.833,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
13.603,0,0,-0.110,0.003,-3747.236,-1.314,0.024,-545.638,-2.254,-0.090,-9.425,0.000,0.000,0.0103675,0.000,9144.000,1.924,22.800,1013.236,15.052,0.115,-2359.919,-9.689,0.078,0.222,-0.010,-0.023,0.005,0.000,0.000,0.000,0.012,0.628,-0.002,0.778,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
13.704,0,0,-0.185,0.003,-3289.581,-1.454,-0.006,-466.283,-1.489,-0.297,-9.771,0.000,0.000,0.0103675,0.000,9144.000,1.606,12.124,1013.250,15.050,0.004,-1841.771,-9.883,-0.125,0.307,-0.014,0.026,-0.017,0.000,0.000,0.000,0.006,0.663,-0.006,0.748,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
13.805,0,0,-0.266,0.001,-2948.213,-1.575,-0.019,-401.225,-1.299,-0.131,-9.935,0.000,0.000,0.0103675,0.000,9144.000,1.373,6.880,1013.286,15.051,-0.296,-1510.898,-10.010,0.045,0.465,0.002,-0.004,-0.000,0.000,0.000,0.000,0.007,0.677,-0.006,0.736,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
13.906,0,0,-0.353,-0.000,-2679.958,-1.653,-0.009,-343.045,-0.886,0.096,-9.858,0.000,0.000,0.0103675,0.000,9144.000,1.181,4.783,1013.237,15.053,0.104,-1280.521,-9.890,0.243,0.317,-0.022,0.001,0.047,0.000,0.000,0.000,0.011,0.686,-0.000,0.727,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14.007,0,0,-0.442,-0.000,-2460.397,-1.717,0.003,-287.540,-0.758,0.120,-9.868,0.000,0.000,0.0103675,0.000,9144.000,1.010,3.307,1013.237,15.053,0.104,-1111.407,-9.890,0.243,0.317,-0.022,0.001,0.047,0.000,0.000,0.000,0.013,0.691,0.003,0.723,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14.108,0,0,-0.533,0.000,-2274.264,-1.773,0.017,-232.154,-0.693,0.144,-9.872,0.000,0.000,0.0103675,0.000,9144.000,0.846,2.569,1013.237,15.053,0.104,-981.796,-9.890,0.243,0.317,-0.022,0.001,0.047,0.000,0.000,0.000,0.013,0.693,0.005,0.721,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14.209,0,0,-0.627,0.001,-2111.478,-1.855,-0.004,-175.362,-0.965,-0.213,-9.708,0.000,0.000,0.0103675,0.000,9144.000,0.683,2.201,1013.296,15.052,-0.384,-879.718,-9.744,-0.104,0.506,0.009,-0.036,0.013,0.000,0.000,0.000,0.007,0.690,-0.001,0.724,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
