State - Time (s),State - Stage,State - Stage,State - PX (m),State - PY (m),State - PZ (m),State - VX (m/s),State - VY (m/s),State - VZ (m/s),State - AX (m/s/s),State - AY (m/s/s),State - AZ (m/s/s),State - Actuation Angle (deg),State - Acutal Angle (deg),State - CdA,State - Est Apo (m),State - Target Apogee (m),State - Mach Number,State - Tilt [deg],MockBarometer - Pres (hPa),MockBarometer - Temp (C),MockBarometer - Alt ASL (m),MockBarometer - Alt AGL (m),MockIMU - AccX (m/s^2),MockIMU - AccY (m/s^2),MockIMU - AccZ (m/s^2),MockIMU - GyroX (rad/s),MockIMU - GyroY (rad/s),MockIMU - GyroZ (rad/s),MockIMU - MagX (uT),MockIMU - MagY (uT),MockIMU - MagZ (uT),MockIMU - OriX,MockIMU - OriY,MockIMU - OriZ,MockIMU - OriW,MockGPS - Lat,MockGPS - Lon,MockGPS - Alt (m),MockGPS - Disp X (m),MockGPS - Disp Y (m),MockGPS - Disp Z (m),MockGPS - Fix Quality,MockGPS - Time of Day,E5 - Rel Steps,MockBR - Battery Voltage (V),MockBR - ALT (m),MockBR - PRES (Pa),MockBR - TEMP (C),MockBR - VEL (m/s),MockBR - ANG (deg),MockBR - ACCX (m/s^2),MockBR - ACCY (m/s^2),MockBR - ACCZ (m/s^2),MockBR - GYROX (rad/s),MockBR - GYROY (rad/s),MockBR - GYROZ (rad/s),MockBR - ROLL (deg),MockBR - TILT (deg)
9.190,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0103675,0.000,9144.000,0.000,0.000,0.000,0.000,44307.690,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9.291,0,0,-0.000,-0.000,-5367.603,-0.737,-0.005,-1168.772,-7.375,-0.048,-6.328,0.000,0.000,0.0103675,0.000,9144.000,0.000,90.000,915.254,9.477,849.333,-5370.011,-9.705,-0.048,0.494,0.009,-0.000,-0.007,0.000,0.000,0.000,-0.001,0.371,-0.000,0.929,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,91519.125,9.473,0.000,0.000,0.381,-9.784,-0.144,0.004,0.002,0.004,0.000,0.000
9.392,0,0,-0.047,0.000,-4331.842,-1.158,0.012,-923.261,-4.276,0.162,-8.941,0.000,0.000,0.0103675,0.000,9144.000,3.474,46.458,915.201,9.474,849.807,-3226.628,-9.907,0.155,0.279,-0.008,0.030,0.010,0.000,0.000,0.000,0.003,0.545,0.002,0.838,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,91536.203,9.483,0.000,0.000,0.387,-9.796,-0.027,-0.001,-0.002,0.008,0.000,0.000
9.493,0,0,-0.116,0.002,-3691.331,-1.406,0.034,-768.259,-2.581,0.219,-9.649,0.000,0.000,0.0103675,0.000,9144.000,2.745,23.952,915.239,9.476,849.465,-2315.084,-9.980,0.263,0.357,0.040,0.019,0.020,0.000,0.000,0.000,0.009,0.623,0.004,0.782,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,91527.734,9.478,0.000,0.000,0.290,-9.790,0.015,-0.004,-0.002,0.012,0.000,0.000
9.594,0,0,-0.196,0.003,-3246.212,-1.564,0.023,-656.073,-1.713,-0.103,-9.805,0.000,0.000,0.0103675,0.000,9144.000,2.284,12.944,915.235,9.476,849.506,-1806.657,-9.946,-0.036,0.391,0.003,-0.018,-0.021,0.000,0.000,0.000,0.005,0.658,-0.000,0.753,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,91521.609,9.475,0.000,0.000,0.349,-9.814,0.004,-0.026,0.013,-0.007,0.000,0.000
9.695,0,0,-0.282,0.004,-2913.674,-1.673,0.013,-566.550,-1.239,-0.092,-9.589,0.000,0.000,0.0103675,0.000,9144.000,1.950,7.652,915.245,9.477,849.409,-1481.931,-9.660,-0.017,0.408,0.007,0.034,0.005,0.000,0.000,0.000,0.004,0.676,-0.002,0.737,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,91529.648,9.480,0.000,0.000,0.323,-9.774,-0.007,-0.004,0.005,0.014,0.000,0.000
9.796,0,0,-0.372,0.004,-2651.967,-1.758,0.009,-489.445,-1.007,-0.038,-9.698,0.000,0.000,0.0103675,0.000,9144.000,1.684,4.940,915.198,9.474,849.836,-1255.940,-9.742,0.034,0.396,-0.006,0.011,-0.016,0.000,0.000,0.000,0.003,0.685,-0.002,0.729,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,91530.828,9.480,0.000,0.000,0.286,-9.852,0.008,0.004,0.001,-0.013,0.000,0.000
9.897,0,0,-0.464,0.004,-2437.540,-1.816,0.011,-418.969,-0.762,0.020,-9.915,0.000,0.000,0.0103675,0.000,9144.000,1.455,3.601,915.251,9.477,849.357,-1090.486,-9.939,0.115,0.305,0.023,0.014,0.005,0.000,0.000,0.000,0.006,0.691,-0.001,0.723,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,91525.789,9.477,0.000,0.000,0.268,-9.769,-0.053,-0.001,0.005,0.003,0.000,0.000
9.998,0,0,-0.557,0.005,-2255.525,-1.865,0.008,-351.523,-0.685,-0.035,-9.762,0.000,0.000,0.0103675,0.000,9144.000,1.245,2.638,915.231,9.476,849.538,-963.154,-9.781,0.078,0.309,0.018,0.009,-0.031,0.000,0.000,0.000,0.006,0.693,-0.002,0.721,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,91531.500,9.481,0.000,0.000,0.343,-9.739,0.020,0.005,0.006,-0.015,0.000,0.000
10.099,0,0,-0.651,0.004,-2096.158,-1.913,-0.012,-284.974,-0.690,-0.194,-9.853,0.000,0.000,0.0103675,0.000,9144.000,1.045,2.198,915.207,9.474,849.759,-862.389,-9.873,-0.092,0.335,-0.014,0.003,-0.004,0.000,0.000,0.000,0.003,0.694,-0.004,0.720,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,91517.445,9.472,0.000,0.000,0.385,-9.792,-0.077,0.012,-0.012,0.021,0.000,0.000
