State - Time (s),State - Stage,State - Stage,State - PX (m),State - PY (m),State - PZ (m),State - VX (m/s),State - VY (m/s),State - VZ (m/s),State - AX (m/s/s),State - AY (m/s/s),State - AZ (m/s/s),State - Actuation Angle (deg),State - Acutal Angle (deg),State - CdA,State - Est Apo (m),State - Target Apogee (m),State - Mach Number,State - Tilt [deg],State - Pos - Accel Integrated [m],State - Velo - Accel Integrated [m/s],MockBarometer - Pres (hPa),MockBarometer - Temp (C),MockBarometer - Alt ASL (m),MockBarometer - Alt AGL (m),MockIMU - AccX (m/s^2),MockIMU - AccY (m/s^2),MockIMU - AccZ (m/s^2),MockIMU - GyroX (rad/s),MockIMU - GyroY (rad/s),MockIMU - GyroZ (rad/s),MockIMU - MagX (uT),MockIMU - MagY (uT),MockIMU - MagZ (uT),MockIMU - OriX,MockIMU - OriY,MockIMU - OriZ,MockIMU - OriW,MockGPS - Lat,MockGPS - Lon,MockGPS - Alt (m),MockGPS - Disp X (m),MockGPS - Disp Y (m),MockGPS - Disp Z (m),MockGPS - Fix Quality,MockGPS - Time of Day,E5 - Rel Steps,MockBR - Battery Voltage (V),MockBR - ALT (m),MockBR - PRES (Pa),MockBR - TEMP (C),MockBR - VEL (m/s),MockBR - ANG (deg),MockBR - ACCX (m/s^2),MockBR - ACCY (m/s^2),MockBR - ACCZ (m/s^2),MockBR - GYROX (rad/s),MockBR - GYROY (rad/s),MockBR - GYROZ (rad/s),MockBR - ROLL (deg),MockBR - TILT (deg)
16.627,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0103675,0.000,9144.000,0.000,0.000,0.000,0.000,0.000,0.000,44307.690,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
16.728,0,0,-0.000,0.000,-5369.971,-0.723,0.002,-50509.665,-7.203,0.016,-6.550,0.000,0.000,0.0103675,0.000,9144.000,0.000,90.000,-0.065,-0.655,915.218,9.475,849.655,-5369.971,-9.731,0.024,0.312,-0.011,0.011,-0.009,0.000,0.000,0.000,0.001,0.376,-0.000,0.927,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,91527.578,9.478,0.000,0.000,0.440,-9.910,-0.039,0.036,-0.010,-0.003,0.000,0.000
16.829,0,0,-0.047,-0.000,-3227.150,-1.143,-0.005,20155.171,-4.218,-0.066,-9.008,0.000,0.000,0.0103675,0.000,9144.000,150.149,45.885,-0.221,-1.556,915.278,9.479,849.111,-3227.150,-9.944,-0.062,0.248,-0.003,-0.002,-0.002,0.000,0.000,0.000,-0.001,0.547,-0.001,0.837,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,91524.484,9.477,0.000,0.000,0.329,-9.925,0.032,-0.014,-0.004,-0.002,0.000,0.000
16.930,0,0,-0.115,-0.000,-0.472,-1.395,0.003,-2.506,-2.564,0.080,-9.498,0.000,0.000,0.0103675,0.000,9144.000,59.914,23.664,-0.472,-2.506,915.195,9.474,849.860,-2314.695,-9.831,0.066,0.378,-0.013,0.010,0.011,0.000,0.000,0.000,0.000,0.623,0.001,0.782,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,91521.461,9.475,0.000,0.000,0.305,-9.774,0.033,-0.013,0.007,0.013,0.000,0.000
17.031,0,0,-0.196,0.000,-1806.392,-1.555,0.012,4780.897,-1.662,0.093,-9.696,0.000,0.000,0.0103675,0.000,9144.000,0.009,12.904,-0.819,-3.475,915.195,9.474,849.860,-1806.392,-9.831,0.066,0.378,-0.013,0.010,0.011,0.000,0.000,0.000,0.001,0.659,0.003,0.752,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,91521.461,9.475,0.000,0.000,0.305,-9.774,0.033,-0.013,0.007,0.013,0.000,0.000
17.132,0,0,-0.284,0.002,-1.262,-1.659,0.026,-4.426,-1.124,0.133,-9.512,0.000,0.000,0.0103675,0.000,9144.000,14.212,7.524,-1.262,-4.426,915.208,9.474,849.743,-1481.734,-9.573,0.107,0.333,-0.003,0.000,-0.004,0.000,0.000,0.000,0.002,0.677,0.004,0.736,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,91524.766,9.477,0.000,0.000,0.339,-9.737,-0.090,0.018,-0.012,0.005,0.000,0.000
17.233,0,0,-0.375,0.004,-1256.525,-1.741,0.038,2118.028,-0.903,0.125,-9.689,0.000,0.000,0.0103675,0.000,9144.000,0.014,4.756,-1.801,-5.395,915.260,9.477,849.276,-1256.525,-9.725,0.102,0.339,0.003,0.014,0.007,0.000,0.000,0.000,0.003,0.686,0.004,0.727,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,91522.781,9.476,0.000,0.000,0.314,-9.768,0.006,-0.012,-0.010,-0.004,0.000,0.000
17.334,0,0,-0.470,0.007,-2.438,-1.809,0.050,-6.365,-0.783,0.121,-9.699,0.000,0.000,0.0103675,0.000,9144.000,6.296,3.335,-2.438,-6.365,915.260,9.477,849.276,-1090.577,-9.725,0.102,0.339,0.003,0.014,0.007,0.000,0.000,0.000,0.003,0.691,0.004,0.723,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,91522.781,9.476,0.000,0.000,0.314,-9.768,0.006,-0.012,-0.010,-0.004,0.000,0.000
17.435,0,0,-0.567,0.011,-963.392,-1.869,0.062,1195.925,-0.722,0.118,-9.704,0.000,0.000,0.0103675,0.000,9144.000,0.020,2.624,-3.171,-7.336,915.260,9.477,849.276,-963.392,-9.725,0.102,0.339,0.003,0.014,0.007,0.000,0.000,0.000,0.003,0.693,0.004,0.721,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,91522.781,9.476,0.000,0.000,0.314,-9.768,0.006,-0.012,-0.010,-0.004,0.000,0.000
17.536,0,0,-0.667,0.016,-4.003,-1.947,0.078,-8.320,-0.912,0.165,-9.842,0.000,0.000,0.0103675,0.000,9144.000,3.555,2.269,-4.003,-8.320,915.244,9.476,849.425,-862.666,-9.873,0.132,0.484,-0.014,0.013,-0.001,0.000,0.000,0.000,0.003,0.692,0.005,0.722,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,91521.203,9.475,0.000,0.000,0.291,-9.799,-0.026,-0.015,0.005,-0.005,0.000,0.000
