State - Time (s),State - Stage,State - Stage,State - PX (m),State - PY (m),State - PZ (m),State - VX (m/s),State - VY (m/s),State - VZ (m/s),State - AX (m/s/s),State - AY (m/s/s),State - AZ (m/s/s),State - Actuation Angle (deg),State - Acutal Angle (deg),State - CdA,State - Est Apo (m),State - Target Apogee (m),State - Mach Number,State - Tilt [deg],State - Pos - Accel Integrated [m],State - Velo - Accel Integrated [m/s],State - Baro Correction Altitude Delta [m],MockBarometer - Pres (hPa),MockBarometer - Temp (C),MockBarometer - Alt ASL (m),MockBarometer - Alt AGL (m),MockIMU - AccX (m/s^2),MockIMU - AccY (m/s^2),MockIMU - AccZ (m/s^2),MockIMU - GyroX (rad/s),MockIMU - GyroY (rad/s),MockIMU - GyroZ (rad/s),MockIMU - MagX (uT),MockIMU - MagY (uT),MockIMU - MagZ (uT),MockIMU - OriX,MockIMU - OriY,MockIMU - OriZ,MockIMU - OriW,MockGPS - Lat,MockGPS - Lon,MockGPS - Alt (m),MockGPS - Disp X (m),MockGPS - Disp Y (m),MockGPS - Disp Z (m),MockGPS - Fix Quality,MockGPS - Time of Day,E5 - Rel Steps,MockBR - Battery Voltage (V),MockBR - ALT (m),MockBR - PRES (Pa),MockBR - TEMP (C),MockBR - VEL (m/s),MockBR - ANG (deg),MockBR - ACCX (m/s^2),MockBR - ACCY (m/s^2),MockBR - ACCZ (m/s^2),MockBR - GYROX (rad/s),MockBR - GYROY (rad/s),MockBR - GYROZ (rad/s),MockBR - ROLL (deg),MockBR - TILT (deg)
15.414,0,0,769.144,13.566,885.074,99.798,1.760,114.840,6.475,0.114,7.450,0.000,0.000,0.0116870,0.000,9144.000,0.000,4.000,0.000,0.000,0.000,911.484,9.255,883.450,0.000,9.784,0.104,1.306,0.018,-0.071,0.073,0.000,0.000,0.000,0.006,-0.353,0.004,0.935,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-1194,0.000,0.000,91149.047,9.256,0.000,0.000,1.080,-9.763,0.024,0.011,0.000,0.009,0.000,0.000
15.515,0,0,0.221,0.004,0.051,-0.936,-0.013,-0.569,3.422,0.097,9.258,0.000,0.000,0.0116870,0.000,9144.000,0.000,48.598,0.000,0.000,0.000,911.484,9.255,883.450,0.000,9.784,0.104,1.306,0.018,-0.071,0.073,0.000,0.000,0.000,0.009,-0.516,0.006,0.857,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-1194,0.000,0.000,91149.047,9.256,0.000,0.000,1.080,-9.763,0.024,0.011,0.000,0.009,0.000,0.000
15.616,0,0,0.067,0.001,0.111,-0.745,-0.020,0.414,1.975,-0.070,9.647,0.000,0.000,0.0116870,0.000,9144.000,0.000,27.897,0.000,0.000,0.000,911.455,9.253,883.716,0.177,9.805,-0.090,0.906,0.149,0.086,-0.038,0.000,0.000,0.000,0.012,-0.596,0.012,0.803,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-1194,0.000,0.000,91149.898,9.256,0.000,0.000,0.987,-9.795,0.009,-0.005,0.002,-0.016,0.000,0.000
15.717,0,0,-0.002,-0.000,0.018,-0.653,-0.014,1.370,0.911,0.064,9.709,0.000,0.000,0.0116870,0.000,9144.000,0.000,16.831,0.000,0.000,0.000,911.524,9.258,883.090,-0.337,9.700,0.083,1.006,-0.079,-0.031,0.021,0.000,0.000,0.000,0.010,-0.634,0.009,0.773,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-1194,0.000,0.000,91150.320,9.256,0.000,0.000,1.020,-9.728,-0.043,0.009,0.017,-0.013,0.000,0.000
15.818,0,0,-0.049,-0.001,0.162,-0.603,-0.002,2.363,0.471,0.118,9.890,0.000,0.000,0.0116870,0.000,9144.000,0.000,11.290,0.000,0.000,0.000,911.482,9.255,883.470,0.035,9.841,0.121,1.088,-0.046,0.088,0.130,0.000,0.000,0.000,0.009,-0.649,0.009,0.761,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-1194,0.000,0.000,91151.891,9.257,0.000,0.000,1.007,-9.742,0.077,-0.007,-0.013,0.005,0.000,0.000
15.919,0,0,-0.086,-0.001,0.395,-0.576,0.001,3.349,0.244,0.022,9.847,0.000,0.000,0.0116870,0.000,9144.000,0.000,9.051,0.000,0.000,0.000,911.461,9.254,883.659,0.187,9.813,-0.020,0.856,-0.007,-0.213,0.068,0.000,0.000,0.000,0.007,-0.666,0.010,0.745,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-1194,0.000,0.000,91151.547,9.257,0.000,0.000,1.046,-9.702,-0.090,0.013,0.005,-0.002,0.000,0.000
16.020,0,0,-0.118,-0.001,0.685,-0.569,-0.001,4.334,0.038,-0.019,9.928,0.000,0.000,0.0116870,0.000,9144.000,0.000,6.410,0.000,0.000,0.000,911.452,9.253,883.742,0.231,9.868,-0.178,1.080,0.103,0.045,0.116,0.000,0.000,0.000,0.006,-0.666,0.019,0.746,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-1194,0.000,0.000,91146.625,9.254,0.000,0.000,1.027,-9.699,0.030,0.008,-0.013,0.005,0.000,0.000
16.121,0,0,-0.148,-0.000,1.014,-0.553,0.008,5.289,0.114,0.096,9.771,0.000,0.000,0.0116870,0.000,9144.000,0.000,6.460,0.000,0.000,0.000,911.457,9.254,883.698,0.164,9.719,0.101,1.014,-0.024,0.152,-0.078,0.000,0.000,0.000,0.011,-0.665,0.012,0.747,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-1194,0.000,0.000,91156.516,9.260,0.000,0.000,1.042,-9.725,0.049,0.015,-0.001,-0.004,0.000,0.000
16.222,0,0,-0.176,0.000,1.379,-0.551,-0.002,6.221,-0.020,-0.102,9.767,0.000,0.000,0.0116870,0.000,9144.000,0.000,6.642,0.000,0.000,0.000,911.469,9.254,883.586,0.046,9.710,-0.183,1.046,0.039,-0.134,-0.006,0.000,0.000,0.000,0.009,-0.669,0.016,0.743,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-1194,0.000,0.000,91148.875,9.255,0.000,0.000,1.108,-9.644,0.048,0.010,-0.016,-0.008,0.000,0.000
16.323,0,0,-0.203,0.000,1.786,-0.557,-0.000,7.134,-0.099,0.018,9.842,0.000,0.000,0.0116870,0.000,9144.000,0.000,6.014,0.000,0.000,0.000,911.478,9.255,883.505,-0.032,9.787,-0.001,1.041,-0.029,-0.189,-0.044,0.000,0.000,0.000,0.010,-0.672,0.013,0.740,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-1194,0.000,0.000,91140.398,9.250,0.000,0.000,1.111,-9.739,-0.001,0.001,-0.006,-0.000,0.000,0.000
16.424,0,0,-0.230,-0.000,2.245,-0.553,-0.005,8.007,-0.018,-0.054,9.740,0.000,0.000,0.0116870,0.000,9144.000,0.000,5.501,0.000,0.000,0.000,911.475,9.255,883.535,-0.002,9.694,-0.108,0.948,0.082,-0.026,-0.012,0.000,0.000,0.000,0.012,-0.672,0.017,0.740,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-1194,0.000,0.000,91152.211,9.257,0.000,0.000,1.075,-9.761,-0.086,0.018,-0.004,-0.016,0.000,0.000
16.525,0,0,-0.256,-0.000,2.712,-0.553,-0.001,8.840,-0.050,0.046,9.873,0.000,0.000,0.0116870,0.000,9144.000,0.000,5.468,0.000,0.000,0.000,911.504,9.256,883.269,-0.268,9.806,0.023,1.150,-0.171,0.116,-0.001,0.000,0.000,0.000,0.007,-0.666,0.010,0.745,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-1194,0.000,0.000,91141.219,9.251,0.000,0.000,1.050,-9.708,-0.015,-0.002,0.009,0.001,0.000,0.000
