State - Time (s),State - Stage,State - Stage,State - PX (m),State - PY (m),State - PZ (m),State - VX (m/s),State - VY (m/s),State - VZ (m/s),State - AX (m/s/s),State - AY (m/s/s),State - AZ (m/s/s),State - Actuation Angle (deg),State - Acutal Angle (deg),State - CdA,State - Est Apo (m),State - Target Apogee (m),State - Mach Number,State - Tilt [deg],State - Pos - Accel Integrated [m],State - Velo - Accel Integrated [m/s],MockBarometer - Pres (hPa),MockBarometer - Temp (C),MockBarometer - Alt ASL (m),MockBarometer - Alt AGL (m),MockIMU - AccX (m/s^2),MockIMU - AccY (m/s^2),MockIMU - AccZ (m/s^2),MockIMU - GyroX (rad/s),MockIMU - GyroY (rad/s),MockIMU - GyroZ (rad/s),MockIMU - MagX (uT),MockIMU - MagY (uT),MockIMU - MagZ (uT),MockIMU - OriX,MockIMU - OriY,MockIMU - OriZ,MockIMU - OriW,MockGPS - Lat,MockGPS - Lon,MockGPS - Alt (m),MockGPS - Disp X (m),MockGPS - Disp Y (m),MockGPS - Disp Z (m),MockGPS - Fix Quality,MockGPS - Time of Day,E5 - Rel Steps,MockBR - Battery Voltage (V),MockBR - ALT (m),MockBR - PRES (Pa),MockBR - TEMP (C),MockBR - VEL (m/s),MockBR - ANG (deg),MockBR - ACCX (m/s^2),MockBR - ACCY (m/s^2),MockBR - ACCZ (m/s^2),MockBR - GYROX (rad/s),MockBR - GYROY (rad/s),MockBR - GYROZ (rad/s),MockBR - ROLL (deg),MockBR - TILT (deg)
19.508,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0103675,0.000,9144.000,0.000,0.000,0.098,0.981,0.000,0.000,44307.690,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-791,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19.609,0,0,-0.000,-0.000,-5369.820,-0.724,-0.003,-551.193,-7.204,-0.031,-6.654,0.000,0.000,0.0103675,0.000,9144.000,0.000,90.000,0.228,1.297,915.189,9.473,849.921,-5369.938,-9.803,-0.038,0.254,-0.001,-0.016,-0.004,0.000,0.000,0.000,-0.001,0.376,-0.000,0.926,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-791,0.000,0.000,91522.062,9.475,0.000,0.000,0.327,-9.884,0.038,-0.002,0.001,0.003,0.000,0.000
19.710,0,0,-0.047,-0.000,-4315.022,-1.146,0.001,-438.695,-4.227,0.036,-8.745,0.000,0.000,0.0103675,0.000,9144.000,1.639,45.788,0.368,1.403,915.256,9.477,849.313,-3227.165,-9.708,-0.012,0.325,-0.014,-0.009,0.039,0.000,0.000,0.000,-0.002,0.546,0.002,0.838,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-791,0.000,0.000,91523.492,9.476,0.000,0.000,0.334,-9.824,0.029,0.019,-0.013,0.009,0.000,0.000
19.811,0,0,-0.116,0.000,-3663.748,-1.400,0.006,-366.755,-2.574,0.053,-9.151,0.000,0.000,0.0103675,0.000,9144.000,1.304,23.879,0.515,1.469,915.232,9.476,849.526,-2315.072,-9.497,0.032,0.415,0.021,-0.006,-0.027,0.000,0.000,0.000,-0.001,0.621,0.001,0.784,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-791,0.000,0.000,91526.484,9.478,0.000,0.000,0.338,-9.799,0.001,-0.000,-0.009,0.009,0.000,0.000
19.912,0,0,-0.197,0.001,-3212.079,-1.564,0.023,-312.649,-1.699,0.175,-9.521,0.000,0.000,0.0103675,0.000,9144.000,1.090,13.209,0.665,1.498,915.249,9.477,849.373,-1806.795,-9.664,0.116,0.396,-0.041,0.002,-0.008,0.000,0.000,0.000,0.000,0.658,0.004,0.753,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-791,0.000,0.000,91522.359,9.475,0.000,0.000,0.338,-9.794,0.068,0.016,-0.013,0.001,0.000,0.000
20.013,0,0,-0.286,0.003,-2875.281,-1.671,0.024,-266.545,-1.131,0.008,-9.769,0.000,0.000,0.0103675,0.000,9144.000,0.929,7.774,0.815,1.502,915.209,9.474,849.734,-1481.673,-9.830,-0.025,0.309,0.021,-0.007,-0.023,0.000,0.000,0.000,-0.001,0.677,0.001,0.736,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-791,0.000,0.000,91521.742,9.475,0.000,0.000,0.357,-9.744,0.011,-0.003,-0.006,-0.007,0.000,0.000
20.114,0,0,-0.379,0.004,-2610.894,-1.751,0.023,-223.315,-0.878,-0.015,-9.795,0.000,0.000,0.0103675,0.000,9144.000,0.792,4.806,0.965,1.503,915.209,9.474,849.734,-1256.082,-9.830,-0.025,0.309,0.021,-0.007,-0.023,0.000,0.000,0.000,-0.001,0.686,-0.000,0.727,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-791,0.000,0.000,91521.742,9.475,0.000,0.000,0.357,-9.744,0.011,-0.003,-0.006,-0.007,0.000,0.000
20.215,0,0,-0.472,0.006,-2394.703,-1.764,0.037,-180.000,-0.224,0.141,-9.832,0.000,0.000,0.0103675,0.000,9144.000,0.664,3.321,1.115,1.501,915.254,9.477,849.332,-1090.542,-9.835,0.119,-0.038,-0.013,0.009,-0.035,0.000,0.000,0.000,0.000,0.698,0.002,0.716,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-791,0.000,0.000,91524.523,9.477,0.000,0.000,0.350,-9.775,-0.030,0.006,-0.006,-0.001,0.000,0.000
20.316,0,0,-0.566,0.009,-2211.485,-1.827,0.043,-134.768,-0.730,0.060,-9.709,0.000,0.000,0.0103675,0.000,9144.000,0.535,1.525,1.267,1.511,915.226,9.475,849.584,-963.141,-9.728,0.020,0.395,-0.018,-0.019,-0.004,0.000,0.000,0.000,-0.001,0.695,0.002,0.719,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-791,0.000,0.000,91519.953,9.474,0.000,0.000,0.361,-9.827,-0.041,-0.006,0.008,0.013,0.000,0.000
20.417,0,0,-0.660,0.012,-2051.259,-1.849,0.051,-86.612,-0.341,0.086,-9.713,0.000,0.000,0.0103675,0.000,9144.000,0.401,1.978,1.419,1.521,915.253,9.477,849.340,-862.791,-9.719,0.007,0.117,-0.042,0.003,-0.020,0.000,0.000,0.000,-0.003,0.699,0.003,0.715,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-791,0.000,0.000,91518.969,9.473,0.000,0.000,0.336,-9.765,0.080,-0.010,0.002,-0.018,0.000,0.000
