State - Time (s),State - Stage,State - Stage,State - PX (m),State - PY (m),State - PZ (m),State - VX (m/s),State - VY (m/s),State - VZ (m/s),State - AX (m/s/s),State - AY (m/s/s),State - AZ (m/s/s),State - Actuation Angle (deg),State - Acutal Angle (deg),State - CdA,State - Est Apo (m),State - Target Apogee (m),State - Mach Number,State - Tilt [deg],State - Pos - Accel Integrated [m],State - Velo - Accel Integrated [m/s],MockBarometer - Pres (hPa),MockBarometer - Temp (C),MockBarometer - Alt ASL (m),MockBarometer - Alt AGL (m),MockIMU - AccX (m/s^2),MockIMU - AccY (m/s^2),MockIMU - AccZ (m/s^2),MockIMU - GyroX (rad/s),MockIMU - GyroY (rad/s),MockIMU - GyroZ (rad/s),MockIMU - MagX (uT),MockIMU - MagY (uT),MockIMU - MagZ (uT),MockIMU - OriX,MockIMU - OriY,MockIMU - OriZ,MockIMU - OriW,MockGPS - Lat,MockGPS - Lon,MockGPS - Alt (m),MockGPS - Disp X (m),MockGPS - Disp Y (m),MockGPS - Disp Z (m),MockGPS - Fix Quality,MockGPS - Time of Day,E5 - Rel Steps,MockBR - Battery Voltage (V),MockBR - ALT (m),MockBR - PRES (Pa),MockBR - TEMP (C),MockBR - VEL (m/s),MockBR - ANG (deg),MockBR - ACCX (m/s^2),MockBR - ACCY (m/s^2),MockBR - ACCZ (m/s^2),MockBR - GYROX (rad/s),MockBR - GYROY (rad/s),MockBR - GYROZ (rad/s),MockBR - ROLL (deg),MockBR - TILT (deg)
21.041,0,0,-1734.024,-17.432,-1321.222,-164.823,-1.657,-125.586,-7.833,-0.079,-5.969,0.000,0.000,0.0116870,0.000,9144.000,0.490,4.000,0.038,0.384,911.466,9.254,883.617,0.000,-9.809,-0.074,0.879,-0.010,-0.006,-0.026,0.000,0.000,0.000,-0.003,0.362,-0.001,0.932,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-1020,0.000,0.000,91147.703,9.255,0.000,0.000,0.987,-9.818,0.079,-0.002,0.005,0.023,0.000,0.000
21.142,0,0,-0.143,-0.001,-0.022,1.052,0.010,0.359,-5.143,-0.062,-8.399,0.000,0.000,0.0116870,0.000,9144.000,0.003,47.577,0.091,0.525,911.466,9.254,883.617,0.000,-9.809,-0.074,0.879,-0.010,-0.006,-0.026,0.000,0.000,0.000,-0.004,0.527,-0.001,0.850,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-1020,0.000,0.000,91147.703,9.255,0.000,0.000,0.987,-9.818,0.079,-0.002,0.005,0.023,0.000,0.000
21.243,0,0,-0.028,-0.000,-0.092,0.670,0.003,-0.569,-3.807,-0.070,-9.136,0.000,0.000,0.0116870,0.000,9144.000,0.003,26.366,0.150,0.593,911.491,9.256,883.392,-0.150,-9.837,-0.086,1.088,0.004,0.010,-0.014,0.000,0.000,0.000,-0.005,0.600,-0.002,0.800,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-1020,0.000,0.000,91137.016,9.248,0.000,0.000,1.049,-9.849,0.029,0.000,0.006,-0.013,0.000,0.000
21.344,0,0,0.017,-0.000,-0.151,0.378,-0.008,-1.504,-2.880,-0.103,-9.301,0.000,0.000,0.0116870,0.000,9144.000,0.002,16.310,0.215,0.644,911.483,9.255,883.458,-0.063,-9.681,-0.108,1.035,0.028,0.035,0.029,0.000,0.000,0.000,-0.004,0.635,-0.002,0.772,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-1020,0.000,0.000,91149.172,9.256,0.000,0.000,0.935,-9.742,0.032,-0.005,-0.005,0.006,0.000,0.000
21.445,0,0,0.031,-0.001,-0.274,0.129,-0.020,-2.447,-2.455,-0.121,-9.422,0.000,0.000,0.0116870,0.000,9144.000,0.002,11.106,0.283,0.682,911.483,9.255,883.458,-0.051,-9.681,-0.108,1.035,0.028,0.035,0.029,0.000,0.000,0.000,-0.003,0.653,-0.003,0.758,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-1020,0.000,0.000,91149.172,9.256,0.000,0.000,0.935,-9.742,0.032,-0.005,-0.005,0.006,0.000,0.000
21.546,0,0,0.026,-0.001,-0.424,-0.110,0.014,-3.403,-2.361,0.336,-9.642,0.000,0.000,0.0116870,0.000,9144.000,0.002,8.504,0.353,0.699,911.460,9.254,883.667,0.132,-9.866,0.320,1.099,-0.006,0.002,0.005,0.000,0.000,0.000,0.005,0.660,0.004,0.751,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-1020,0.000,0.000,91142.383,9.252,0.000,0.000,1.053,-9.716,-0.031,-0.004,0.022,0.007,0.000,0.000
21.647,0,0,0.003,0.002,-0.653,-0.339,0.050,-4.356,-2.267,0.352,-9.664,0.000,0.000,0.0116870,0.000,9144.000,0.002,7.426,0.424,0.714,911.460,9.254,883.667,0.113,-9.866,0.320,1.099,-0.006,0.002,0.005,0.000,0.000,0.000,0.008,0.663,0.008,0.748,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-1020,0.000,0.000,91142.383,9.252,0.000,0.000,1.053,-9.716,-0.031,-0.004,0.022,0.007,0.000,0.000
21.748,0,0,-0.036,0.005,-0.915,-0.545,0.031,-5.283,-2.047,-0.179,-9.582,0.000,0.000,0.0116870,0.000,9144.000,0.003,6.886,0.498,0.737,911.431,9.252,883.927,0.327,-9.749,-0.178,0.981,0.008,0.001,-0.014,0.000,0.000,0.000,0.001,0.667,0.000,0.745,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-1020,0.000,0.000,91157.969,9.261,0.000,0.000,0.965,-9.784,-0.055,-0.010,0.010,-0.005,0.000,0.000
21.849,0,0,-0.087,0.006,-1.250,-0.745,0.011,-6.196,-1.997,-0.198,-9.592,0.000,0.000,0.0116870,0.000,9144.000,0.003,6.314,0.574,0.758,911.431,9.252,883.927,0.291,-9.749,-0.178,0.981,0.008,0.001,-0.014,0.000,0.000,0.000,-0.003,0.669,-0.003,0.743,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-1020,0.000,0.000,91157.969,9.261,0.000,0.000,0.965,-9.784,-0.055,-0.010,0.010,-0.005,0.000,0.000
21.950,0,0,-0.152,0.006,-1.662,-0.947,0.007,-7.072,-2.025,-0.039,-9.398,0.000,0.000,0.0116870,0.000,9144.000,0.004,6.028,0.654,0.800,911.447,9.253,883.790,0.138,-9.560,-0.026,1.016,-0.003,-0.016,0.014,0.000,0.000,0.000,-0.002,0.669,-0.002,0.744,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-1020,0.000,0.000,91144.352,9.253,0.000,0.000,0.958,-9.780,-0.017,-0.010,0.006,0.004,0.000,0.000
