State - Time (s),State - Stage,State - Stage,State - PX (m),State - PY (m),State - PZ (m),State - VX (m/s),State - VY (m/s),State - VZ (m/s),State - AX (m/s/s),State - AY (m/s/s),State - AZ (m/s/s),State - Actuation Angle (deg),State - Acutal Angle (deg),State - CdA,State - Est Apo (m),State - Target Apogee (m),State - Mach Number,State - Tilt [deg],State - Pos - Accel Integrated [m],State - Velo - Accel Integrated [m/s],MockBarometer - Pres (hPa),MockBarometer - Temp (C),MockBarometer - Alt ASL (m),MockBarometer - Alt AGL (m),MockIMU - AccX (m/s^2),MockIMU - AccY (m/s^2),MockIMU - AccZ (m/s^2),MockIMU - GyroX (rad/s),MockIMU - GyroY (rad/s),MockIMU - GyroZ (rad/s),MockIMU - MagX (uT),MockIMU - MagY (uT),MockIMU - MagZ (uT),MockIMU - OriX,MockIMU - OriY,MockIMU - OriZ,MockIMU - OriW,MockGPS - Lat,MockGPS - Lon,MockGPS - Alt (m),MockGPS - Disp X (m),MockGPS - Disp Y (m),MockGPS - Disp Z (m),MockGPS - Fix Quality,MockGPS - Time of Day,E5 - Rel Steps,MockBR - Battery Voltage (V),MockBR - ALT (m),MockBR - PRES (Pa),MockBR - TEMP (C),MockBR - VEL (m/s),MockBR - ANG (deg),MockBR - ACCX (m/s^2),MockBR - ACCY (m/s^2),MockBR - ACCZ (m/s^2),MockBR - GYROX (rad/s),MockBR - GYROY (rad/s),MockBR - GYROZ (rad/s),MockBR - ROLL (deg),MockBR - TILT (deg)
14.478,0,0,-834.990,-14.178,-580.720,-115.346,-1.959,-80.221,-7.967,-0.135,-5.541,0.000,0.000,0.0116870,0.000,9144.000,0.343,4.000,0.043,0.427,911.466,9.254,883.615,0.000,-9.636,-0.128,1.151,-0.003,0.012,-0.032,0.000,0.000,0.000,-0.004,0.355,-0.001,0.935,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-721,0.000,0.000,91151.266,9.257,0.000,0.000,1.005,-9.695,-0.027,-0.015,0.013,0.006,0.000,0.000
14.579,0,0,-0.308,-0.005,-0.140,1.047,0.036,0.286,-5.185,0.098,-8.118,0.000,0.000,0.0116870,0.000,9144.000,0.004,48.372,0.102,0.596,911.487,9.255,883.422,-0.097,-9.587,0.083,0.935,0.006,-0.008,0.001,0.000,0.000,0.000,-0.000,0.523,0.001,0.853,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-721,0.000,0.000,91147.594,9.255,0.000,0.000,1.104,-9.778,-0.049,-0.020,0.004,-0.001,0.000,0.000
14.680,0,0,-0.109,-0.001,0.081,0.691,0.033,-0.611,-3.672,-0.036,-9.198,0.000,0.000,0.0116870,0.000,9144.000,0.003,26.996,0.168,0.657,911.425,9.252,883.989,0.314,-9.858,-0.099,0.947,-0.040,-0.012,0.030,0.000,0.000,0.000,-0.004,0.600,0.001,0.800,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-721,0.000,0.000,91153.109,9.258,0.000,0.000,0.980,-9.697,-0.089,-0.005,0.002,-0.012,0.000,0.000
14.781,0,0,-0.035,0.002,-0.143,0.413,0.044,-1.580,-2.775,0.108,-9.438,0.000,0.000,0.0116870,0.000,9144.000,0.002,16.277,0.237,0.695,911.513,9.257,883.190,-0.364,-9.792,0.047,0.950,0.010,0.024,0.006,0.000,0.000,0.000,-0.002,0.637,0.003,0.771,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-721,0.000,0.000,91152.258,9.257,0.000,0.000,1.027,-9.766,0.033,0.006,-0.015,-0.001,0.000,0.000
14.882,0,0,-0.004,0.005,-0.336,0.179,0.054,-2.543,-2.324,0.101,-9.559,0.000,0.000,0.0116870,0.000,9144.000,0.002,10.842,0.309,0.720,911.513,9.257,883.190,-0.291,-9.792,0.047,0.950,0.010,0.024,0.006,0.000,0.000,0.000,-0.001,0.655,0.003,0.755,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-721,0.000,0.000,91152.258,9.257,0.000,0.000,1.027,-9.766,0.033,0.006,-0.015,-0.001,0.000,0.000
14.983,0,0,0.002,0.009,-0.471,-0.061,0.064,-3.474,-2.374,0.105,-9.482,0.000,0.000,0.0116870,0.000,9144.000,0.002,8.125,0.385,0.752,911.459,9.254,883.673,0.160,-9.710,0.030,1.129,-0.021,-0.016,0.006,0.000,0.000,0.000,-0.001,0.660,0.004,0.751,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-721,0.000,0.000,91153.594,9.258,0.000,0.000,0.951,-9.740,-0.089,-0.005,-0.011,-0.011,0.000,0.000
15.084,0,0,-0.013,0.013,-0.689,-0.295,0.076,-4.400,-2.316,0.125,-9.497,0.000,0.000,0.0116870,0.000,9144.000,0.003,7.424,0.463,0.784,911.459,9.254,883.673,0.137,-9.710,0.030,1.129,-0.021,-0.016,0.006,0.000,0.000,0.000,-0.002,0.662,0.005,0.749,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-721,0.000,0.000,91153.594,9.258,0.000,0.000,0.951,-9.740,-0.089,-0.005,-0.011,-0.011,0.000,0.000
15.185,0,0,-0.046,0.018,-0.977,-0.524,0.090,-5.316,-2.287,0.146,-9.503,0.000,0.000,0.0116870,0.000,9144.000,0.003,7.074,0.544,0.814,911.459,9.254,883.673,0.120,-9.710,0.030,1.129,-0.021,-0.016,0.006,0.000,0.000,0.000,-0.003,0.663,0.005,0.748,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-721,0.000,0.000,91153.594,9.258,0.000,0.000,0.951,-9.740,-0.089,-0.005,-0.011,-0.011,0.000,0.000
15.286,0,0,-0.096,0.024,-1.369,-0.771,0.106,-6.220,-2.466,0.162,-9.433,0.000,0.000,0.0116870,0.000,9144.000,0.003,6.899,0.630,0.852,911.498,9.256,883.325,-0.203,-9.669,0.041,1.264,-0.006,-0.011,-0.005,0.000,0.000,0.000,-0.003,0.661,0.006,0.750,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-721,0.000,0.000,91140.078,9.250,0.000,0.000,0.960,-9.846,-0.014,-0.011,-0.013,0.010,0.000,0.000
15.387,0,0,-0.162,0.031,-1.839,-0.977,0.125,-7.120,-2.081,0.197,-9.540,0.000,0.000,0.0116870,0.000,9144.000,0.004,7.205,0.718,0.879,911.531,9.258,883.022,-0.455,-9.717,0.092,0.979,0.016,-0.026,-0.015,0.000,0.000,0.000,-0.001,0.666,0.006,0.746,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-721,0.000,0.000,91139.312,9.250,0.000,0.000,1.114,-9.780,-0.002,0.004,0.001,-0.008,0.000,0.000
