State - Time (s),State - Stage,State - Stage,State - PX (m),State - PY (m),State - PZ (m),State - VX (m/s),State - VY (m/s),State - VZ (m/s),State - AX (m/s/s),State - AY (m/s/s),State - AZ (m/s/s),State - Actuation Angle (deg),State - Acutal Angle (deg),State - CdA,State - Est Apo (m),State - Target Apogee (m),State - Mach Number,State - Tilt [deg],State - Pos - Accel Integrated [m],State - Velo - Accel Integrated [m/s],MockBarometer - Pres (hPa),MockBarometer - Temp (C),MockBarometer - Alt ASL (m),MockBarometer - Alt AGL (m),MockIMU - AccX (m/s^2),MockIMU - AccY (m/s^2),MockIMU - AccZ (m/s^2),MockIMU - GyroX (rad/s),MockIMU - GyroY (rad/s),MockIMU - GyroZ (rad/s),MockIMU - MagX (uT),MockIMU - MagY (uT),MockIMU - MagZ (uT),MockIMU - OriX,MockIMU - OriY,MockIMU - OriZ,MockIMU - OriW,MockGPS - Lat,MockGPS - Lon,MockGPS - Alt (m),MockGPS - Disp X (m),MockGPS - Disp Y (m),MockGPS - Disp Z (m),MockGPS - Fix Quality,MockGPS - Time of Day,E5 - Rel Steps,MockBR - Battery Voltage (V),MockBR - ALT (m),MockBR - PRES (Pa),MockBR - TEMP (C),MockBR - VEL (m/s),MockBR - ANG (deg),MockBR - ACCX (m/s^2),MockBR - ACCY (m/s^2),MockBR - ACCZ (m/s^2),MockBR - GYROX (rad/s),MockBR - GYROY (rad/s),MockBR - GYROZ (rad/s),MockBR - ROLL (deg),MockBR - TILT (deg)
22.975,0,0,-2054.894,-26.137,-1468.985,-178.881,-2.275,-127.877,-7.786,-0.099,-5.566,0.000,0.000,0.0116870,0.000,9144.000,0.532,4.000,0.042,0.424,911.461,9.254,883.659,0.000,-9.512,-0.151,1.051,-0.027,0.003,0.010,0.000,0.000,0.000,-0.007,0.357,0.001,0.934,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-825,0.000,0.000,91146.039,9.254,0.000,0.000,1.039,-9.722,0.010,-0.006,0.013,-0.037,0.000,0.000
23.076,0,0,-0.119,-0.002,0.045,1.054,0.011,0.318,-5.060,-0.088,-8.060,0.000,0.000,0.0116870,0.000,9144.000,0.004,48.141,0.102,0.599,911.447,9.253,883.783,0.062,-9.473,-0.189,0.889,-0.010,-0.006,-0.015,0.000,0.000,0.000,-0.011,0.524,0.001,0.852,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-825,0.000,0.000,91152.320,9.258,0.000,0.000,1.062,-9.683,-0.074,0.007,-0.008,-0.005,0.000,0.000
23.177,0,0,-0.016,0.001,0.018,0.681,0.041,-0.580,-3.704,0.292,-8.881,0.000,0.000,0.0116870,0.000,9144.000,0.003,26.767,0.172,0.692,911.454,9.253,883.727,0.004,-9.570,0.145,1.031,-0.012,-0.009,0.006,0.000,0.000,0.000,-0.005,0.598,0.006,0.801,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-825,0.000,0.000,91145.836,9.254,0.000,0.000,0.973,-9.773,0.040,0.010,-0.011,0.005,0.000,0.000
23.278,0,0,0.025,0.003,-0.090,0.373,0.049,-1.532,-3.036,0.086,-9.423,0.000,0.000,0.0116870,0.000,9144.000,0.002,16.484,0.245,0.731,911.468,9.254,883.599,-0.093,-9.839,-0.080,1.091,-0.014,-0.042,0.008,0.000,0.000,0.000,-0.007,0.632,0.005,0.775,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-825,0.000,0.000,91151.742,9.257,0.000,0.000,1.030,-9.793,-0.018,-0.005,-0.007,0.012,0.000,0.000
23.379,0,0,0.037,0.007,-0.242,0.129,0.072,-2.475,-2.403,0.234,-9.386,0.000,0.000,0.0116870,0.000,9144.000,0.002,11.527,0.322,0.774,911.471,9.254,883.571,-0.096,-9.642,0.074,0.977,0.012,0.029,0.003,0.000,0.000,0.000,-0.005,0.652,0.007,0.758,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-825,0.000,0.000,91148.016,9.255,0.000,0.000,1.039,-9.726,-0.038,0.007,0.007,-0.002,0.000,0.000
23.480,0,0,0.032,0.012,-0.422,-0.084,0.096,-3.424,-2.101,0.234,-9.530,0.000,0.000,0.0116870,0.000,9144.000,0.002,8.575,0.402,0.802,911.456,9.254,883.707,0.032,-9.718,0.062,0.923,-0.011,-0.004,-0.004,0.000,0.000,0.000,-0.004,0.663,0.008,0.749,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-825,0.000,0.000,91150.797,9.257,0.000,0.000,1.005,-9.717,-0.058,0.007,-0.011,0.001,0.000,0.000
23.581,0,0,0.010,0.019,-0.702,-0.305,0.107,-4.378,-2.191,0.116,-9.603,0.000,0.000,0.0116870,0.000,9144.000,0.003,7.010,0.484,0.822,911.481,9.255,883.481,-0.166,-9.793,-0.029,1.062,0.024,-0.021,-0.011,0.000,0.000,0.000,-0.005,0.665,0.006,0.747,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-825,0.000,0.000,91138.469,9.249,0.000,0.000,1.018,-9.667,-0.050,-0.014,0.004,-0.003,0.000,0.000
23.682,0,0,-0.027,0.026,-0.992,-0.521,0.120,-5.320,-2.140,0.134,-9.675,0.000,0.000,0.0116870,0.000,9144.000,0.003,6.661,0.568,0.836,911.447,9.253,883.787,0.122,-9.855,-0.037,1.039,-0.025,-0.037,0.014,0.000,0.000,0.000,-0.006,0.666,0.006,0.746,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-825,0.000,0.000,91157.797,9.261,0.000,0.000,1.020,-9.790,0.032,0.008,0.000,-0.009,0.000,0.000
23.783,0,0,-0.079,0.034,-1.372,-0.746,0.145,-6.239,-2.243,0.246,-9.542,0.000,0.000,0.0116870,0.000,9144.000,0.003,6.448,0.654,0.863,911.471,9.254,883.571,-0.083,-9.737,0.061,1.149,-0.016,0.031,-0.021,0.000,0.000,0.000,-0.006,0.666,0.007,0.746,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-825,0.000,0.000,91150.875,9.257,0.000,0.000,0.988,-9.699,0.027,-0.002,0.004,0.012,0.000,0.000
23.884,0,0,-0.145,0.043,-1.836,-0.959,0.159,-7.141,-2.128,0.146,-9.515,0.000,0.000,0.0116870,0.000,9144.000,0.004,6.500,0.744,0.892,911.505,9.256,883.263,-0.352,-9.690,-0.060,1.081,-0.029,0.067,-0.010,0.000,0.000,0.000,-0.008,0.668,0.007,0.745,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-825,0.000,0.000,91145.023,9.253,0.000,0.000,0.976,-9.725,0.023,0.011,-0.007,0.002,0.000,0.000
