State - Time (s),State - Stage,State - Stage,State - PX (m),State - PY (m),State - PZ (m),State - VX (m/s),State - VY (m/s),State - VZ (m/s),State - AX (m/s/s),State - AY (m/s/s),State - AZ (m/s/s),State - Actuation Angle (deg),State - Acutal Angle (deg),State - CdA,State - Est Apo (m),State - Target Apogee (m),State - Mach Number,State - Tilt [deg],State - Pos - Accel Integrated [m],State - Velo - Accel Integrated [m/s],MockBarometer - Pres (hPa),MockBarometer - Temp (C),MockBarometer - Alt ASL (m),MockBarometer - Alt AGL (m),MockIMU - AccX (m/s^2),MockIMU - AccY (m/s^2),MockIMU - AccZ (m/s^2),MockIMU - GyroX (rad/s),MockIMU - GyroY (rad/s),MockIMU - GyroZ (rad/s),MockIMU - MagX (uT),MockIMU - MagY (uT),MockIMU - MagZ (uT),MockIMU - OriX,MockIMU - OriY,MockIMU - OriZ,MockIMU - OriW,MockGPS - Lat,MockGPS - Lon,MockGPS - Alt (m),MockGPS - Disp X (m),MockGPS - Disp Y (m),MockGPS - Disp Z (m),MockGPS - Fix Quality,MockGPS - Time of Day,E5 - Rel Steps,MockBR - Battery Voltage (V),MockBR - ALT (m),MockBR - PRES (Pa),MockBR - TEMP (C),MockBR - VEL (m/s),MockBR - ANG (deg),MockBR - ACCX (m/s^2),MockBR - ACCY (m/s^2),MockBR - ACCZ (m/s^2),MockBR - GYROX (rad/s),MockBR - GYROY (rad/s),MockBR - GYROZ (rad/s),MockBR - ROLL (deg),MockBR - TILT (deg)
26.853,0,0,-2763.029,-32.431,-2095.870,-205.789,-2.415,-156.099,-7.664,-0.090,-5.813,0.000,0.000,0.0116870,0.000,9144.000,0.612,4.000,0.040,0.400,911.480,9.255,883.490,0.000,-9.579,-0.103,0.872,0.010,-0.008,-0.002,0.000,0.000,0.000,-0.003,0.361,-0.000,0.932,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-1006,0.000,0.000,91145.109,9.253,0.000,0.000,1.002,-9.693,-0.001,0.005,-0.003,-0.010,0.000,0.000
26.954,0,0,-0.086,-0.001,0.090,1.001,0.012,0.362,-5.372,-0.059,-8.142,0.000,0.000,0.0116870,0.000,9144.000,0.003,47.621,0.097,0.567,911.457,9.254,883.695,0.103,-9.693,-0.084,1.092,0.002,0.012,-0.017,0.000,0.000,0.000,-0.005,0.523,-0.001,0.853,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-1006,0.000,0.000,91146.203,9.254,0.000,0.000,0.983,-9.766,0.008,0.018,-0.010,0.000,0.000,0.000
27.055,0,0,-0.002,0.000,0.083,0.605,0.014,-0.547,-3.927,0.016,-9.003,0.000,0.000,0.0116870,0.000,9144.000,0.003,26.991,0.161,0.647,911.454,9.253,883.722,0.086,-9.756,-0.035,1.139,-0.020,-0.029,-0.022,0.000,0.000,0.000,-0.005,0.595,0.000,0.803,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-1006,0.000,0.000,91144.508,9.253,0.000,0.000,1.060,-9.719,0.034,0.002,-0.004,0.005,0.000,0.000
27.156,0,0,0.028,0.002,-0.064,0.273,0.037,-1.475,-3.274,0.229,-9.146,0.000,0.000,0.0116870,0.000,9144.000,0.002,16.908,0.233,0.714,911.486,9.255,883.434,-0.151,-9.634,0.164,1.254,0.008,-0.043,0.024,0.000,0.000,0.000,0.000,0.627,0.004,0.779,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-1006,0.000,0.000,91155.336,9.259,0.000,0.000,1.008,-9.734,0.023,0.019,0.027,0.024,0.000,0.000
27.257,0,0,0.032,0.004,-0.221,0.019,0.042,-2.426,-2.510,0.054,-9.459,0.000,0.000,0.0116870,0.000,9144.000,0.002,12.286,0.308,0.749,911.484,9.255,883.454,-0.105,-9.736,0.020,0.992,0.023,0.002,-0.015,0.000,0.000,0.000,0.000,0.649,0.002,0.761,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-1006,0.000,0.000,91142.055,9.251,0.000,0.000,1.006,-9.753,0.015,-0.010,0.011,-0.003,0.000,0.000
27.358,0,0,0.018,0.007,-0.403,-0.210,0.048,-3.372,-2.263,0.060,-9.477,0.000,0.000,0.0116870,0.000,9144.000,0.002,9.046,0.386,0.782,911.469,9.254,883.590,0.026,-9.691,0.026,1.010,-0.000,0.005,0.008,0.000,0.000,0.000,0.000,0.659,0.002,0.752,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-1006,0.000,0.000,91147.977,9.255,0.000,0.000,1.049,-9.782,-0.035,-0.003,-0.006,-0.000,0.000,0.000
27.459,0,0,-0.012,0.010,-0.650,-0.424,0.053,-4.313,-2.120,0.050,-9.495,0.000,0.000,0.0116870,0.000,9144.000,0.003,7.482,0.467,0.814,911.469,9.254,883.588,0.020,-9.677,0.011,1.003,-0.016,0.011,-0.059,0.000,0.000,0.000,-0.002,0.665,0.001,0.747,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-1006,0.000,0.000,91142.555,9.252,0.000,0.000,1.037,-9.707,0.004,0.011,0.009,0.007,0.000,0.000
27.560,0,0,-0.055,0.014,-1.001,-0.615,0.064,-5.256,-1.902,0.112,-9.553,0.000,0.000,0.0116870,0.000,9144.000,0.003,6.668,0.551,0.839,911.504,9.256,883.266,-0.264,-9.700,0.040,0.894,-0.032,-0.011,0.008,0.000,0.000,0.000,-0.002,0.669,0.003,0.743,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-1006,0.000,0.000,91142.703,9.252,0.000,0.000,1.023,-9.784,-0.014,0.006,0.013,-0.003,0.000,0.000
27.661,0,0,-0.111,0.017,-1.366,-0.823,0.053,-6.185,-2.072,-0.108,-9.641,0.000,0.000,0.0116870,0.000,9144.000,0.004,5.997,0.637,0.856,911.476,9.255,883.524,-0.005,-9.804,-0.196,1.051,-0.027,0.014,-0.006,0.000,0.000,0.000,-0.007,0.669,0.001,0.743,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-1006,0.000,0.000,91141.492,9.251,0.000,0.000,1.052,-9.739,0.138,-0.003,0.004,0.008,0.000,0.000
27.762,0,0,-0.180,0.019,-1.785,-1.030,0.044,-7.091,-2.074,-0.088,-9.641,0.000,0.000,0.0116870,0.000,9144.000,0.004,6.018,0.724,0.873,911.476,9.255,883.524,-0.004,-9.804,-0.196,1.051,-0.027,0.014,-0.006,0.000,0.000,0.000,-0.010,0.669,-0.000,0.743,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-1006,0.000,0.000,91141.492,9.251,0.000,0.000,1.052,-9.739,0.138,-0.003,0.004,0.008,0.000,0.000
