State - Time (s),State - Stage,State - Stage,State - PX (m),State - PY (m),State - PZ (m),State - VX (m/s),State - VY (m/s),State - VZ (m/s),State - AX (m/s/s),State - AY (m/s/s),State - AZ (m/s/s),State - Actuation Angle (deg),State - Acutal Angle (deg),State - CdA,State - Est Apo (m),State - Target Apogee (m),State - Mach Number,State - Tilt [deg],State - Pos - Accel Integrated [m],State - Velo - Accel Integrated [m/s],MockBarometer - Pres (hPa),MockBarometer - Temp (C),MockBarometer - Alt ASL (m),MockBarometer - Alt AGL (m),MockIMU - AccX (m/s^2),MockIMU - AccY (m/s^2),MockIMU - AccZ (m/s^2),MockIMU - GyroX (rad/s),MockIMU - GyroY (rad/s),MockIMU - GyroZ (rad/s),MockIMU - MagX (uT),MockIMU - MagY (uT),MockIMU - MagZ (uT),MockIMU - OriX,MockIMU - OriY,MockIMU - OriZ,MockIMU - OriW,MockGPS - Lat,MockGPS - Lon,MockGPS - Alt (m),MockGPS - Disp X (m),MockGPS - Disp Y (m),MockGPS - Disp Z (m),MockGPS - Fix Quality,MockGPS - Time of Day,E5 - Rel Steps,MockBR - Battery Voltage (V),MockBR - ALT (m),MockBR - PRES (Pa),MockBR - TEMP (C),MockBR - VEL (m/s),MockBR - ANG (deg),MockBR - ACCX (m/s^2),MockBR - ACCY (m/s^2),MockBR - ACCZ (m/s^2),MockBR - GYROX (rad/s),MockBR - GYROY (rad/s),MockBR - GYROZ (rad/s),MockBR - ROLL (deg),MockBR - TILT (deg)
19.922,0,0,-1617.654,2.813,-1098.283,-162.399,0.282,-110.258,-8.152,0.014,-5.535,0.000,0.000,0.0116870,0.000,9144.000,0.483,4.000,0.171,0.855,911.501,9.256,883.300,0.000,-9.778,0.029,1.213,-0.003,-0.039,-0.006,0.000,0.000,0.000,0.001,0.352,-0.001,0.936,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-1032,0.000,0.000,91144.070,9.253,0.000,0.000,1.081,-9.747,0.003,-0.003,0.005,-0.005,0.000,0.000
20.123,0,0,-0.168,0.000,0.260,2.174,-0.021,0.668,-5.460,-0.077,-7.958,0.000,0.000,0.0116870,0.000,9144.000,0.007,48.756,0.416,1.225,911.438,9.253,883.865,0.283,-9.587,-0.031,1.117,0.023,-0.019,0.008,0.000,0.000,0.000,0.002,0.516,-0.002,0.856,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-1032,0.000,0.000,91159.102,9.262,0.000,0.000,0.986,-9.684,-0.005,0.015,-0.008,0.009,0.000,0.000
20.324,0,0,0.093,-0.003,0.202,1.376,-0.044,-1.106,-3.923,-0.116,-8.818,0.000,0.000,0.0116870,0.000,9144.000,0.006,27.810,0.701,1.424,911.438,9.253,883.865,0.188,-9.587,-0.031,1.117,0.023,-0.019,0.008,0.000,0.000,0.000,0.003,0.592,-0.003,0.806,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-1032,0.000,0.000,91159.102,9.262,0.000,0.000,0.986,-9.684,-0.005,0.015,-0.008,0.009,0.000,0.000
20.525,0,0,0.200,-0.008,-0.146,0.730,-0.046,-2.963,-3.157,-0.012,-9.275,0.000,0.000,0.0116870,0.000,9144.000,0.005,17.337,1.007,1.531,911.463,9.254,883.638,-0.029,-9.729,0.041,1.159,-0.023,0.011,-0.016,0.000,0.000,0.000,0.002,0.629,-0.002,0.777,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-1032,0.000,0.000,91149.789,9.256,0.000,0.000,0.974,-9.766,0.047,-0.008,-0.009,-0.003,0.000,0.000
20.726,0,0,0.218,-0.015,-0.720,0.227,-0.075,-4.834,-2.457,-0.147,-9.510,0.000,0.000,0.0116870,0.000,9144.000,0.005,12.002,1.325,1.591,911.480,9.255,883.484,-0.147,-9.774,-0.079,0.979,0.006,0.016,0.001,0.000,0.000,0.000,0.001,0.651,-0.004,0.759,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-1032,0.000,0.000,91141.250,9.251,0.000,0.000,0.949,-9.683,0.069,0.012,-0.009,-0.011,0.000,0.000
20.927,0,0,0.175,-0.022,-1.499,-0.180,-0.062,-6.640,-1.991,0.061,-9.546,0.000,0.000,0.0116870,0.000,9144.000,0.005,8.771,1.654,1.644,911.491,9.256,883.388,-0.202,-9.713,0.026,0.861,-0.048,0.034,0.024,0.000,0.000,0.000,-0.001,0.664,0.002,0.747,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-1032,0.000,0.000,91140.438,9.251,0.000,0.000,0.973,-9.676,0.043,-0.004,-0.015,0.007,0.000,0.000
21.128,0,0,0.078,-0.030,-2.385,-0.602,-0.087,-8.319,-2.085,-0.131,-9.692,0.000,0.000,0.0116870,0.000,9144.000,0.005,6.720,1.988,1.667,911.462,9.254,883.651,0.052,-9.861,-0.167,1.017,0.000,0.008,0.026,0.000,0.000,0.000,-0.003,0.667,-0.000,0.745,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-1032,0.000,0.000,91145.258,9.253,0.000,0.000,0.973,-9.810,0.064,0.006,0.000,0.018,0.000,0.000
21.329,0,0,-0.072,-0.042,-3.438,-1.031,-0.108,-9.795,-2.149,-0.111,-9.564,0.000,0.000,0.0116870,0.000,9144.000,0.006,6.257,2.331,1.717,911.499,9.256,883.316,-0.247,-9.742,-0.108,1.088,0.022,0.004,0.023,0.000,0.000,0.000,-0.002,0.667,-0.002,0.745,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-1032,0.000,0.000,91132.461,9.246,0.000,0.000,1.057,-9.721,0.041,0.002,-0.010,0.003,0.000,0.000
21.530,0,0,-0.271,-0.053,-4.481,-1.442,-0.100,-10.986,-2.110,0.023,-9.597,0.000,0.000,0.0116870,0.000,9144.000,0.007,6.292,2.683,1.759,911.491,9.256,883.386,-0.158,-9.768,-0.006,1.071,-0.016,0.023,-0.005,0.000,0.000,0.000,-0.003,0.668,0.000,0.744,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-1032,0.000,0.000,91146.078,9.254,0.000,0.000,1.026,-9.701,0.007,-0.004,-0.007,0.012,0.000,0.000
21.731,0,0,-0.514,-0.063,-5.393,-1.848,-0.106,-11.808,-2.161,-0.043,-9.531,0.000,0.000,0.0116870,0.000,9144.000,0.008,6.144,3.046,1.815,911.466,9.254,883.615,0.064,-9.713,-0.014,1.085,0.028,-0.025,-0.016,0.000,0.000,0.000,-0.001,0.667,-0.002,0.745,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-1032,0.000,0.000,91151.703,9.257,0.000,0.000,1.053,-9.771,-0.019,-0.002,0.003,-0.010,0.000,0.000
