State - Time (s),State - Stage,State - Stage,State - PX (m),State - PY (m),State - PZ (m),State - VX (m/s),State - VY (m/s),State - VZ (m/s),State - AX (m/s/s),State - AY (m/s/s),State - AZ (m/s/s),State - Actuation Angle (deg),State - Acutal Angle (deg),State - CdA,State - Est Apo (m),State - Target Apogee (m),State - Mach Number,State - Tilt [deg],State - Pos - Accel Integrated [m],State - Velo - Accel Integrated [m/s],MockBarometer - Pres (hPa),MockBarometer - Temp (C),MockBarometer - Alt ASL (m),MockBarometer - Alt AGL (m),MockIMU - AccX (m/s^2),MockIMU - AccY (m/s^2),MockIMU - AccZ (m/s^2),MockIMU - GyroX (rad/s),MockIMU - GyroY (rad/s),MockIMU - GyroZ (rad/s),MockIMU - MagX (uT),MockIMU - MagY (uT),MockIMU - MagZ (uT),MockIMU - OriX,MockIMU - OriY,MockIMU - OriZ,MockIMU - OriW,MockGPS - Lat,MockGPS - Lon,MockGPS - Alt (m),MockGPS - Disp X (m),MockGPS - Disp Y (m),MockGPS - Disp Z (m),MockGPS - Fix Quality,MockGPS - Time of Day,E5 - Rel Steps,MockBR - Battery Voltage (V),MockBR - ALT (m),MockBR - PRES (Pa),MockBR - TEMP (C),MockBR - VEL (m/s),MockBR - ANG (deg),MockBR - ACCX (m/s^2),MockBR - ACCY (m/s^2),MockBR - ACCZ (m/s^2),MockBR - GYROX (rad/s),MockBR - GYROY (rad/s),MockBR - GYROZ (rad/s),MockBR - ROLL (deg),MockBR - TILT (deg)
38.596,0,0,-5470.631,31.724,-5333.000,-283.482,1.644,-276.350,-7.345,0.043,-7.160,0.000,0.000,0.0116870,0.000,9144.000,0.843,4.000,0.026,0.265,911.180,9.237,886.203,0.000,-10.247,0.445,0.138,0.104,0.153,-0.204,0.000,0.000,0.000,0.025,0.382,-0.011,0.924,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-855,0.000,0.000,91134.828,9.247,0.000,0.000,0.968,-9.777,0.100,-0.001,-0.018,-0.001,0.000,0.000
38.697,0,0,-0.040,0.000,-1.496,1.039,0.039,0.578,-4.392,0.476,-7.846,0.000,0.000,0.0116870,0.000,9144.000,0.003,44.928,0.073,0.461,911.509,9.257,883.226,-1.488,-8.890,1.188,0.797,0.212,0.238,-0.147,0.000,0.000,0.000,0.062,0.539,-0.012,0.840,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-855,0.000,0.000,91142.086,9.251,0.000,0.000,1.087,-9.791,0.008,-0.009,-0.008,-0.003,0.000,0.000
38.798,0,0,0.026,-0.001,-0.749,0.787,-0.093,-0.383,-2.481,-1.310,-9.896,0.000,0.000,0.0116870,0.000,9144.000,0.003,24.304,0.118,0.453,911.348,9.247,884.687,-0.018,-10.274,-0.493,0.131,-0.226,-0.219,-0.063,0.000,0.000,0.000,0.031,0.620,-0.027,0.783,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-855,0.000,0.000,91146.945,9.254,0.000,0.000,1.021,-9.741,0.041,0.000,0.008,0.002,0.000,0.000
38.899,0,0,0.063,-0.010,-1.646,0.586,-0.188,-1.091,-1.979,-0.947,-6.563,0.000,0.000,0.0116870,0.000,9144.000,0.003,13.230,0.196,0.777,911.827,9.275,880.345,-3.270,-6.905,-0.300,0.348,0.062,-0.129,-0.309,0.000,0.000,0.000,0.023,0.615,-0.041,0.787,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-855,0.000,0.000,91205.008,9.289,0.000,0.000,1.016,-9.752,0.026,0.005,0.003,-0.002,0.000,0.000
39.000,0,0,0.076,-0.028,-1.629,0.178,-0.358,-2.049,-4.025,-1.682,-9.597,0.000,0.000,0.0116870,0.000,9144.000,0.003,13.970,0.276,0.799,911.619,9.263,882.226,-1.111,-10.335,-0.672,1.966,-0.090,0.017,-0.218,0.000,0.000,0.000,0.008,0.627,-0.050,0.777,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-855,0.000,0.000,91114.039,9.235,0.000,0.000,0.960,-9.795,-0.016,0.003,0.006,-0.012,0.000,0.000
39.101,0,0,0.070,-0.060,-1.464,0.058,-0.578,-3.043,-1.178,-2.194,-10.180,0.000,0.000,0.0116870,0.000,9144.000,0.003,12.306,0.352,0.762,911.473,9.255,883.550,0.178,-10.393,-1.333,0.200,0.035,0.103,0.231,0.000,0.000,0.000,-0.001,0.666,-0.057,0.743,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-855,0.000,0.000,91152.672,9.258,0.000,0.000,1.072,-9.719,0.105,-0.017,-0.000,-0.003,0.000,0.000
39.202,0,0,0.055,-0.103,-1.330,-0.124,-0.693,-3.990,-1.794,-1.150,-9.899,0.000,0.000,0.0116870,0.000,9144.000,0.003,6.417,0.427,0.753,911.361,9.248,884.569,1.025,-10.094,-0.062,0.804,0.277,-0.115,0.270,0.000,0.000,0.000,0.026,0.670,-0.048,0.741,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-856,0.000,0.000,91108.594,9.232,0.000,0.000,1.008,-9.785,-0.084,-0.000,0.018,0.016,0.000,0.000
39.303,0,0,0.029,-0.160,-1.399,-0.308,-0.990,-4.687,-1.813,-2.963,-7.438,0.000,0.000,0.0116870,0.000,9144.000,0.004,5.865,0.526,0.990,911.386,9.249,884.340,0.697,-7.829,-2.170,1.184,-0.112,0.034,0.116,0.000,0.000,0.000,0.008,0.668,-0.056,0.742,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-856,0.000,0.000,91167.625,9.267,0.000,0.000,1.114,-9.706,0.106,-0.001,0.000,-0.006,0.000,0.000
39.404,0,0,-0.009,-0.229,-1.958,-0.460,-1.037,-5.561,-1.513,-0.486,-8.566,0.000,0.000,0.0116870,0.000,9144.000,0.005,6.175,0.637,1.114,911.739,9.270,881.136,-2.229,-8.671,0.310,0.782,-0.032,0.255,0.056,0.000,0.000,0.000,0.024,0.676,-0.039,0.736,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-856,0.000,0.000,91108.375,9.232,0.000,0.000,0.985,-9.826,0.044,0.003,-0.008,0.011,0.000,0.000
39.505,0,0,-0.050,-0.295,-2.333,-0.478,-1.047,-6.507,-0.184,-0.139,-9.958,0.000,0.000,0.0116870,0.000,9144.000,0.005,4.907,0.747,1.100,911.573,9.260,882.646,-0.647,-9.954,0.375,0.000,-0.389,0.481,-0.046,0.000,0.000,0.000,0.021,0.700,-0.016,0.713,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-856,0.000,0.000,91168.492,9.267,0.000,0.000,0.941,-9.729,-0.039,-0.029,0.005,0.001,0.000,0.000
