State - Time (s),State - Stage,State - Stage,State - PX (m),State - PY (m),State - PZ (m),State - VX (m/s),State - VY (m/s),State - VZ (m/s),State - AX (m/s/s),State - AY (m/s/s),State - AZ (m/s/s),State - Actuation Angle (deg),State - Acutal Angle (deg),State - CdA,State - Est Apo (m),State - Target Apogee (m),State - Mach Number,State - Tilt [deg],MockBarometer - Pres (hPa),MockBarometer - Temp (C),MockBarometer - Alt ASL (m),MockBarometer - Alt AGL (m),MockIMU - AccX (m/s^2),MockIMU - AccY (m/s^2),MockIMU - AccZ (m/s^2),MockIMU - GyroX (rad/s),MockIMU - GyroY (rad/s),MockIMU - GyroZ (rad/s),MockIMU - MagX (uT),MockIMU - MagY (uT),MockIMU - MagZ (uT),MockIMU - OriX,MockIMU - OriY,MockIMU - OriZ,MockIMU - OriW,MockGPS - Lat,MockGPS - Lon,MockGPS - Alt (m),MockGPS - Disp X (m),MockGPS - Disp Y (m),MockGPS - Disp Z (m),MockGPS - Fix Quality,MockGPS - Time of Day,E5 - Rel Steps,BR - Battery Voltage (V),BR - ALT (m),BR - PRES (Pa),BR - TEMP (C),BR - VEL (m/s),BR - ANG (deg),BR - ACCX (m/s^2),BR - ACCY (m/s^2),BR - ACCZ (m/s^2),BR - GYROX (rad/s),BR - GYROY (rad/s),BR - GYROZ (rad/s),BR - ROLL (deg),BR - TILT (deg)
11.328,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0103675,0.000,7500.000,0.000,0.000,0.000,0.000,44307.690,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11.429,0,0,-0.000,-0.000,-5473.901,-0.748,-0.014,-967.098,-7.475,-0.138,-6.601,0.000,0.000,0.0103675,0.000,7500.000,0.000,90.000,1013.254,15.050,-0.030,-5474.964,-9.964,-0.160,0.412,0.003,-0.001,-0.017,0.000,0.000,0.000,-0.006,0.373,-0.001,0.928,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11.530,0,0,-0.048,-0.001,-4410.765,-1.175,-0.009,-765.905,-4.314,0.043,-8.760,0.000,0.000,0.0103675,0.000,7500.000,2.847,46.187,1013.275,15.048,-0.207,-3290.044,-9.758,-0.042,0.355,-0.028,0.002,0.006,0.000,0.000,0.000,-0.006,0.544,0.001,0.839,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11.631,0,0,-0.117,-0.001,-3753.817,-1.404,-0.013,-638.606,-2.369,-0.041,-9.393,0.000,0.000,0.0103675,0.000,7500.000,2.255,24.129,1013.281,15.048,-0.258,-2360.371,-9.683,-0.142,0.240,0.006,0.014,0.003,0.000,0.000,0.000,-0.008,0.624,0.000,0.781,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11.732,0,0,-0.197,-0.002,-3297.573,-1.553,-0.008,-545.701,-1.590,0.048,-9.478,0.000,0.000,0.0103675,0.000,7500.000,1.880,12.735,1013.211,15.050,0.329,-1841.583,-9.604,-0.073,0.350,-0.014,-0.010,-0.006,0.000,0.000,0.000,-0.008,0.660,0.002,0.751,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11.833,0,0,-0.283,-0.002,-2957.140,-1.657,0.003,-470.522,-1.161,0.109,-9.632,0.000,0.000,0.0103675,0.000,7500.000,1.606,7.437,1013.270,15.051,-0.166,-1510.904,-9.696,-0.026,0.365,-0.005,0.027,0.025,0.000,0.000,0.000,-0.007,0.677,0.003,0.736,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11.934,0,0,-0.372,-0.000,-2689.465,-1.740,0.022,-404.451,-0.963,0.188,-9.708,0.000,0.000,0.0103675,0.000,7500.000,1.385,4.717,1013.209,15.050,0.340,-1280.436,-9.750,0.029,0.371,-0.023,-0.014,-0.018,0.000,0.000,0.000,-0.006,0.685,0.005,0.728,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
12.035,0,0,-0.465,0.002,-2470.287,-1.811,0.041,-342.615,-0.856,0.192,-9.717,0.000,0.000,0.0103675,0.000,7500.000,1.191,3.486,1013.222,15.050,0.233,-1111.427,-9.750,0.040,0.374,0.010,0.001,0.012,0.000,0.000,0.000,-0.005,0.689,0.006,0.724,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
12.136,0,0,-0.560,0.006,-2284.465,-1.879,0.054,-282.052,-0.839,0.128,-9.580,0.000,0.000,0.0103675,0.000,7500.000,1.009,2.838,1013.279,15.049,-0.241,-982.229,-9.609,-0.017,0.398,0.003,-0.010,-0.008,0.000,0.000,0.000,-0.005,0.691,0.005,0.723,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
12.237,0,0,-0.658,0.011,-2121.778,-1.932,0.062,-220.948,-0.703,0.087,-9.590,0.000,0.000,0.0103675,0.000,7500.000,0.830,2.633,1013.208,15.049,0.346,-879.146,-9.611,-0.068,0.316,-0.012,-0.017,-0.002,0.000,0.000,0.000,-0.007,0.693,0.005,0.721,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
