State - Time (s),State - Stage,State - Stage,State - PX (m),State - PY (m),State - PZ (m),State - VX (m/s),State - VY (m/s),State - VZ (m/s),State - AX (m/s/s),State - AY (m/s/s),State - AZ (m/s/s),State - Actuation Angle (deg),State - Acutal Angle (deg),State - CdA,State - Est Apo (m),State - Target Apogee (m),State - Mach Number,State - Tilt [deg],MockBarometer - Pres (hPa),MockBarometer - Temp (C),MockBarometer - Alt ASL (m),MockBarometer - Alt AGL (m),MockIMU - AccX (m/s^2),MockIMU - AccY (m/s^2),MockIMU - AccZ (m/s^2),MockIMU - GyroX (rad/s),MockIMU - GyroY (rad/s),MockIMU - GyroZ (rad/s),MockIMU - MagX (uT),MockIMU - MagY (uT),MockIMU - MagZ (uT),MockIMU - OriX,MockIMU - OriY,MockIMU - OriZ,MockIMU - OriW,MockGPS - Lat,MockGPS - Lon,MockGPS - Alt (m),MockGPS - Disp X (m),MockGPS - Disp Y (m),MockGPS - Disp Z (m),MockGPS - Fix Quality,MockGPS - Time of Day,E5 - Rel Steps,BR - Battery Voltage (V),BR - ALT (m),BR - PRES (Pa),BR - TEMP (C),BR - VEL (m/s),BR - ANG (deg),BR - ACCX (m/s^2),BR - ACCY (m/s^2),BR - ACCZ (m/s^2),BR - GYROX (rad/s),BR - GYROY (rad/s),BR - GYROZ (rad/s),BR - ROLL (deg),BR - TILT (deg)
10.550,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0103675,0.000,9144.000,0.000,0.000,0.000,0.000,44307.690,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
10.651,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0103675,0.000,9144.000,0.000,90.000,0.000,0.000,44307.690,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
10.752,0,0,-0.018,0.000,-4257.964,-0.734,0.006,-795.301,-7.302,0.056,-6.530,0.000,0.000,0.0103675,0.000,9144.000,0.000,90.000,1013.224,15.050,0.213,-8358.339,-9.789,0.048,0.364,0.013,0.000,0.029,0.000,0.000,0.000,0.002,0.374,0.001,0.927,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
10.853,0,0,-0.076,0.001,-4731.616,-1.189,0.012,-869.642,-4.574,0.066,-8.972,0.000,0.000,0.0103675,0.000,9144.000,2.341,46.064,1013.260,15.050,-0.082,-5475.100,-10.060,0.051,0.466,-0.026,-0.000,0.002,0.000,0.000,0.000,0.001,0.542,0.002,0.840,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
10.954,0,0,-0.155,0.002,-4630.340,-1.464,0.018,-834.300,-2.829,0.058,-9.322,0.000,0.000,0.0103675,0.000,9144.000,2.560,24.359,1013.235,15.050,0.122,-4104.054,-9.727,0.053,0.534,-0.010,0.004,-0.039,0.000,0.000,0.000,0.001,0.617,0.001,0.787,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11.055,0,0,-0.244,0.003,-4407.252,-1.606,0.019,-772.728,-1.525,0.010,-9.773,0.000,0.000,0.0103675,0.000,9144.000,2.456,13.740,1013.247,15.050,0.025,-3289.987,-9.888,-0.003,0.239,-0.007,0.026,0.025,0.000,0.000,0.000,0.001,0.659,0.001,0.752,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11.156,0,0,-0.336,0.004,-4165.946,-1.692,0.021,-702.497,-0.989,0.018,-9.841,0.000,0.000,0.0103675,0.000,9144.000,2.275,7.486,1013.247,15.050,0.025,-2747.938,-9.888,-0.003,0.239,-0.007,0.026,0.025,0.000,0.000,0.000,0.000,0.680,0.002,0.733,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11.257,0,0,-0.430,0.005,-3933.579,-1.773,0.026,-627.364,-0.951,0.051,-9.896,0.000,0.000,0.0103675,0.000,9144.000,2.068,4.359,1013.255,15.050,-0.042,-2360.352,-9.935,0.004,0.378,-0.030,-0.016,-0.032,0.000,0.000,0.000,-0.002,0.686,0.002,0.727,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11.358,0,0,-0.526,0.007,-3715.915,-1.830,0.035,-547.538,-0.724,0.093,-9.498,0.000,0.000,0.0103675,0.000,9144.000,1.847,3.312,1013.263,15.047,-0.108,-2069.108,-9.521,0.044,0.294,-0.005,-0.020,-0.023,0.000,0.000,0.000,-0.001,0.691,0.002,0.723,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11.459,0,0,-0.623,0.010,-3512.108,-1.883,0.053,-462.576,-0.711,0.183,-9.805,0.000,0.000,0.0103675,0.000,9144.000,1.612,2.596,1013.283,15.049,-0.272,-1842.209,-9.827,0.118,0.319,-0.014,-0.022,-0.039,0.000,0.000,0.000,-0.001,0.693,0.004,0.721,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
