State - Time (s),State - PX (m),State - PY (m),State - PZ (m),State - VX (m/s),State - VY (m/s),State - VZ (m/s),State - AX (m/s/s),State - AY (m/s/s),State - AZ (m/s/s),DPS310 - Pres (hPa),DPS310 - Temp (C),DPS310 - Alt ASL (ft),DPS310 - Alt AGL (ft),MS5611 - Pres (hPa),MS5611 - Temp (C),MS5611 - Alt ASL (ft),MS5611 - Alt AGL (ft),BMI088andLIS3MDL - AccX,BMI088andLIS3MDL - AccY,BMI088andLIS3MDL - AccZ,BMI088andLIS3MDL - GyroX,BMI088andLIS3MDL - GyroY,BMI088andLIS3MDL - GyroZ,BMI088andLIS3MDL - MagX,BMI088andLIS3MDL - MagY,BMI088andLIS3MDL - MagZ,BMI088andLIS3MDL - OriX,BMI088andLIS3MDL - OriY,BMI088andLIS3MDL - OriZ,BMI088andLIS3MDL - OriW,MAX-M10S - Lat,MAX-M10S - Lon,MAX-M10S - Alt (m),MAX-M10S - Disp X (m),MAX-M10S - Disp Y (m),MAX-M10S - Disp Z (m),MAX-M10S - Fix Quality,VN_100 - VN-AX (m/s/s),VN_100 - VN-AY (m/s/s),VN_100 - VN-AZ (m/s/s),VN_100 - VN-ULRX (deg),VN_100 - VN-ULRY (deg),VN_100 - VN-ULRZ (deg),VN_100 - VN-ANGVX (rad/s),VN_100 - VN-ANGVY (rad/s),VN_100 - VN-ANGVZ (rad/s),VN_100 - VN-MAGX (uT),VN_100 - VN-MAGY (uT),VN_100 - VN-MAGZ (uT),VN_100 - VN-P (Pa),VN_100 - VN-T (C),VN_100 - VN-DT (s),VN_100 - VN-DV-X (m/s/s),VN_100 - VN-DV-Y (m/s/s),VN_100 - VN-DV-Z (m/s/s),VN_100 - VN-DTH-X (deg/s),VN_100 - VN-DTH-Y (deg/s),VN_100 - VN-DTH-Z (deg/s)
1203.579,-0.004,0.003,0.038,0.002,0.019,0.115,0.022,-0.074,0.074,1003.093,25.343,84.861,-0.041,1003.38,25.6,82.452,-0.378,-0.718,0.251,-9.855,0.058,-0.07,0.002,-2709,-2457,-3756,-0.877,0.478,0.041,0.009,38.3982882,-78.0637938,91.207,-0.01,-0.039,0.112,12,-0.541,0.094,-9.61,69.597,-3.061,-0.59,0.001,0,-0.001,12.506,-29.831,56.388,100401,28.5,0.099,-0.05,0.01,-0.948,0.038,0.032,-0.209
1208.579,0.105,-0.036,0.081,0.041,-0.07,0.133,-0.039,-0.058,0.014,1003.086,25.351,84.921,0.016,1003.35,25.61,82.704,-0.109,-0.754,0.316,-9.79,0.036,0.045,-0.06,-2770,-2465,-3783,-0.876,0.481,0.041,0.008,38.3982894,-78.0637946,92.274,0.059,-0.009,0.433,13,-0.52,0.109,-9.624,69.601,-3.064,-0.587,0,0.001,0.003,12.511,-29.732,56.143,100389.008,28.52,0.101,-0.053,0.01,-0.972,0.035,0.033,-0.205
1213.579,0.182,0.107,0.041,0.06,0.028,0.108,0.02,-0.055,0.081,1003.088,25.371,84.904,-0.02,1003.35,25.62,82.704,-0.226,-0.725,0.201,-9.862,0.053,-0.043,-0.043,-2698,-2490,-3805,-0.857,0.514,0.039,0.012,38.3982923,-78.0637941,93.074,0.151,0.052,0.292,10,-0.525,0.087,-9.631,69.574,-3.062,-0.579,0,0.001,0,12.747,-29.637,56.152,100398,28.55,0.099,-0.051,0.01,-0.949,0.033,0.032,-0.203
1218.579,0.061,0.084,0.073,-0.03,0.002,0.151,-0.042,-0.007,0.087,1003.086,25.396,84.917,-0.002,1003.29,25.63,83.207,0.344,-0.797,0.23,-9.862,0.083,0.011,0.032,-2737,-2449,-3759,-0.856,0.515,0.039,0.012,38.3982954,-78.0637915,94.254,0.063,0.076,0.06,12,-0.54,0.078,-9.589,69.553,-3.065,-0.587,0,0,-0.001,12.513,-29.841,56.275,100390.008,28.56,0.1,-0.052,0.01,-0.961,0.036,0.029,-0.215
1223.579,0.046,-0.04,0.051,0.013,0.049,0.113,0.047,0.016,0.065,1003.086,25.418,84.919,-0.008,1003.36,25.66,82.62,-0.285,-0.79,0.244,-9.841,-0.075,-0.013,0.036,-2754,-2433,-3763,-0.843,0.535,0.042,0.009,38.3982971,-78.0637906,94.759,0.031,-0.088,0.551,10,-0.521,0.102,-9.609,69.575,-3.066,-0.578,0,0.001,0,12.515,-29.843,56.405,100398,28.59,0.1,-0.052,0.011,-0.96,0.037,0.032,-0.208
1228.579,-0.071,0.034,0.08,0.019,0.044,0.168,0.057,0.012,0.089,1003.09,25.432,84.881,-0.003,1003.32,25.68,82.955,0.184,-0.74,0.223,-9.869,-0.102,0.015,-0.047,-2756,-2454,-3726,-0.843,0.536,0.04,0.008,38.3982954,-78.0637908,94.722,-0.064,0.003,-0.224,11,-0.509,0.087,-9.592,69.591,-3.062,-0.582,0,0,0,12.746,-29.954,56.28,100387,28.6,0.099,-0.051,0.01,-0.95,0.033,0.032,-0.202
1233.579,-0.021,-0.031,0.018,-0.049,-0.004,0.062,-0.054,-0.034,0.092,1003.091,25.44,84.879,0.016,1003.29,25.69,83.207,0.428,-0.74,0.323,-9.869,-0.03,0.009,0.079,-2749,-2468,-3753,-0.839,0.542,0.039,0.01,38.3982941,-78.0637906,94.491,-0.02,-0.012,0.272,12,-0.528,0.11,-9.626,69.581,-3.056,-0.581,-0.002,0.001,0.001,12.631,-30.057,56.026,100407.008,28.615,0.101,-0.052,0.01,-0.972,0.033,0.033,-0.209
1238.579,-0.064,0.016,0.021,-0.099,-0.01,0.042,-0.096,0.004,0.071,1003.095,25.459,84.842,-0.002,1003.4,25.71,82.284,-0.646,-0.869,0.215,-9.841,0.115,-0.045,-0.038,-2755,-2472,-3872,-0.827,0.56,0.038,0.018,38.3982935,-78.0637885,94.457,-0.016,0.047,0.029,12,-0.5,0.09,-9.61,69.593,-3.071,-0.581,-0.001,0,0,12.637,-29.854,56.037,100399,28.64,0.1,-0.052,0.01,-0.961,0.035,0.031,-0.21
1243.579,-0.011,0.006,0.068,-0.015,0.008,0.052,-0.031,0.053,-0.002,1003.095,25.486,84.845,0.028,1003.35,25.73,82.704,-0.1,-0.754,0.266,-9.776,0.026,0.151,-0.002,-2743,-2470,-3835,-0.851,0.524,0.037,0.007,38.3982925,-78.0637859,93.857,-0.026,0.017,-0.209,12,-0.521,0.106,-9.6,69.613,-3.061,-0.583,0,0,0,12.638,-29.96,55.912,100399,28.655,0.099,-0.052,0.01,-0.949,0.034,0.031,-0.205
1248.579,0.033,0.006,0.036,-0.05,0.117,0.048,-0.025,0.087,0.036,1003.092,25.499,84.864,0.012,1003.35,25.75,82.704,-0.511,-0.848,0.316,-9.805,-0.045,0.03,-0.089,-2728,-2454,-3800,-0.818,0.574,0.041,0.009,38.3982938,-78.063787,92.983,0.058,-0.084,-0.096,13,-0.521,0.122,-9.627,69.582,-3.056,-0.584,0,0,-0.001,12.639,-29.962,56.041,100396,28.68,0.1,-0.051,0.01,-0.961,0.034,0.031,-0.209
