Time (ms),Stage,PosX (m),PosY (m),PosZ (m),VeloX (m/s),VeloY (m/s),VeloZ (m/s),AccelX (m/s^2),AccelY (m/s^2),AccelZ (m/s^2),Bar Altitude,Bar Pressure,Bar Temperature,GPS Longitude,GPS Latitude,GPS Altitude,GPS PosX,GPS PosY,GPS PosZ,GPS Heading Angle,GPS Satellites,IMU AccelX,IMU AccelY,IMU AccelZ,IMU AngVeloX,IMU AngVeloY,IMU AngVeloZ,IMU MagX,IMU MagY,IMU MagZ,IMU OrientationW,IMU OrientationX,IMU OrientationY,IMU OrientationZ,IMU Roll,IMU Pitch,IMU Yaw,PWM,Target Lat,Target Long,Goal Angle,BNO Calibration Sys,BNO Calibration Accel,BNO Calibration Gryo,BNO Calibration Mag
3108.10,Pre Launch,69.64,-3.83,4.87,0.03,0.03,0.03,0.00,0.99,15.93,6.11,98378.04,29.73,-771902976.00,427047296.00,233.21,69.63,-3.82,-42.90,103.36,15,-0.55,0.99,15.93,-0.44,-2.38,-0.88,-129.38,-50.75,65.25,0.55,0.48,0.45,0.52,81.78,-0.21,86.10,0.00,0.00,0.00,-45.00,0,1,3,0
3108.11,Powered Ascent,69.64,-3.83,4.91,0.06,0.06,0.06,0.00,5.88,39.15,6.11,98378.04,29.73,-771902976.00,427047296.00,233.21,69.63,-3.82,-42.90,103.36,15,2.96,5.88,39.15,4.25,-1.38,-0.50,-129.38,-50.75,65.25,0.55,0.48,0.45,0.52,81.82,-0.21,86.09,0.00,0.00,0.00,-45.00,0,1,3,0
3108.52,Powered Ascent,70.75,-3.50,8.27,5.34,5.34,5.34,0.00,3.53,41.87,16.84,98253.02,29.83,-771902976.00,427047328.00,232.91,69.36,-3.73,-43.20,309.36,14,12.75,3.53,41.87,-0.50,-11.88,-4.75,-82.00,-24.50,21.69,0.57,0.49,0.43,0.50,81.50,0.67,82.76,0.00,0.00,0.00,-45.00,0,1,3,0
3108.60,Powered Ascent,71.03,-3.41,10.41,6.13,6.13,6.13,0.00,4.90,42.10,19.63,98220.53,29.83,-771902976.00,427047328.00,232.91,69.36,-3.73,-43.20,309.36,14,14.13,4.90,42.10,-6.31,-12.25,-7.56,-78.69,-21.75,13.69,0.58,0.49,0.43,0.49,81.14,1.03,81.89,0.00,0.00,0.00,-45.00,0,1,3,0
3108.60,Powered Ascent,70.93,-3.42,11.48,5.98,5.98,5.98,0.00,3.90,42.25,19.63,98220.53,29.83,-771902976.00,427047328.00,232.91,69.36,-3.73,-43.20,309.36,14,14.89,3.90,42.25,-8.31,-12.25,-9.12,-78.69,-21.75,13.69,0.58,0.49,0.43,0.49,81.06,1.10,81.76,0.00,0.00,0.00,-45.00,0,1,3,0
3108.61,Powered Ascent,70.84,-3.43,12.43,5.88,5.88,5.88,0.00,1.87,42.52,19.63,98220.53,29.83,-771902976.00,427047328.00,232.91,69.36,-3.73,-43.20,309.36,14,15.98,1.87,42.52,-8.31,-12.69,-9.06,-78.69,-21.75,13.69,0.58,0.49,0.43,0.49,80.97,1.17,81.62,0.00,0.00,0.00,-45.00,0,1,3,0
3108.62,Powered Ascent,70.77,-3.44,13.26,5.80,5.80,5.80,0.00,1.89,42.54,19.63,98220.53,29.83,-771902976.00,427047328.00,232.91,69.36,-3.73,-43.20,309.36,14,15.93,1.89,42.54,-7.56,-13.06,-7.69,-75.00,-19.19,7.00,0.58,0.49,0.43,0.49,80.89,1.22,81.48,0.00,0.00,0.00,-45.00,0,1,3,0
3108.63,Powered Ascent,70.70,-3.45,13.97,5.72,5.72,5.72,0.00,3.60,42.35,19.63,98220.53,29.83,-771902976.00,427047328.00,232.91,69.36,-3.73,-43.20,309.36,14,15.01,3.60,42.35,-7.56,-13.06,-7.69,-75.00,-19.19,7.00,0.58,0.49,0.43,0.49,80.82,1.27,81.35,0.00,0.00,0.00,-45.00,0,1,3,0
3108.64,Powered Ascent,70.64,-3.46,14.63,5.67,5.67,5.67,0.00,3.69,42.28,19.63,98220.53,29.83,-771902976.00,427047328.00,232.91,69.36,-3.73,-43.20,309.36,14,14.49,3.69,42.28,-7.56,-13.00,-7.88,-75.00,-19.19,7.00,0.58,0.49,0.43,0.49,80.73,1.33,81.21,0.00,0.00,0.00,-45.00,0,1,3,0
3108.65,Powered Ascent,70.61,-3.46,15.54,5.66,5.66,5.66,0.00,5.51,42.13,22.96,98181.74,29.82,-771902976.00,427047328.00,232.91,69.36,-3.73,-43.20,309.36,14,13.91,5.51,42.13,-10.31,-12.62,-9.75,-75.00,-19.19,7.00,0.58,0.49,0.43,0.49,80.63,1.40,81.08,0.00,0.00,0.00,-45.00,0,1,3,0
3108.66,Powered Ascent,70.58,-3.46,16.37,5.66,5.66,5.66,0.00,4.04,42.35,22.96,98181.74,29.82,-771902976.00,427047328.00,232.91,69.36,-3.73,-43.20,309.36,14,14.72,4.04,42.35,-9.81,-13.06,-9.38,-75.00,-19.19,7.00,0.59,0.49,0.43,0.49,80.53,1.47,80.93,0.00,0.00,0.00,-45.00,0,1,3,0
3108.67,Powered Ascent,70.55,-3.46,17.12,5.67,5.67,5.67,0.00,3.60,42.47,22.96,98181.74,29.82,-771902976.00,427047328.00,232.91,69.36,-3.73,-43.20,309.36,14,15.13,3.60,42.47,-9.81,-13.06,-9.38,-75.00,-19.19,7.00,0.59,0.49,0.43,0.49,80.43,1.53,80.80,0.00,0.00,0.00,-45.00,0,1,3,0
3108.68,Powered Ascent,70.52,-3.46,17.77,5.67,5.67,5.67,0.00,2.74,42.57,22.96,98181.74,29.82,-771902976.00,427047328.00,232.91,69.36,-3.73,-43.20,309.36,14,15.30,2.74,42.57,-10.12,-13.25,-9.00,-70.25,-18.25,4.06,0.59,0.49,0.43,0.49,80.43,1.53,80.80,0.00,0.00,0.00,-45.00,0,1,3,0
3108.69,Powered Ascent,70.49,-3.47,18.35,5.65,5.65,5.65,0.00,4.93,42.29,22.96,98181.74,29.82,-771902976.00,427047328.00,232.91,69.36,-3.73,-43.20,309.36,14,14.15,4.93,42.29,-9.62,-13.88,-8.38,-70.25,-18.25,4.06,0.59,0.48,0.42,0.49,80.21,1.66,80.50,0.00,0.00,0.00,-45.00,0,1,3,0
3108.70,Powered Ascent,70.49,-3.46,19.02,5.70,5.70,5.70,0.00,3.41,42.43,22.96,98181.74,29.82,-771902976.00,427047328.00,232.91,69.36,-3.73,-43.20,309.36,14,14.30,3.41,42.43,-11.62,-13.56,-10.06,-70.25,-18.25,4.06,0.59,0.48,0.42,0.49,80.10,1.74,80.35,0.00,0.00,0.00,-45.00,0,1,3,0
3108.71,Powered Ascent,70.48,-3.46,19.61,5.74,5.74,5.74,0.00,4.02,42.41,22.96,98181.74,29.82,-771902976.00,427047328.00,232.91,69.36,-3.73,-43.20,309.36,14,14.21,4.02,42.41,-13.19,-13.88,-10.12,-70.25,-18.25,4.06,0.59,0.48,0.42,0.49,79.96,1.82,80.20,0.00,0.00,0.00,-45.00,0,1,3,0
3108.72,Powered Ascent,70.47,-3.46,20.37,5.78,5.78,5.78,0.00,2.76,42.65,26.83,98136.67,29.82,-771902976.00,427047328.00,232.91,69.36,-3.73,-43.20,309.36,14,14.90,2.76,42.65,-13.19,-13.88,-10.12,-70.25,-18.25,4.06,0.59,0.48,0.42,0.49,79.84,1.88,80.05,0.00,0.00,0.00,-45.00,0,1,3,0
3108.73,Powered Ascent,70.46,-3.46,21.05,5.80,5.80,5.80,0.00,3.06,42.66,26.83,98136.67,29.82,-771902976.00,427047328.00,232.91,69.36,-3.73,-43.20,309.36,14,14.86,3.06,42.66,-12.31,-14.75,-9.19,-68.38,-17.00,-0.38,0.59,0.48,0.42,0.49,79.84,1.88,80.05,0.00,0.00,0.00,-45.00,0,1,3,0
3108.74,Powered Ascent,70.45,-3.46,21.66,5.81,5.81,5.81,0.00,3.92,42.55,26.83,98136.67,29.82,-771902976.00,427047328.00,232.91,69.36,-3.73,-43.20,309.36,14,14.32,3.92,42.55,-13.12,-14.69,-9.50,-68.38,-17.00,-0.38,0.60,0.48,0.42,0.48,79.57,2.01,79.73,0.00,0.00,0.00,-45.00,0,1,3,0
3108.75,Powered Ascent,70.46,-3.45,22.37,5.87,5.87,5.87,0.00,4.60,42.41,26.83,98136.67,29.82,-771902976.00,427047328.00,232.91,69.36,-3.73,-43.20,309.36,14,13.55,4.60,42.41,-13.38,-15.06,-10.06,-68.38,-17.00,-0.38,0.60,0.48,0.42,0.48,79.42,2.09,79.56,0.00,0.00,0.00,-45.00,0,1,3,0
3108.76,Powered Ascent,70.46,-3.45,23.02,5.92,5.92,5.92,0.00,4.14,42.51,26.83,98136.67,29.82,-771902976.00,427047328.00,232.91,69.36,-3.73,-43.20,309.36,14,13.69,4.14,42.51,-15.25,-15.62,-10.44,-68.38,-17.00,-0.38,0.60,0.48,0.42,0.48,79.26,2.16,79.40,0.00,0.00,0.00,-45.00,0,1,3,0
3108.77,Powered Ascent,70.47,-3.44,23.63,5.98,5.98,5.98,0.00,3.77,42.70,26.83,98136.67,29.82,-771902976.00,427047328.00,232.91,69.36,-3.73,-43.20,309.36,14,14.33,3.77,42.70,-15.25,-15.62,-10.44,-68.38,-17.00,-0.38,0.60,0.48,0.42,0.48,79.12,2.23,79.22,0.00,0.00,0.00,-45.00,0,1,3,0
3108.78,Powered Ascent,70.46,-3.44,24.30,6.00,6.00,6.00,0.00,4.01,42.68,30.69,98136.67,29.81,-771902976.00,427047328.00,232.91,69.36,-3.73,-43.20,309.36,14,14.08,4.01,42.68,-14.69,-16.50,-10.00,-65.38,-16.56,-3.38,0.60,0.48,0.42,0.48,79.12,2.23,79.22,0.00,0.00,0.00,-45.00,0,1,3,0
3108.79,Powered Ascent,70.46,-3.44,24.98,6.03,6.03,6.03,0.00,4.47,42.66,30.69,98091.77,29.81,-771902976.00,427047328.00,232.91,69.36,-3.73,-43.20,309.36,14,13.92,4.47,42.66,-14.88,-16.88,-10.25,-65.38,-16.56,-3.38,0.61,0.48,0.42,0.48,78.80,2.37,78.86,0.00,0.00,0.00,-45.00,0,1,3,0
3108.80,Powered Ascent,70.47,-3.43,25.70,6.09,6.09,6.09,0.00,5.05,42.54,30.69,98091.77,29.81,-771902976.00,427047328.00,232.91,69.36,-3.73,-43.20,309.36,14,13.30,5.05,42.54,-15.75,-16.88,-10.94,-65.38,-16.56,-3.38,0.61,0.48,0.41,0.48,78.64,2.45,78.67,0.00,0.00,0.00,-45.00,0,1,3,0
3108.81,Powered Ascent,70.48,-3.43,26.39,6.15,6.15,6.15,0.00,3.53,42.83,30.69,98091.77,29.81,-771902976.00,427047328.00,232.91,69.36,-3.73,-43.20,309.36,14,13.93,3.53,42.83,-16.69,-18.00,-11.12,-65.38,-16.56,-3.38,0.61,0.48,0.41,0.48,78.47,2.52,78.47,0.00,0.00,0.00,-45.00,0,1,3,0
3108.82,Powered Ascent,70.49,-3.42,27.06,6.22,6.22,6.22,0.00,4.14,42.84,30.69,98091.77,29.81,-771902976.00,427047328.00,232.91,69.36,-3.73,-43.20,309.36,14,13.95,4.14,42.84,-16.69,-18.00,-11.12,-65.38,-16.56,-3.38,0.61,0.48,0.41,0.48,78.30,2.59,78.28,0.00,0.00,0.00,-45.00,0,1,3,0
3108.83,Powered Ascent,70.50,-3.42,27.61,6.25,6.25,6.25,0.00,3.75,42.91,30.69,98091.77,29.81,-771902976.00,427047328.00,232.91,69.36,-3.73,-43.20,309.36,14,13.88,3.75,42.91,-16.56,-18.69,-11.25,-62.38,-15.75,-4.69,0.61,0.48,0.41,0.48,78.30,2.59,78.28,0.00,0.00,0.00,-45.00,0,1,3,0
3108.84,Powered Ascent,70.49,-3.42,28.09,6.27,6.27,6.27,0.00,5.12,42.77,30.69,98091.77,29.81,-771902976.00,427047328.00,232.91,69.36,-3.73,-43.20,309.36,14,13.54,5.12,42.77,-16.69,-19.38,-10.94,-62.38,-15.75,-4.69,0.61,0.48,0.41,0.48,77.95,2.73,77.86,0.00,0.00,0.00,-45.00,0,1,3,0
3108.85,Powered Ascent,70.52,-3.41,28.95,6.35,6.35,6.35,0.00,4.17,42.88,35.42,98036.74,29.81,-771902976.00,427047328.00,232.91,69.36,-3.73,-43.20,309.36,14,13.41,4.17,42.88,-17.69,-20.12,-12.25,-62.38,-15.75,-4.69,0.62,0.48,0.41,0.48,77.77,2.80,77.65,0.00,0.00,0.00,-45.00,0,1,3,0
3108.86,Powered Ascent,70.53,-3.40,29.73,6.41,6.41,6.41,0.00,4.07,42.89,35.42,98036.74,29.81,-771902976.00,427047328.00,232.91,69.36,-3.73,-43.20,309.36,14,13.10,4.07,42.89,-18.06,-20.69,-12.31,-62.38,-15.75,-4.69,0.62,0.48,0.41,0.48,77.58,2.88,77.42,0.00,0.00,0.00,-45.00,0,1,3,0
3108.87,Powered Ascent,70.54,-3.39,30.44,6.46,6.46,6.46,0.00,4.10,42.99,35.42,98036.74,29.81,-771902976.00,427047328.00,232.91,69.36,-3.73,-43.20,309.36,14,13.36,4.10,42.99,-18.06,-20.69,-12.31,-62.38,-15.75,-4.69,0.62,0.48,0.41,0.47,77.40,2.94,77.20,0.00,0.00,0.00,-45.00,0,1,3,0
3108.88,Powered Ascent,70.55,-3.39,31.07,6.49,6.49,6.49,0.00,5.08,42.91,35.42,98036.74,29.81,-771902976.00,427047328.00,232.91,69.36,-3.73,-43.20,309.36,14,13.18,5.08,42.91,-17.75,-21.56,-11.88,-59.25,-16.00,-10.25,0.62,0.48,0.41,0.47,77.40,2.94,77.20,0.00,0.00,0.00,-45.00,0,1,3,0
3108.89,Powered Ascent,70.55,-3.39,31.63,6.51,6.51,6.51,0.00,4.78,42.98,35.42,98036.74,29.81,-771902976.00,427047328.00,232.91,69.36,-3.73,-43.20,309.36,14,13.09,4.78,42.98,-18.00,-21.88,-12.31,-59.25,-16.00,-10.25,0.62,0.47,0.40,0.47,77.02,3.09,76.72,0.00,0.00,0.00,-45.00,0,1,3,0
3108.90,Powered Ascent,70.58,-3.38,32.36,6.58,6.58,6.58,0.00,4.63,42.97,35.42,98036.74,29.81,-771902976.00,427047328.00,232.91,69.36,-3.73,-43.20,309.36,14,12.70,4.63,42.97,-18.50,-22.44,-12.75,-59.25,-16.00,-10.25,0.63,0.47,0.40,0.47,76.82,3.16,76.47,0.00,0.00,0.00,-45.00,0,1,3,0
3108.91,Powered Ascent,70.60,-3.37,33.22,6.64,6.64,6.64,0.00,3.85,43.10,40.30,97980.30,29.81,-771902976.00,427047328.00,232.91,69.36,-3.73,-43.20,309.36,14,12.68,3.85,43.10,-18.94,-23.88,-13.38,-59.25,-16.00,-10.25,0.63,0.47,0.40,0.47,76.62,3.23,76.22,0.00,0.00,0.00,-45.00,0,1,3,0
3108.93,Powered Ascent,70.62,-3.36,34.06,6.69,6.69,6.69,0.00,4.08,43.13,40.30,97979.91,29.81,-771902976.00,427047328.00,232.91,69.36,-3.73,-43.20,309.36,14,12.63,4.08,43.13,-18.94,-23.88,-13.38,-59.25,-16.00,-10.25,0.63,0.47,0.40,0.47,76.42,3.30,75.96,0.00,0.00,0.00,-45.00,0,1,3,0
3108.93,Powered Ascent,70.62,-3.36,34.72,6.71,6.71,6.71,0.00,5.03,43.09,40.30,97979.91,29.81,-771902976.00,427047328.00,232.91,69.36,-3.73,-43.20,309.36,14,12.68,5.03,43.09,-19.06,-24.50,-12.81,-55.75,-18.06,-12.19,0.63,0.47,0.40,0.47,76.42,3.30,75.96,0.00,0.00,0.00,-45.00,0,1,3,0
3108.94,Powered Ascent,70.62,-3.36,35.40,6.75,6.75,6.75,0.00,4.71,43.21,40.30,97979.91,29.81,-771902976.00,427047328.00,232.91,69.36,-3.73,-43.20,309.36,14,12.80,4.71,43.21,-19.06,-25.00,-13.25,-55.75,-18.06,-12.19,0.63,0.47,0.40,0.47,76.02,3.44,75.42,0.00,0.00,0.00,-45.00,0,1,3,0
3108.95,Powered Ascent,70.65,-3.35,36.15,6.80,6.80,6.80,0.00,4.94,43.16,40.30,97979.91,29.81,-771902976.00,427047328.00,232.91,69.36,-3.73,-43.20,309.36,14,12.43,4.94,43.16,-19.31,-25.56,-13.62,-55.75,-18.06,-12.19,0.64,0.47,0.39,0.47,75.81,3.50,75.14,0.00,0.00,0.00,-45.00,0,1,3,0
3108.96,Powered Ascent,70.67,-3.34,36.89,6.86,6.86,6.86,0.00,4.23,43.35,40.30,97979.91,29.81,-771902976.00,427047328.00,232.91,69.36,-3.73,-43.20,309.36,14,12.60,4.23,43.35,-19.25,-26.94,-13.75,-55.75,-18.06,-12.19,0.64,0.47,0.39,0.46,75.61,3.57,74.86,0.00,0.00,0.00,-45.00,0,1,3,0
3108.98,Powered Ascent,70.69,-3.33,37.60,6.91,6.91,6.91,0.00,4.40,43.28,40.30,97979.91,29.81,-771902976.00,427047328.00,232.91,69.36,-3.73,-43.20,309.36,14,12.15,4.40,43.28,-19.25,-26.94,-13.75,-55.75,-18.06,-12.19,0.64,0.47,0.39,0.46,75.40,3.63,74.55,0.00,0.00,0.00,-45.00,0,1,3,0
3108.98,Powered Ascent,70.69,-3.33,38.35,6.93,6.93,6.93,0.00,5.10,43.28,45.99,97913.88,29.81,-771902976.00,427047328.00,232.91,69.36,-3.73,-43.20,309.36,14,12.27,5.10,43.28,-18.81,-28.31,-13.44,-53.69,-18.88,-15.50,0.64,0.47,0.39,0.46,75.40,3.63,74.55,0.00,0.00,0.00,-45.00,0,1,3,0
3108.99,Powered Ascent,70.70,-3.32,39.13,6.96,6.96,6.96,0.00,5.57,43.28,45.99,97913.88,29.81,-771902976.00,427047328.00,232.91,69.36,-3.73,-43.20,309.36,14,12.33,5.57,43.28,-19.00,-29.25,-13.12,-53.69,-18.88,-15.50,0.65,0.47,0.39,0.46,74.99,3.74,73.93,0.00,0.00,0.00,-45.00,0,1,3,0
