Time_ms_,GPSPosX,GPSPosY,GPSPosZ,IMUAccelX,IMUAccelY,IMUAccelZ,BarAltitude,BarAltitude2
764.829,0.062,0.002,-0.049,0.158,0.007,-9.797,-0.1,-0.092
764.929,0.059,-0.006,-0.05,0.158,0.093,-9.74,-0.082,0
765.029,0.056,-0.005,-0.05,0.151,0.172,-9.74,-0.015,0.117
765.129,0.064,-0.004,-0.054,0.294,0.115,-9.776,0,-0.376
765.229,0.05,-0.003,-0.05,0.266,0.136,-9.69,0.006,-0.359
765.329,0.057,-0.003,-0.032,0.201,0.144,-9.754,-0.039,-0.184
765.429,0.053,-0.002,-0.02,0.101,-0.05,-9.79,0.05,0.192
765.529,0.038,-0.01,-0.004,0.208,0.129,-9.711,0.249,0.142
765.629,0.044,-0.01,0.012,0.259,0.065,-9.762,0.114,-0.117
765.729,0.04,-0.011,0.022,0.101,0.251,-9.711,0.067,0.359
765.829,0.036,-0.012,0.035,0.208,0.172,-9.762,0.152,-0.125
765.929,0.031,-0.012,0.04,0.237,0.057,-9.754,0.146,0.334
766.029,0.027,-0.012,0.05,0.115,-0.007,-9.762,0.138,-0.35
766.129,0.032,-0.021,0.071,0.129,0.151,-9.776,0.253,-0.059
766.229,0.018,-0.012,0.077,0.165,0.23,-9.639,0.169,0.125
766.329,0.026,-0.012,0.076,0.151,0.215,-9.754,0.12,0.292
766.429,0.022,-0.012,0.079,0.151,0.136,-9.711,0.14,0.125
766.529,0.032,-0.01,0.079,0.201,0.129,-9.718,0.076,-0.326
766.629,0.019,-0.009,0.078,0.18,0.014,-9.769,0.005,0.409
766.729,0.017,-0.016,0.081,0.086,0.101,-9.74,-0.087,-0.251
766.829,0.027,-0.014,0.082,0.251,0.057,-9.711,-0.091,0.259
766.929,0.026,-0.013,0.076,0.266,0.122,-9.762,-0.116,-0.175
767.029,0.024,-0.012,0.066,0.151,0.072,-9.833,-0.001,0.05
767.129,0.034,-0.01,0.048,0.215,0.136,-9.747,-0.084,-0.05
767.229,0.033,-0.01,0.039,0.165,-0.014,-9.711,-0.12,-0.251
767.329,0.021,-0.009,0.032,0.122,0.086,-9.704,-0.116,-0.2
767.429,0.02,-0.008,0.027,0.158,0.065,-9.855,-0.224,-0.342
767.529,0.017,-0.008,0.029,0.309,0.23,-9.668,-0.142,0.134
