t,a_x,a_y,a_z,v_x,v_y,v_z,r_x,r_y,r_z
0,0,0,-9.8,0,0,0,0,0,0.1
0.04,0,0,561.322612885954,0,0,22.4529045154382,0,0,1.44717427092629
0.08,0,0,552.308693977789,0,0,44.5452522745497,0,0,3.67083131709051
0.12,0,0,521.502788762466,0,0,65.4053638250483,0,0,6.70424810110241
0.16,0,0,472.538047770948,0,0,84.3068857358863,0,0,10.4545539687546
0.2,0,0,411.60957465827,0,0,100.771268722217,0,0,14.8146923773699
0.24,0,0,345.841407237536,0,0,114.604925011719,0,0,19.6755625036287
0.28,0,0,281.606022425433,0,0,125.869165908736,0,0,24.9356139579185
0.32,0,0,223.438162823712,0,0,134.806692421684,0,0,30.5066321850448
0.36,0,0,173.757629217723,0,0,141.756997590393,0,0,36.3159181920347
0.4,0,0,133.204519700737,0,0,147.085178378423,0,0,42.3058889429322
0.44,0,0,101.233909463249,0,0,151.134534756953,0,0,48.4322574607809
0.48,0,0,76.6886778371654,0,0,154.202081870439,0,0,54.6616916778682
0.52,0,0,58.2184456060559,0,0,156.530819694682,0,0,60.9694992221403
0.56,0,0,44.5286473650685,0,0,158.311965589284,0,0,67.3376007636038
0.6,0,0,34.498124716891,0,0,159.69189057796,0,0,73.7528748864957
0.64,0,0,27.213749696885,0,0,160.780440565835,0,0,80.2058635088866
0.68,0,0,21.9609837400245,0,0,161.658879915436,0,0,86.6897874924961
0.72,0,0,18.1956481605939,0,0,162.38670584186,0,0,93.199812244699
0.76,0,0,15.511048929575,0,0,163.007147799043,0,0,99.7325069958043
0.8,0,0,13.6072721778367,0,0,163.551438686157,0,0,106.285450360993
0.84,0,0,12.2652600078812,0,0,164.042049086472,0,0,112.856944532458
0.88,0,0,11.3261275447474,0,0,164.495094188262,0,0,119.445809202024
0.92,0,0,10.6752302106358,0,0,164.922103396687,0,0,126.05123352206
0.96,0,0,10.2301689572465,0,0,165.331310154977,0,0,132.672670063425
1,0,0,9.93189994665063,0,0,165.728586152843,0,0,139.309759029496
1.04,0,0,9.73821651873,0,0,166.118114813592,0,0,145.962274195255
1.08,0,0,9.61900736159232,0,0,166.502875108056,0,0,152.630084405466
1.12,0,0,9.55282628803259,0,0,166.884988159577,0,0,159.31312619288
1.16,0,0,9.52442122760597,0,0,167.265965008681,0,0,166.011384330209
1.2,0,0,9.52295989301804,0,0,167.646883404402,0,0,172.7248780343
1.24,0,0,9.54075889132202,0,0,168.028513760055,0,0,179.453651191815
1.28,0,0,9.57237527360287,0,0,168.411408770999,0,0,186.197765442874
1.32,0,0,9.61395825482664,0,0,168.795967101192,0,0,192.957295293525
1.36,0,0,9.66278726465289,0,0,169.182478591778,0,0,199.732324667008
1.4,0,0,9.71694319696071,0,0,169.571156319657,0,0,206.522944474352
1.44,0,0,9.77507472638656,0,0,169.962159308712,0,0,213.329250906482
1.48,0,0,9.83623238321372,0,0,170.355608604041,0,0,220.15134423655
1.52,0,0,9.89975086303191,0,0,170.751598638562,0,0,226.989327982783
1.56,0,0,9.96516563401003,0,0,171.150205263922,0,0,233.843308325847
1.6,0,0,10.0321539055971,0,0,171.551491420146,0,0,240.713393705777
1.64,0,0,10.1004928832782,0,0,171.955511135477,0,0,247.599694545503
1.68,0,0,10.1700302767134,0,0,172.362312346546,0,0,254.502323063586
1.72,0,0,10.2406634853106,0,0,172.771938885958,0,0,261.421393149813
1.76,0,0,10.3123249229315,0,0,173.184431882876,0,0,268.357020285066
1.8,0,0,10.3849716817524,0,0,173.599830750146,0,0,275.309321492417
1.84,0,0,10.458578260125,0,0,174.018173880551,0,0,282.278415310247
1.88,0,0,10.5331314519526,0,0,174.439499138629,0,0,289.264421780954
1.92,0,0,10.6086267594583,0,0,174.863844209007,0,0,296.267462450722
1.96,0,0,10.6850658786049,0,0,175.291246844151,0,0,303.287660377191
2,0,0,10.762454939067,0,0,175.721745041714,0,0,310.325140142811
2.04,0,0,10.840803274503,0,0,176.155377172694,0,0,317.380027872338
2.08,0,0,10.9201225651818,0,0,176.592182075301,0,0,324.452451253402
2.12,0,0,11.0004262418268,0,0,177.032199124974,0,0,331.542539559395
2.16,0,0,11.0817290725664,0,0,177.475468287877,0,0,338.650423674168
2.2,0,0,11.1640468781356,0,0,177.922030163002,0,0,345.77623611819
2.24,0,0,11.2473963368523,0,0,178.371926016477,0,0,352.920111075919
2.28,0,0,11.3317948524082,0,0,178.825197810573,0,0,360.082184424224
2.32,0,0,11.4172604656006,0,0,179.281888229197,0,0,367.262593761764
2.36,0,0,11.5038117968134,0,0,179.742040701069,0,0,374.461478439244
2.4,0,0,11.5914680100315,0,0,180.205699421471,0,0,381.678979590511
2.44,0,0,11.6802487919651,0,0,180.672909373149,0,0,388.915240164471
2.48,0,0,11.7701743418069,0,0,181.143716346822,0,0,396.170404957817
2.52,0,0,11.861265368512,0,0,181.618166961562,0,0,403.444620648574
2.56,0,0,11.9535430934444,0,0,182.0963086853,0,0,410.738035830461
2.6,0,0,12.0470292568886,0,0,182.578189855575,0,0,418.05080104809
2.64,0,0,12.1417461274043,0,0,183.063859700672,0,0,425.383068833019
2.68,0,0,12.2377165133085,0,0,183.553368361204,0,0,432.734993740677
2.72,0,0,12.3349637758027,0,0,184.046766912236,0,0,440.106732388187
2.76,0,0,12.4335118434193,0,0,184.544107385973,0,0,447.498443493101
2.8,0,0,12.5333852275662,0,0,185.045442795075,0,0,454.910287913086
2.84,0,0,12.634609039027,0,0,185.550827156636,0,0,462.342428686583
2.88,0,0,12.7372090053249,0,0,186.060315516849,0,0,469.795031074461
2.92,0,0,12.8412114889,0,0,186.573963976405,0,0,477.268262602708
2.96,0,0,12.9466435060658,0,0,187.091829716648,0,0,484.762293106179
3,0,0,13.0535327467404,0,0,187.613971026518,0,0,492.277294773437
3.04,0,0,13.1619075949549,0,0,188.140447330316,0,0,499.813442192726
3.08,0,0,13.2717971501505,0,0,188.671319216322,0,0,507.370912399099
3.12,0,0,13.3832312492814,0,0,189.206648466293,0,0,514.94988492275
3.16,0,0,13.4962404897576,0,0,189.746498085884,0,0,522.550541838577
3.2,0,0,13.6108562532433,0,0,190.290932336013,0,0,530.17306781702
3.24,0,0,13.7271107303581,0,0,190.840016765228,0,0,537.817650176214
3.28,0,0,13.8450369463046,0,0,191.39381824308,0,0,545.484478935494
3.32,0,0,13.9646687874696,0,0,191.952404994579,0,0,553.173746870307
3.36,0,0,14.0860410290334,0,0,192.51584663574,0,0,560.88564956856
3.4,0,0,14.2091893636371,0,0,193.084214210285,0,0,568.620385488462
3.44,0,0,14.3341504311488,0,0,193.657580227531,0,0,576.378156017908
3.48,0,0,14.4609618495785,0,0,194.236018701514,0,0,584.159165535448
3.52,0,0,14.5896622471956,0,0,194.819605191402,0,0,591.963621472902
3.56,0,0,14.7202912959003,0,0,195.408416843238,0,0,599.791734379668
3.6,0,0,14.852889745905,0,0,196.002532433075,0,0,607.643717988788
3.64,0,0,14.9874994617868,0,0,196.602032411546,0,0,615.519789284819
3.68,0,0,15.1241634599778,0,0,197.206998949945,0,0,623.420168573585
3.72,0,0,15.2629259477477,0,0,197.817515987855,0,0,631.345079553858
3.76,0,0,15.4038323637652,0,0,198.433669282406,0,0,639.294749391045
3.8,0,0,15.5469294202946,0,0,199.055546459217,0,0,647.26940879295
3.84,0,0,15.6922651471171,0,0,199.683237065102,0,0,655.269292087672
3.88,0,0,15.8398889372529,0,0,200.316832622592,0,0,663.294637303725
3.92,0,0,15.989851594571,0,0,200.956426686375,0,0,671.345686252456
3.96,0,0,16.1422053833761,0,0,201.60211490171,0,0,679.422684612831
4,0,0,16.2970040800706,0,0,202.253995064913,0,0,687.525882018692
4.04,0,0,16.4543030269906,0,0,202.912167185993,0,0,695.655532148553
4.08,0,0,16.6141591885208,0,0,203.576733553533,0,0,703.811892818045
4.12,0,0,16.7766312096041,0,0,204.247798801918,0,0,711.995226075089
4.16,0,0,16.9417794767636,0,0,204.925469980988,0,0,720.20579829791
4.2,0,0,17.1096661817571,0,0,205.609856628258,0,0,728.443880295986
4.24,0,0,17.2803553880045,0,0,206.301070843779,0,0,736.709747414047
4.28,0,0,17.4539130999235,0,0,206.999227367775,0,0,745.003679639238
4.32,0,0,17.6304073353188,0,0,207.704443661188,0,0,753.325961711554
4.36,0,0,17.8099082009903,0,0,208.416839989228,0,0,761.676883237684
4.4,0,0,17.9924879717162,0,0,209.136539508096,0,0,770.056738808385
4.44,0,0,18.1782211727925,0,0,209.863668355008,0,0,778.465828119524
4.48,0,0,18.3671846663125,0,0,210.598355741661,0,0,786.904456096923
4.52,0,0,-1000.8734826855,0,0,170.563416434241,0,0,792.926293968145
4.56,0,0,-659.881305334943,0,0,144.168164220843,0,0,798.16511549271
4.6,0,0,-474.245373195966,0,0,125.198349293004,0,0,802.793653165874
4.64,0,0,-360.062069853339,0,0,110.795866498871,0,0,806.937438169946
4.68,0,0,-284.110871992902,0,0,99.4314316191547,0,0,810.687406737118
4.72,0,0,-230.724198963387,0,0,90.2024636606192,0,0,814.110925924372
4.76,0,0,-191.61625283491,0,0,82.5378135472228,0,0,817.259145463993
4.8,0,0,-162.030552735057,0,0,76.0565914378205,0,0,820.171784679318
4.84,0,0,-139.061627675247,0,0,70.4941263308106,0,0,822.88030043041
4.88,0,0,-120.845705858168,0,0,65.6602980964839,0,0,825.410035789583
4.92,0,0,-106.13888248115,0,0,61.4147427972379,0,0,827.781714395487
4.96,0,0,-94.0832315595677,0,0,57.6514135348552,0,0,830.012504351634
5,0,0,-84.0704104853327,0,0,54.2885971154419,0,0,832.116791907863
5.04,0,0,-75.6586982468465,0,0,51.262249185568,0,0,834.106754916688
5.08,0,0,-68.5206992935744,0,0,48.521421213825,0,0,835.992795205807
5.12,0,0,-62.4093492928166,0,0,46.0250472421124,0,0,837.783869616057
5.16,0,0,-57.1352189160096,0,0,43.739638485472,0,0,839.487746980343
5.2,0,0,-52.5510004538939,0,0,41.6375984673162,0,0,841.111210118672
5.24,0,0,-48.5406809027097,0,0,39.6959712312078,0,0,842.660216423199
5.28,0,0,-45.0118439446793,0,0,37.8954974734207,0,0,844.14002684698
5.32,0,0,-41.8901043523641,0,0,36.2198932993261,0,0,845.555310495471
5.36,0,0,-39.1150228640375,0,0,34.6552923847646,0,0,846.91023017257
5.4,0,0,-36.6370662762637,0,0,33.1898097337141,0,0,848.208512908898
5.44,0,0,-34.4153168022555,0,0,31.8131970616238,0,0,849.453508537921
5.48,0,0,-32.4157260799401,0,0,30.5165680184262,0,0,850.648238677794
5.52,0,0,-30.6097701871091,0,0,29.2921772109419,0,0,851.795437950082
5.56,0,0,-28.9734034023516,0,0,28.1332410748478,0,0,852.897588870354
5.6,0,0,-27.4862369641019,0,0,27.0337915962837,0,0,853.956951544634
5.64,0,0,-26.1308890041075,0,0,25.9885560361194,0,0,854.975589074876
5.68,0,0,-24.8924659350072,0,0,24.9928573987191,0,0,855.955389398077
5.72,0,0,-23.7581456757112,0,0,24.0425315716907,0,0,856.898084144404
5.76,0,0,-22.7168404185275,0,0,23.1338579549496,0,0,857.805264990267
5.8,0,0,-21.7589220011576,0,0,22.2635010749033,0,0,858.678397895662
5.84,0,0,-20.8759969087365,0,0,21.4284611985538,0,0,859.518835546077
5.88,0,0,-20.0607208872284,0,0,20.6260323630647,0,0,860.32782826389
5.92,0,0,-19.3066453742171,0,0,19.853766548096,0,0,861.106533609515
5.96,0,0,-18.608089641057,0,0,19.1094429624537,0,0,861.8560248563
6,0,0,-17.9600338308535,0,0,18.3910416092196,0,0,862.577298493604
6.04,0,0,-17.358029070564,0,0,17.696720446397,0,0,863.271280888203
6.08,0,0,-16.7981216061251,0,0,17.024795582152,0,0,863.938834214205
6.12,0,0,-16.2767885109377,0,0,16.3737240417145,0,0,864.580761745064
6.16,0,0,-15.7908829903376,0,0,15.742088722101,0,0,865.197812587556
6.2,0,0,-15.3375876777509,0,0,15.128585214991,0,0,865.790685926013
6.24,0,0,-14.9143746145707,0,0,14.5320102304082,0,0,866.360034835538
6.28,0,0,-14.5189708424447,0,0,13.9512513967104,0,0,866.906469714733
6.32,0,0,-14.1493287266056,0,0,13.3852782476462,0,0,867.430561381657
6.36,0,0,-13.8036002820799,0,0,12.833134236363,0,0,867.932843870886
6.4,0,0,-13.4801148987444,0,0,12.2939296404132,0,0,868.413816964583
6.44,0,0,-13.1773599622454,0,0,11.7668352419234,0,0,868.873948486291
6.48,0,0,-12.8939639503803,0,0,11.2510766839082,0,0,869.313676382487
6.52,0,0,-12.6286816523304,0,0,10.7459294178149,0,0,869.733410613877
6.56,0,0,-12.3803812139923,0,0,10.2507141692553,0,0,870.133534875676
6.6,0,0,-12.1480327588535,0,0,9.76479285890111,0,0,870.514408163825
6.64000000000001,0,0,-11.9306983722159,0,0,9.28756492401248,0,0,870.876366202088
6.68000000000001,0,0,-11.727523268526,0,0,8.81846399327144,0,0,871.219722743204
6.72000000000001,0,0,-11.5377279882836,0,0,8.35695487374009,0,0,871.544770755763
6.76000000000001,0,0,-11.3606014934083,0,0,7.90253081400376,0,0,871.851783507128
6.80000000000001,0,0,-11.1954950488007,0,0,7.45471101205173,0,0,872.141015551571
6.84000000000001,0,0,-11.0418167937504,0,0,7.01303834030172,0,0,872.412703631748
