# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0.01,2.739e-4,0.055,5.48,0.055,5.511,2.879e-5,0,2.879e-5,0,0.006,0.576,32,-106,9.791,83.517,0,0,0,5.192e4,2.679e4,47.003,0.254,NaN,253.455,NaN,0.018,1.235e6,791.639,7.946e-4,0.587,0.002,0.465,0.001,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.828e-6,15.748,194.778,84,0,6.498,37.004,861.252,353.724,0.01,0.012
0.02,0.003,0.413,35.819,0.415,36.016,2.746e-4,0,2.746e-4,0,0.043,3.765,32,-106,9.791,80.339,0,0,0,5.191e4,2.677e4,46.996,0.254,NaN,253.44,NaN,0.018,1.228e6,2374.897,0.003,0.587,0.006,0.466,0.001,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.146e-5,15.748,194.778,84,0,6.41,37.004,861.252,353.724,0.01,0.014
0.03,0.01,1.075,66.172,1.08,66.537,0.001,0,0.001,0,0.113,6.955,32,-106,9.791,74.52,0,0,0,5.189e4,2.676e4,46.99,0.254,NaN,253.425,NaN,0.018,1.239e6,3958.155,0.01,0.586,0.024,0.465,0.001,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.339e-4,15.748,194.778,84,0,6.322,37.004,861.252,353.723,0.01,0.015
0.04,0.025,1.889,81.486,1.9,81.935,0.003,0,0.003,0,0.199,8.565,32,-106,9.791,67.635,0,0,0,5.187e4,2.674e4,46.977,0.254,NaN,253.395,NaN,0.019,1.273e6,4754.946,0.028,0.584,0.067,0.463,0.001,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.354e-4,15.748,194.778,84,0,6.235,37.004,861.251,353.723,0.01,0.017
0.05,0.048,2.706,81.728,2.721,82.178,0.005,0,0.005,0,0.284,8.59,32,-106,9.791,61.18,0,0,0,5.184e4,2.671e4,46.964,0.254,NaN,253.364,NaN,0.02,1.325e6,4765.27,0.06,0.58,0.131,0.459,0.001,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.373e-4,15.748,194.778,84,0,6.147,37.004,861.251,353.723,0.01,0.018
0.06,0.079,3.526,81.969,3.545,82.42,0.008,0,0.008,0,0.371,8.615,32,-106,9.791,55.36,0,0,0,5.182e4,2.669e4,46.951,0.254,NaN,253.334,NaN,0.021,1.397e6,4775.593,0.105,0.576,0.206,0.454,0.001,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.394e-4,15.748,194.778,84,0,6.085,37.004,861.25,353.723,0.01,0.019
0.07,0.118,4.348,82.21,4.372,82.663,0.012,0,0.012,0,0.457,8.641,32,-106,9.791,50.143,0,0,0,5.179e4,2.666e4,46.938,0.254,NaN,253.303,NaN,0.022,1.482e6,4785.897,0.164,0.571,0.285,0.449,0.001,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.418e-4,15.748,194.778,84,0,6.024,37.004,861.25,353.723,0.01,0.021
0.08,0.166,5.172,82.451,5.2,82.905,0.017,0,0.017,0,0.544,8.666,32,-106,9.791,45.515,0,0,0,5.177e4,2.664e4,46.924,0.254,NaN,253.273,NaN,0.023,1.578e6,4796.181,0.235,0.565,0.361,0.444,0.001,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.446e-4,15.748,194.778,84,0,5.962,37.004,861.249,353.723,0.01,0.022
0.09,0.222,5.999,82.692,6.032,83.148,0.023,0,0.023,0,0.63,8.691,32,-106,9.791,41.431,0,0,0,5.174e4,2.661e4,46.911,0.254,NaN,253.242,NaN,0.025,1.683e6,4806.465,0.318,0.56,0.43,0.439,0.001,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.476e-4,15.748,194.778,84,0,5.9,37.004,861.248,353.723,0.01,0.023
0.1,0.286,6.828,82.933,6.865,83.39,0.03,0,0.03,0,0.718,8.717,32,-106,9.791,37.837,0,0,0,5.172e4,2.659e4,46.898,0.254,NaN,253.211,NaN,0.027,1.797e6,4816.728,0.412,0.555,0.488,0.433,0.001,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.509e-4,15.748,194.778,84,0,5.838,37.004,861.247,353.723,0.01,0.024
